"sample.depths","sample.ages","Microsphere.suspension","Microsphere.suspension.1","Microspheres","Sample.quantity","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Betula","Carya","Castanea","Ceanothus","Celtis","Corylus","Cupressaceae","Ephedra.viridis.type","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar.styraciflua","Morus","Myrica","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Ribes","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Ambrosia.type","Amelanchier.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","cf..Hypericum","Amaranthaceae","Cyperaceae","Fabaceae.undiff.","Galium","Humulus.lupulus","Iva.annua.type","Iva.xanthifolia.type","Melilotus.type","Phlox","Poaceae","Polygonum.lapathifolium.type","Rosaceae.undiff.","Thalictrum","Urtica.type","Diphasiastrum.complanatum.type","Dryopteris.type","Lycopodium.annotinum","Pteridium.aquilinum","Selaginella.selaginoides","Nuphar","Potamogeton.Triglochin","Sagittaria","Sparganium.type","Typha.latifolia","Indeterminable"
1700,6557,91384,0,260,0,0,0,0,1,9,1,0,1,13,0,0,1,3,4,1,2,31,2,4,0,0,0,0,0,23,0,1,2,18,3,0,0,0,211,0,0,2,0,0,0,0,3,52,0,21,0,0,0,5,2,0,0,0,1,10,0,0,0,0,2,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1712,6934,91384,0,226,0,0,0,0,3,10,3,0,2,20,0,0,1,2,2,0,1,10,1,6,0,0,2,0,0,23,0,1,2,20,5,0,0,0,229,0,0,3,0,0,0,0,5,74,0,15,0,0,0,3,3,0,0,0,3,15,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,6968,91384,0,188,0,0,0,0,0,9,2,0,0,14,1,0,0,0,2,0,0,14,0,1,1,0,0,0,0,28,2,0,2,17,5,1,0,0,181,0,0,2,0,0,0,0,1,37,1,9,0,0,0,4,1,0,0,0,4,6,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1721,7253,119880,0,96,0,0,0,0,2,4,0,0,1,14,0,1,3,3,5,0,0,4,2,1,1,0,2,2,0,29,1,0,2,12,4,0,0,0,137,1,0,0,0,0,0,0,1,38,1,20,0,0,0,2,1,0,0,0,4,8,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1725,7408,91384,0,156,0,0,0,2,1,3,0,0,2,9,0,0,2,3,2,0,3,11,0,1,1,0,0,0,0,18,2,0,0,16,4,1,0,0,134,0,0,0,0,0,0,0,2,33,0,31,0,0,0,5,2,0,0,0,5,6,0,0,0,2,0,0,0,17,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1726,7448,91384,0,187,0,0,0,0,1,12,0,0,2,5,0,0,0,4,2,0,0,10,0,2,1,0,0,0,0,19,1,0,3,16,5,2,0,0,140,0,0,4,0,0,0,0,3,29,2,29,0,0,0,5,2,0,0,0,6,14,0,0,1,4,1,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1727,7489,91384,0,150,0,0,0,0,1,11,1,0,0,13,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,12,0,0,2,18,1,0,0,0,153,0,0,1,0,0,0,0,3,42,0,27,0,0,0,3,0,0,0,0,4,12,0,0,1,0,0,0,0,15,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0
1729,7572,91384,0,188,0,0,0,0,0,5,0,0,3,7,0,0,0,4,3,0,0,12,1,0,0,0,0,0,0,14,2,1,0,10,8,0,0,0,141,0,0,4,0,1,0,0,2,24,0,19,0,0,0,5,3,0,0,0,5,8,0,0,0,0,0,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1730,7615,91384,0,106,0,0,1,0,0,0,1,0,2,6,0,0,1,1,3,0,1,9,0,1,2,2,0,0,0,15,0,0,2,13,5,0,0,0,133,0,0,2,0,0,0,0,4,32,2,18,0,0,0,4,2,0,0,0,5,8,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1731,7659,91384,0,216,0,0,0,0,0,5,2,0,0,4,0,0,0,2,1,0,0,25,0,0,1,0,0,0,0,16,0,0,0,16,0,0,0,0,179,0,0,2,0,1,0,0,0,40,0,33,0,0,0,6,1,0,0,0,9,16,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
1732,7703,91384,0,165,0,0,0,0,1,6,1,0,1,10,0,0,1,5,1,0,0,15,0,1,3,0,0,0,0,22,0,0,1,22,1,0,1,0,119,0,0,2,0,1,0,0,6,33,2,25,0,0,0,2,2,0,0,0,3,11,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733,7748,91384,0,168,0,0,0,1,1,3,3,0,0,4,0,0,1,2,2,0,0,10,0,4,0,0,0,0,0,30,4,0,0,18,4,1,0,0,113,0,0,3,0,0,0,0,4,27,0,35,0,0,0,3,3,0,0,0,4,6,0,0,0,2,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1734,7793,91384,0,169,0,0,0,0,1,9,1,0,3,6,0,0,3,6,1,0,1,14,0,0,0,1,0,0,0,21,1,0,1,19,0,0,0,0,114,0,0,1,0,0,0,0,3,38,0,26,0,0,0,3,0,0,0,0,0,11,0,0,0,1,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1735,7839,91384,0,209,0,0,0,0,0,6,1,0,1,12,0,0,1,4,1,0,0,20,0,4,0,0,0,0,0,21,2,1,2,16,1,2,0,0,121,0,0,2,0,0,0,0,2,32,0,21,0,0,0,6,3,0,0,0,6,6,0,0,0,1,0,0,0,14,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
1736,7886,91384,0,212,0,0,0,0,1,6,2,0,1,11,0,0,1,3,1,0,0,13,0,0,0,2,1,0,0,25,1,0,2,17,1,0,0,0,152,0,0,2,0,0,0,0,1,32,1,17,0,0,0,4,1,0,0,0,2,12,0,0,0,2,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1737,7933,119880,0,124,0,1,0,0,1,2,1,0,1,4,0,0,1,2,6,0,0,11,4,1,0,0,0,1,0,28,0,2,1,16,2,0,0,0,132,0,0,4,0,0,0,0,2,41,0,20,0,0,0,7,2,0,0,0,5,4,0,0,0,1,0,0,0,22,0,0,1,0,0,1,0,0,0,0,2,0,0,0,6
1738,7979,91384,0,162,0,0,0,0,1,6,1,0,0,6,1,0,0,4,0,0,0,13,0,3,1,0,0,0,0,16,1,0,1,22,0,1,0,0,126,0,0,2,0,0,0,0,2,40,0,19,0,0,0,2,1,0,0,0,3,11,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1739,8026,91384,0,255,0,0,0,0,0,4,0,0,1,15,0,0,0,1,2,0,0,9,0,4,1,0,0,0,0,10,0,0,0,12,1,0,0,0,165,0,0,1,0,0,0,0,0,28,0,19,0,0,0,5,5,0,0,0,4,7,0,0,1,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1740,8073,91384,0,212,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,0,0,10,0,2,0,1,0,0,0,18,0,1,2,21,0,1,0,0,158,0,0,1,0,1,0,0,4,30,0,24,0,0,0,3,1,0,0,0,4,9,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1741,8120,91384,0,140,0,0,0,0,1,4,2,0,3,4,0,0,0,2,2,0,0,11,0,1,0,0,0,0,0,16,0,2,3,31,1,0,0,0,150,0,0,3,0,0,0,0,2,26,0,23,0,0,0,2,2,0,0,0,5,2,0,0,0,1,0,0,0,15,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1742,8166,91384,0,121,0,0,0,0,0,3,0,0,1,9,0,0,0,1,0,0,0,20,0,1,0,0,0,0,0,24,0,0,3,16,4,3,0,0,193,0,0,2,0,0,0,0,4,30,0,17,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1743,8212,91384,0,132,0,0,0,0,0,3,2,0,2,9,0,0,0,2,2,0,0,14,3,0,0,0,0,0,0,11,0,2,3,33,4,0,0,0,248,0,0,0,0,0,0,0,0,40,0,20,0,0,0,7,1,0,0,0,4,7,0,0,0,0,0,0,0,15,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2
1744,8257,91384,0,154,0,0,0,0,0,3,0,0,4,13,0,0,0,2,0,0,0,16,1,4,0,0,0,0,0,19,0,3,1,25,1,0,0,0,316,0,0,1,0,2,0,0,3,59,1,20,0,0,0,1,1,0,0,0,4,14,0,0,0,0,0,0,0,13,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2
1745,8302,91384,0,122,0,0,0,0,1,2,0,0,0,3,0,1,0,2,2,0,0,13,0,1,1,0,0,0,0,10,2,4,3,16,2,1,0,0,203,0,0,1,0,0,0,0,1,23,0,12,0,0,0,3,1,0,0,0,5,9,0,0,0,1,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1746,8345,91384,0,98,0,0,0,0,1,4,2,0,0,10,0,0,0,4,0,0,0,12,1,0,0,1,0,0,0,21,0,2,0,14,1,0,0,0,211,0,0,2,0,0,0,0,3,43,1,18,0,0,0,5,1,0,0,0,2,14,0,0,0,0,0,0,0,12,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
1747,8388,91384,0,104,0,0,0,0,1,3,2,0,2,9,0,0,0,2,2,0,0,12,2,1,0,0,0,0,0,22,0,1,0,24,1,0,0,0,190,0,0,2,0,1,0,0,2,27,0,15,0,0,0,3,2,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
1748,8429,91384,0,82,0,0,0,0,1,4,1,0,0,7,0,0,1,4,2,0,0,8,2,3,0,0,0,0,0,18,0,1,2,13,1,2,0,0,160,0,0,1,0,0,0,0,3,25,0,15,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,13,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1749,8469,91384,0,138,0,0,0,2,2,2,0,0,1,12,0,0,0,3,0,0,0,15,1,1,1,0,0,0,0,25,0,0,1,18,2,0,0,0,172,0,0,0,0,0,0,0,1,30,0,16,0,0,0,1,2,0,0,0,5,10,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1753,8621,119880,0,92,0,0,0,0,0,5,1,1,2,11,0,0,1,3,2,0,0,7,0,2,0,0,0,0,0,18,1,4,8,9,9,0,1,0,219,0,0,7,0,0,0,0,2,37,0,27,2,0,0,5,3,0,0,0,8,13,0,0,0,0,0,0,0,24,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
1757,8758,91384,0,72,0,0,0,0,1,5,2,0,3,8,0,0,0,1,0,0,0,19,1,1,2,0,0,0,0,15,0,2,0,22,3,0,0,0,162,0,0,2,0,0,0,0,4,32,0,11,0,0,0,2,3,0,0,0,2,5,0,0,0,2,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1761,8882,91384,0,210,0,1,0,0,1,2,1,0,5,12,0,0,2,4,1,0,0,19,0,2,0,0,0,0,0,23,2,3,2,11,3,2,0,0,171,0,0,7,0,0,0,0,7,38,0,20,0,0,0,5,2,0,1,0,19,5,0,0,0,0,0,0,0,16,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0
1765,8996,91384,0,65,0,0,0,0,4,5,1,0,1,5,0,0,0,2,0,0,1,9,0,0,1,0,0,0,0,16,4,2,0,17,1,0,0,0,166,0,0,1,0,0,0,0,1,37,0,7,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,9102,119880,0,70,0,2,0,0,1,4,1,0,0,7,0,0,0,7,1,0,0,5,0,4,2,0,0,0,0,37,2,3,4,11,5,0,0,0,145,0,0,3,0,0,0,0,4,29,0,16,0,0,0,1,0,0,0,0,2,14,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2
1773,9201,91384,0,93,0,0,0,0,1,8,0,0,1,8,0,0,0,3,1,0,0,13,0,2,1,0,0,0,0,37,2,0,2,18,2,5,0,0,176,0,0,1,0,0,0,0,2,60,0,9,0,0,0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0
1777,9295,91384,0,103,0,0,0,0,1,8,1,0,1,3,0,0,0,3,0,0,0,25,2,0,0,1,0,0,0,28,0,0,0,12,6,3,0,0,158,0,0,1,0,0,0,0,2,50,0,8,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
1781,9388,91384,0,76,0,0,1,0,0,11,0,0,6,14,0,0,1,2,0,0,0,13,0,0,0,0,1,0,0,22,1,0,1,26,3,1,0,0,160,0,0,0,0,0,0,0,2,59,0,11,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,11,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0
1785,9480,119880,0,65,0,0,0,0,0,9,0,1,2,12,0,1,0,3,2,0,0,13,0,0,0,0,0,0,0,28,0,6,1,8,0,1,1,0,133,0,0,1,0,0,0,0,3,52,0,5,0,0,0,2,1,0,0,0,2,9,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2
1789,9574,91384,0,101,0,0,1,0,0,13,0,0,1,13,0,0,1,2,1,0,0,19,0,2,0,1,0,0,0,38,2,0,0,25,2,1,0,0,122,0,0,0,0,0,0,0,1,52,0,4,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1793,9672,91384,0,48,0,0,0,0,0,22,1,0,1,10,0,0,2,2,2,0,0,12,0,3,1,0,0,0,0,58,1,3,0,18,6,0,0,0,115,0,0,0,0,0,0,0,3,69,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
