"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Castanea","Fagus","Poaceae.undiff.","Herbs.undiff.","Liquidambar","Picea","Quercus","Rumex","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Plantago","Rosaceae","Tsuga","Juglans","Nyssa","Salix","Amaranthaceae","Corylus","Cupressaceae","Cerealia","Platanus","Artemisia","Ostrya.Carpinus","Tilia","Asteraceae.subf..Asteroideae.undiff."
1,-17,271,15,34,8,1,6,16,14,1,1,89,4,1,45,3,6,6,13,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-4,293,19,50,4,3,4,31,13,0,1,81,5,3,36,4,4,8,16,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0
9,9,290,24,30,7,9,10,23,12,0,0,78,10,3,42,4,5,7,15,2,2,2,0,2,1,2,0,0,0,0,0,0,0,0
13,21,288,19,20,8,2,8,25,9,0,5,82,18,4,49,2,0,3,17,2,2,3,0,2,0,0,4,3,1,0,0,0,0,0
17,34,272,19,20,2,1,9,27,15,0,2,70,19,1,41,4,3,9,17,2,0,6,0,0,2,0,1,1,0,1,0,0,0,0
21,47,296,27,22,4,2,5,20,17,1,1,84,24,1,62,1,2,5,9,0,2,2,0,2,1,0,1,1,0,0,0,0,0,0
25,59,291,21,19,6,2,4,40,16,1,2,86,21,0,37,2,2,6,16,2,0,3,0,3,0,0,0,0,0,1,1,0,0,0
29,72,297,27,30,7,1,0,30,13,0,0,70,20,2,52,6,2,4,18,0,5,5,0,1,0,0,0,0,0,3,0,1,0,0
33,85,279,14,31,6,2,6,46,4,1,3,71,18,0,26,6,1,6,22,0,5,6,3,0,0,0,0,0,1,0,0,1,0,0
37,98,291,18,17,7,5,5,38,11,0,2,71,22,2,61,5,0,1,15,0,5,3,0,2,0,0,0,0,0,1,0,0,0,0
41,110,285,14,24,7,5,12,20,9,0,0,100,24,0,29,3,3,4,16,1,3,5,0,1,0,2,0,0,0,1,1,1,0,0
43,117,226,13,18,7,2,4,21,5,0,0,83,11,0,21,8,1,0,19,0,0,8,1,1,0,0,0,0,0,2,0,1,0,0
45,123,259,16,13,5,3,11,22,4,0,0,100,23,0,20,2,2,0,28,0,0,2,2,0,0,1,0,0,0,1,2,1,1,0
47,130,83,1,6,2,2,4,3,5,0,0,27,0,0,10,2,3,1,8,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
49,136,269,12,18,8,1,8,26,7,0,1,99,11,0,23,2,4,0,29,1,0,7,0,6,2,0,2,0,0,1,0,0,1,0
53,149,311,4,18,16,1,7,23,7,1,2,101,12,2,59,7,3,0,27,0,5,10,1,1,1,0,0,1,0,0,0,2,0,0
55,155,301,16,17,10,3,4,44,14,0,1,84,30,1,37,8,5,3,15,0,3,1,1,1,0,1,1,1,0,0,0,0,0,0
59,168,288,18,15,6,3,4,25,9,1,1,92,17,3,37,6,0,7,22,1,6,8,0,0,1,1,0,1,0,0,0,4,0,0
63,181,291,22,21,6,6,4,35,8,0,1,94,31,0,30,3,0,2,17,0,4,2,0,0,1,0,1,0,0,1,0,2,0,0
67,193,311,17,15,8,1,6,25,7,0,2,117,29,1,38,3,2,3,21,0,5,7,0,0,0,1,1,0,0,0,0,2,0,0
71,206,278,5,29,2,8,7,16,3,0,2,97,18,3,52,1,3,0,12,0,1,4,0,3,1,1,2,4,0,1,1,0,0,2
