"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Caryophyllaceae","Celtis","Comptonia.peregrina","Corylus","Cyperaceae","Dalea.purpurea","Diphasiastrum.complanatum","Dryopteris","Ephedra.trifurca.type","Equisetum","Ericaceae","Filicopsida..monolete..undiff.","Fraxinus.nigra","Fraxinus.pennsylvanica","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae","Larix","Lycopodium.annotinum","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera","Populus.tremuloides","Populus.undiff.","Potamogetonaceae","Potentilla","Pteridium.aquilinum","Quercus","Ranunculus","Rosaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Urticaceae","Vitis"
480,NA,0,0,0,0,8,4,1,0,0,9,5,14,0,0,0,0,0,0,0,6,0,0,11,0,0,0,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,6,1,32,237,6,44,0,0,32,0,4,0,0,0,5,25,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,6,2,0,0
490,NA,1,0,0,1,4,4,6,1,0,9,3,12,0,1,0,0,0,0,1,10,0,0,3,0,1,0,3,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,6,0,36,147,10,40,0,0,18,0,0,0,0,0,1,30,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,4,0,0,0
500,NA,0,0,0,0,3,7,9,0,0,8,0,4,0,0,0,0,0,0,0,14,0,0,6,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,44,156,11,39,0,0,26,0,2,0,0,0,4,14,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0
510,NA,1,0,0,0,7,0,8,0,0,7,0,19,0,0,0,0,0,0,1,3,0,0,2,0,1,0,2,3,3,0,1,0,0,0,0,0,0,0,0,0,1,2,15,0,33,150,9,41,0,0,14,0,0,0,0,0,1,28,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,2,0,0,1
520,NA,0,0,0,1,15,5,10,0,0,14,0,6,0,0,0,0,0,0,2,4,0,0,1,0,0,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,1,8,0,41,141,12,38,0,0,17,0,0,2,1,0,4,21,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,7,0,0,0
530,NA,0,0,0,1,13,4,18,0,0,17,2,18,0,0,2,0,0,0,3,7,0,0,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,33,42,22,28,0,0,32,0,0,1,0,0,2,73,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,7,2,0,0
540,NA,0,1,1,0,17,4,20,0,0,11,3,28,0,0,0,0,0,0,3,4,0,0,5,0,3,0,5,4,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,41,13,38,12,0,0,15,0,1,0,0,0,3,116,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,10,1,0,0
550,NA,0,1,0,0,30,9,15,0,0,20,1,16,0,0,0,0,0,0,2,8,0,0,4,0,2,0,4,2,0,0,2,2,0,0,0,0,1,0,0,0,0,1,4,0,117,13,45,5,0,0,15,0,0,0,1,0,2,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,1,0,1
560,NA,1,0,1,0,29,5,10,0,0,7,1,50,0,0,0,0,0,1,3,9,0,0,5,0,1,0,5,12,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,107,9,46,4,0,0,17,0,5,0,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0
570,NA,3,0,0,0,26,3,12,0,0,2,1,36,0,0,1,0,0,0,5,7,0,0,1,0,0,0,1,5,1,0,3,0,0,0,1,0,3,0,0,0,0,2,6,2,132,3,49,1,0,0,12,0,2,0,0,0,4,7,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,20,0,0,1
580,NA,2,0,0,1,29,6,5,0,0,8,1,30,0,0,1,0,0,0,0,13,0,0,1,0,4,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,142,0,50,0,0,0,6,0,0,1,0,0,15,12,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,13,3,0,0
590,NA,4,0,0,0,34,4,5,0,0,13,1,42,0,0,2,0,0,0,1,7,0,0,3,0,2,1,3,3,0,0,2,0,1,1,1,0,2,0,0,0,0,1,5,6,126,3,49,1,0,0,2,0,0,0,0,0,2,11,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,16,0,0,0
600,NA,1,0,0,0,40,6,5,0,0,10,0,45,0,1,1,0,0,0,4,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,9,0,0,0,0,1,2,10,99,0,50,0,0,0,3,2,2,3,3,0,7,11,0,0,0,0,0,7,2,0,0,0,0,1,0,1,2,19,0,0,0
610,NA,6,0,0,2,35,1,6,0,1,6,1,51,0,0,0,0,0,0,5,8,0,0,3,0,1,0,3,3,0,0,1,0,1,0,2,0,2,0,0,0,0,0,4,10,120,0,50,0,0,0,3,0,0,0,2,0,7,9,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,11,1,0,0
620,NA,2,0,0,1,42,2,2,0,1,14,1,42,0,0,1,0,0,0,8,18,0,0,1,0,2,0,1,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,10,100,0,50,0,0,0,10,2,0,2,3,0,7,11,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,16,0,0,0
630,NA,8,0,0,0,40,1,6,0,0,8,1,54,0,0,2,0,0,0,5,6,0,0,2,1,1,0,2,4,0,0,0,0,0,0,1,0,3,0,0,1,0,0,5,16,0,0,0,0,80,0,6,0,0,5,0,0,5,16,1,1,0,0,1,3,0,0,0,0,0,0,0,3,0,23,0,0,0
640,NA,4,1,0,1,57,3,2,0,0,5,1,48,0,0,0,0,0,0,0,8,0,0,1,0,8,0,1,1,0,0,0,2,0,0,3,0,4,0,0,2,1,0,4,23,0,0,0,0,83,0,5,0,0,6,3,0,2,14,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,17,0,0,1
650,NA,9,0,0,0,36,1,4,0,0,6,1,56,0,0,1,0,1,0,1,14,0,0,0,1,1,0,0,6,1,2,0,0,0,0,3,0,7,0,0,0,0,0,8,21,0,0,0,0,56,0,3,4,7,6,2,0,3,17,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,28,0,0,0
660,NA,2,1,0,2,43,3,3,0,0,8,1,43,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,4,0,0,0,4,0,2,33,0,0,0,0,77,0,4,0,0,12,0,0,5,11,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,32,0,0,0
670,NA,2,0,0,0,3,3,4,0,0,4,2,35,0,0,0,0,0,0,6,10,0,1,0,0,3,0,0,7,0,1,0,1,2,0,0,0,18,0,0,2,1,0,4,77,0,0,0,0,65,0,2,0,0,0,0,1,2,18,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,28,0,0,0
680,9199,0,0,0,0,3,2,4,0,0,8,1,44,0,0,1,0,0,0,3,32,0,0,1,0,9,0,1,7,0,1,0,0,1,0,3,0,5,0,0,1,0,0,3,75,0,0,0,0,64,0,7,0,1,0,10,0,1,7,0,1,0,0,0,13,0,0,0,0,0,0,0,1,1,17,1,0,0
690,9685,1,1,0,0,3,2,7,0,0,9,0,17,0,0,0,0,0,0,3,8,0,1,1,0,8,0,1,8,1,1,0,0,0,0,1,0,14,1,0,0,0,0,4,1,0,0,0,0,68,0,6,1,0,16,2,0,1,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,32,0,0,0
700,10171,2,0,0,1,1,1,3,0,0,11,1,28,0,0,2,0,0,0,2,24,0,0,0,0,13,0,0,17,0,21,0,0,1,0,2,0,16,1,0,0,0,0,1,221,0,0,0,0,95,0,7,0,0,0,3,0,0,12,0,1,0,0,0,7,2,0,0,1,0,0,0,0,0,42,0,0,0
