"sample.depths","sample.ages","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Amaranthaceae","Poaceae","Brassicaceae","Acer.saccharum","Carya.ovata","Lythrum.salicaria","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Alnus.incana.type","Cyperaceae","Ericaceae","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Acer.nigrum","Onagraceae","Ilex.Nemopanthus","Populus.balsamifera.type","Shepherdia.canadensis","Abies.balsamea","Taxus","Urticaceae","Rosaceae","Thalictrum","Acer.pensylvanicum","Acer.saccharinum","Juniperus.communis.Thuja.occidentalis.type","Corylus.cornuta","Myrica.gale","Juglans.nigra","Pinaceae","Cornus","Castanea.dentata","Acer.spicatum","Viburnum","Elaeagnus.commutata","Caryophyllaceae","Plantago"
125,2740,0.0121396054628225,0.00151745068285281,0,0.247344461305008,0.185128983308042,0.0288315629742033,0.00303490136570561,0,0,0.00455235204855842,0.0121396054628225,0,0.0485584218512898,0,0.00303490136570561,0,0.0227617602427921,0,0.00606980273141123,0,0.00151745068285281,0,0.0242792109256449,0.00455235204855842,0,0.0424886191198786,0.0166919575113809,0.330804248861912,0.00151745068285281,0,0,0,0,0,0.00151745068285281,0,0,0,0,0,0,0.00151745068285281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3288,0.00554016620498615,0.00138504155124654,0,0.196675900277008,0.177285318559557,0.0152354570637119,0.00277008310249307,0,0,0.00831024930747922,0.0166204986149584,0,0.0290858725761773,0,0.00831024930747922,0,0.0290858725761773,0,0.00277008310249307,0,0.00277008310249307,0,0.0290858725761773,0.00277008310249307,0,0.056786703601108,0.0858725761772853,0.317174515235457,0,0,0,0.0110803324099723,0,0,0.00138504155124654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3836,0.00689655172413793,0,0.00229885057471264,0.229885057471264,0.128735632183908,0.0436781609195402,0.00459770114942529,0,0,0.00919540229885057,0.0275862068965517,0,0.0827586206896552,0.00229885057471264,0.00689655172413793,0,0.0689655172413793,0,0.00689655172413793,0,0.00229885057471264,0,0.0528735632183908,0.00459770114942529,0,0.0781609195402299,0.12183908045977,0.11264367816092,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00459770114942529,0,0,0,0,0,0,0,0,0,0
200,4306,0.0171673819742489,0,0.00214592274678112,0.302575107296137,0.141630901287554,0.0515021459227468,0.00858369098712446,0,0.00214592274678112,0,0.0472103004291846,0,0.0965665236051502,0,0.0107296137339056,0,0.0515021459227468,0,0.0107296137339056,0,0.00214592274678112,0,0.0407725321888412,0.00858369098712446,0,0.103004291845494,0.0493562231759657,0.0472103004291846,0,0,0,0,0,0.00214592274678112,0,0,0,0,0.00214592274678112,0,0,0,0,0,0,0,0,0,0,0,0.00214592274678112,0,0,0,0,0,0,0,0,0
225,4465,0.0273972602739726,0,0.00228310502283105,0.276255707762557,0.114155251141553,0.0319634703196347,0.0205479452054795,0,0,0.0091324200913242,0.045662100456621,0,0.118721461187215,0,0.00684931506849315,0,0.0593607305936073,0,0.0159817351598174,0,0,0,0.045662100456621,0.0091324200913242,0,0.0707762557077626,0.0684931506849315,0.0776255707762557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4624,0.0151515151515152,0,0.00378787878787879,0.373106060606061,0.166666666666667,0.0492424242424242,0.00946969696969697,0,0,0.00568181818181818,0.0303030303030303,0.00378787878787879,0.0568181818181818,0.00757575757575758,0.00946969696969697,0,0.0397727272727273,0,0.0113636363636364,0,0.00189393939393939,0,0.0359848484848485,0.00757575757575758,0,0.0378787878787879,0.0568181818181818,0.0643939393939394,0,0,0,0.00378787878787879,0.00189393939393939,0,0,0,0,0,0.00378787878787879,0,0,0,0,0,0,0,0.00189393939393939,0,0,0,0.00189393939393939,0,0,0,0,0,0,0,0,0
275,5748,0.0373514431239389,0,0,0.188455008488964,0.0543293718166384,0.0611205432937182,0.0135823429541596,0,0,0.00509337860780985,0.0271646859083192,0,0.100169779286927,0,0.0118845500848896,0.00169779286926995,0.067911714770798,0,0,0,0,0,0.0305602716468591,0.0033955857385399,0,0.129032258064516,0.0560271646859083,0.202037351443124,0,0,0,0.0033955857385399,0,0.00509337860780985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169779286926995,0,0,0,0,0,0,0,0
287.5,6310,0.00557103064066852,0,0,0.242339832869081,0.011142061281337,0.0473537604456825,0.00139275766016713,0,0,0,0.0139275766016713,0.00139275766016713,0.0919220055710306,0.00139275766016713,0.00974930362116992,0,0.0821727019498607,0,0,0,0,0,0.0292479108635097,0.00417827298050139,0,0.0403899721448468,0.0863509749303621,0.299442896935933,0,0.00139275766016713,0.00696378830083565,0.00278551532033426,0,0.00696378830083565,0,0,0,0,0,0,0,0.00139275766016713,0.00696378830083565,0,0.00139275766016713,0,0,0.00278551532033426,0,0,0.00139275766016713,0,0,0,0,0,0,0,0,0
300,6837,0.0256849315068493,0.00342465753424658,0.00342465753424658,0.205479452054795,0.0291095890410959,0.0428082191780822,0.00513698630136986,0,0,0.00513698630136986,0.00684931506849315,0.00171232876712329,0.0993150684931507,0,0,0,0.0325342465753425,0,0,0,0,0,0.0308219178082192,0.00171232876712329,0,0.102739726027397,0.0428082191780822,0.337328767123288,0.00171232876712329,0,0,0,0,0,0,0,0,0,0.00342465753424658,0,0,0,0,0,0,0,0.00171232876712329,0,0,0,0,0.00171232876712329,0.0154109589041096,0,0,0,0,0,0,0
312.5,7312,0.00689655172413793,0.00344827586206897,0,0.125862068965517,0.0224137931034483,0.0706896551724138,0,0,0,0,0.0258620689655172,0,0.168965517241379,0,0.00344827586206897,0,0.0379310344827586,0,0.00172413793103448,0,0,0,0.0206896551724138,0,0,0.0620689655172414,0.16551724137931,0.231034482758621,0,0.00517241379310345,0.0224137931034483,0.00172413793103448,0,0.00862068965517241,0.00172413793103448,0,0,0,0,0,0,0.00172413793103448,0.00517241379310345,0,0,0,0,0,0,0,0,0,0,0.00172413793103448,0.00517241379310345,0,0,0,0,0
325,7787,0.0242130750605327,0.00484261501210654,0,0.099273607748184,0.0193704600484262,0.0484261501210654,0.00242130750605327,0,0,0.00484261501210654,0.072639225181598,0,0.130750605326877,0.00242130750605327,0.00484261501210654,0.00242130750605327,0.0387409200968523,0,0,0,0.00242130750605327,0,0.0338983050847458,0,0,0.292978208232446,0.130750605326877,0.0847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337.5,8261,0.00398406374501992,0.00199203187250996,0.00199203187250996,0.123505976095618,0.00796812749003984,0.0657370517928287,0,0,0,0,0.0458167330677291,0,0.207171314741036,0.00199203187250996,0.00199203187250996,0.00199203187250996,0.0856573705179283,0,0,0.00199203187250996,0.00398406374501992,0,0.00796812749003984,0,0,0.131474103585657,0.219123505976096,0.00796812749003984,0.00199203187250996,0.00199203187250996,0.0378486055776892,0.00199203187250996,0,0.0139442231075697,0.00199203187250996,0,0,0,0,0,0,0.00796812749003984,0.00398406374501992,0,0.00199203187250996,0,0,0,0,0,0.00398406374501992,0,0,0,0,0,0,0,0,0
350,8736,0.0275862068965517,0.00229885057471264,0,0.245977011494253,0.032183908045977,0.0252873563218391,0,0,0,0.00919540229885057,0.103448275862069,0.00459770114942529,0.0574712643678161,0.00919540229885057,0.00229885057471264,0,0.032183908045977,0.00229885057471264,0,0,0,0,0.0114942528735632,0,0,0.172413793103448,0.239080459770115,0.00229885057471264,0.00689655172413793,0,0.00229885057471264,0.00229885057471264,0,0,0,0,0,0,0,0,0.00229885057471264,0.00459770114942529,0,0,0,0,0,0,0,0,0.00229885057471264,0,0,0,0,0,0,0,0,0
367.5,9400,0.0125223613595707,0,0,0.241502683363148,0.00178890876565295,0.0286225402504472,0,0,0,0.00178890876565295,0.0429338103756708,0.0161001788908766,0.116279069767442,0.0071556350626118,0,0.0035778175313059,0.0447227191413238,0,0.0035778175313059,0.00178890876565295,0.00536672629695885,0,0.0143112701252236,0.00178890876565295,0,0.193202146690519,0.223613595706619,0.0071556350626118,0,0.0035778175313059,0.0035778175313059,0.00536672629695885,0,0.00178890876565295,0,0,0,0,0,0,0,0.0035778175313059,0.0035778175313059,0.00178890876565295,0,0,0,0,0,0,0.00894454382826476,0,0,0,0,0,0,0,0,0
375,9685,0.0119047619047619,0,0,0.211309523809524,0.00297619047619048,0.0535714285714286,0,0,0,0.0238095238095238,0.0803571428571429,0,0.101190476190476,0,0.00297619047619048,0,0.0327380952380952,0,0,0,0.00297619047619048,0,0.00892857142857143,0.00297619047619048,0,0.327380952380952,0.101190476190476,0.0148809523809524,0.00595238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0.00297619047619048,0.00297619047619048,0,0,0,0,0,0,0,0,0
390,10254,0.00842105263157895,0.00210526315789474,0.00210526315789474,0.231578947368421,0.00421052631578947,0.0105263157894737,0,0,0,0.0252631578947368,0.0842105263157895,0.00631578947368421,0.0842105263157895,0.0147368421052632,0,0,0.0105263157894737,0,0,0.00421052631578947,0.00842105263157895,0,0.0126315789473684,0,0,0.357894736842105,0.0694736842105263,0,0.00842105263157895,0.00210526315789474,0,0.00842105263157895,0,0,0.00421052631578947,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0.0273684210526316,0,0,0,0,0.00210526315789474,0,0,0,0
400,NA,0.0174291938997821,0.00544662309368192,0.00980392156862745,0.261437908496732,0,0.0119825708061002,0.00217864923747277,0,0.00108932461873638,0.0381263616557734,0.140522875816993,0.0119825708061002,0.0718954248366013,0.00980392156862745,0,0.00108932461873638,0.0326797385620915,0,0.0065359477124183,0.00108932461873638,0.00980392156862745,0,0.00435729847494553,0,0,0.254901960784314,0.0359477124183007,0.00435729847494553,0.014161220043573,0,0.00108932461873638,0.00544662309368192,0,0.00217864923747277,0.00108932461873638,0,0,0,0,0.00326797385620915,0,0,0,0,0.00108932461873638,0,0,0,0,0.00435729847494553,0.0348583877995643,0,0,0,0,0,0,0,0,0
410,NA,0.0147420147420147,0.00491400491400491,0.0122850122850123,0.245700245700246,0.0147420147420147,0.00245700245700246,0,0,0,0.103194103194103,0.0540540540540541,0,0.058968058968059,0.0122850122850123,0,0.00491400491400491,0.027027027027027,0,0.00245700245700246,0.00245700245700246,0.0147420147420147,0,0.00245700245700246,0.00491400491400491,0,0.235872235872236,0.058968058968059,0.00491400491400491,0.0122850122850123,0.00245700245700246,0,0.0393120393120393,0.00491400491400491,0.00491400491400491,0,0,0,0,0,0.0171990171990172,0,0.00737100737100737,0,0,0,0.00491400491400491,0,0,0,0.00491400491400491,0.0171990171990172,0,0,0,0,0,0.00245700245700246,0,0,0
420,NA,0.0132669983416252,0.0066334991708126,0.0099502487562189,0.167495854063018,0.00165837479270315,0.0281923714759536,0.0033167495854063,0,0.0033167495854063,0.2106135986733,0.0348258706467662,0.0315091210613599,0.149253731343284,0.0132669983416252,0,0,0.033167495854063,0.00165837479270315,0.0165837479270315,0,0.0099502487562189,0,0.00829187396351575,0.00497512437810945,0,0.145936981757877,0.0381426202321725,0.0066334991708126,0.0414593698175788,0,0.00165837479270315,0.00165837479270315,0,0,0,0,0,0,0,0.00497512437810945,0.00165837479270315,0,0,0,0,0.00165837479270315,0,0,0,0,0.0066334991708126,0.00165837479270315,0,0,0,0,0,0,0,0
425,NA,0.0230179028132992,0.0051150895140665,0.0179028132992327,0.194373401534527,0.0230179028132992,0.0230179028132992,0.00255754475703325,0,0.00255754475703325,0.153452685421995,0.0792838874680307,0.010230179028133,0.117647058823529,0.0051150895140665,0,0.0051150895140665,0.00767263427109974,0,0.0153452685421995,0,0.0127877237851662,0,0.00767263427109974,0,0,0.153452685421995,0.0153452685421995,0.0051150895140665,0.0690537084398977,0.00255754475703325,0.00767263427109974,0.010230179028133,0.00255754475703325,0.00255754475703325,0.00255754475703325,0,0,0.0051150895140665,0,0.00255754475703325,0.0051150895140665,0.00767263427109974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255754475703325,0,0,0,0
430,NA,0.0346020761245675,0.00173010380622837,0.0242214532871972,0.275086505190311,0.0294117647058824,0,0,0,0,0.131487889273356,0.0484429065743945,0,0.0570934256055363,0.0311418685121107,0,0.00346020761245675,0.0173010380622837,0,0.0207612456747405,0,0.0069204152249135,0,0,0.00173010380622837,0,0.185121107266436,0.0173010380622837,0.00346020761245675,0.0069204152249135,0,0,0.0190311418685121,0,0.0069204152249135,0,0,0,0.00519031141868512,0,0.055363321799308,0.00519031141868512,0.00173010380622837,0,0,0,0,0,0,0,0.00346020761245675,0.00519031141868512,0,0,0,0,0,0,0.00173010380622837,0,0
440,NA,0.0686015831134565,0.00527704485488127,0.054089709762533,0.267810026385224,0,0.0224274406332454,0,0.00263852242744063,0.00131926121372032,0.0474934036939314,0.054089709762533,0.00659630606860158,0.0448548812664908,0.135883905013193,0,0.00527704485488127,0.00527704485488127,0,0.00527704485488127,0,0.0171503957783641,0,0,0.00263852242744063,0,0.16622691292876,0.0118733509234828,0.0118733509234828,0.0158311345646438,0,0.00263852242744063,0.0118733509234828,0,0.00131926121372032,0,0,0,0.00131926121372032,0,0,0.00659630606860158,0,0,0,0.00263852242744063,0,0,0,0,0,0.00131926121372032,0,0,0,0,0.00131926121372032,0,0,0.0158311345646438,0.00263852242744063
445,NA,0.0763723150357995,0.00477326968973747,0.0381861575178998,0.138424821002387,0,0.0405727923627685,0,0.00477326968973747,0,0.119331742243437,0.112171837708831,0,0.0262529832935561,0.0119331742243437,0,0.00238663484486874,0.00477326968973747,0,0.00238663484486874,0,0.0190930787589499,0,0,0,0,0.274463007159905,0.0071599045346062,0.00954653937947494,0.0381861575178998,0,0.00238663484486874,0.0190930787589499,0.00238663484486874,0.00477326968973747,0,0,0,0.00477326968973747,0,0,0.00238663484486874,0,0,0,0.0071599045346062,0.00477326968973747,0,0,0,0,0,0,0,0,0,0,0,0,0.0214797136038186,0
450,NA,0.0391705069124424,0.0161290322580645,0.0391705069124424,0.186635944700461,0,0.0115207373271889,0,0,0,0.142857142857143,0.076036866359447,0,0.0161290322580645,0.00460829493087558,0,0.00460829493087558,0.00460829493087558,0,0.00460829493087558,0,0.0207373271889401,0,0,0,0,0.294930875576037,0,0.0115207373271889,0.0230414746543779,0,0.00921658986175115,0.0576036866359447,0,0.00230414746543779,0,0,0,0.00230414746543779,0,0,0,0,0,0,0.00921658986175115,0.0207373271889401,0,0,0,0.00230414746543779,0,0,0,0,0,0,0,0,0,0
455,NA,0.0115606936416185,0.00578034682080925,0.0173410404624277,0.0809248554913295,0.00578034682080925,0,0,0,0,0.161849710982659,0.190751445086705,0,0.00578034682080925,0,0,0.00578034682080925,0,0,0,0,0.0173410404624277,0,0,0,0,0.317919075144509,0.00578034682080925,0.00578034682080925,0.0809248554913295,0,0,0.0635838150289017,0,0.00578034682080925,0.00578034682080925,0,0,0,0,0,0,0,0,0,0,0.0115606936416185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,NA,0,0,0.02,0.05,0.01,0,0,0,0,0.14,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.03,0.04,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,NA,0.0348837209302326,0.0116279069767442,0.0465116279069767,0.0813953488372093,0,0,0,0,0,0.186046511627907,0.13953488372093,0,0,0,0,0.0232558139534884,0,0,0.0232558139534884,0,0.0232558139534884,0,0,0,0,0.290697674418605,0,0.0232558139534884,0.0465116279069767,0,0.0116279069767442,0.0465116279069767,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,NA,0.028169014084507,0,0.0845070422535211,0.0985915492957746,0,0,0,0,0,0.211267605633803,0.140845070422535,0,0,0.028169014084507,0,0,0.0140845070422535,0,0,0,0.0563380281690141,0,0,0,0,0.253521126760563,0,0,0.0845070422535211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,NA,0.0769230769230769,0,0,0.115384615384615,0,0,0,0,0,0.269230769230769,0.0769230769230769,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0.230769230769231,0,0,0.115384615384615,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,0.0641025641025641,0.0128205128205128,0.0256410256410256,0.102564102564103,0,0,0,0,0,0.166666666666667,0.115384615384615,0,0.0256410256410256,0,0,0,0,0,0.0256410256410256,0,0.0512820512820513,0,0.0128205128205128,0,0,0.256410256410256,0.0128205128205128,0.0128205128205128,0.102564102564103,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
