"sample.depths","sample.ages","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Amaranthaceae","Poaceae","Brassicaceae","Acer.saccharum","Carya.ovata","Lythrum.salicaria","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Alnus.incana.type","Cyperaceae","Ericaceae","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Acer.nigrum","Onagraceae","Ilex.Nemopanthus","Populus.balsamifera.type","Shepherdia.canadensis","Abies.balsamea","Taxus","Urticaceae","Rosaceae","Thalictrum","Acer.pensylvanicum","Acer.saccharinum","Juniperus.communis.Thuja.occidentalis.type","Corylus.cornuta","Myrica.gale","Juglans.nigra","Pinaceae","Cornus","Castanea.dentata","Acer.spicatum","Viburnum","Elaeagnus.commutata","Caryophyllaceae","Plantago"
0,1,0.0223577235772358,0.170731707317073,0.00203252032520325,0.266260162601626,0.0589430894308943,0.0304878048780488,0.00203252032520325,0.0101626016260163,0.00203252032520325,0.0121951219512195,0.0182926829268293,0.0040650406504065,0.117886178861789,0.00203252032520325,0.00609756097560976,0.00609756097560976,0.0223577235772358,0.00609756097560976,0.0040650406504065,0.00609756097560976,0.0365853658536585,0.0040650406504065,0.032520325203252,0.008130081300813,0.00203252032520325,0.0752032520325203,0.0284552845528455,0.0386178861788618,0.0040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,219,0.00936329588014981,0.00187265917602996,0.00374531835205993,0.234082397003745,0.104868913857678,0.0224719101123595,0.00374531835205993,0,0.00936329588014981,0.0411985018726592,0.0168539325842697,0,0.052434456928839,0.00187265917602996,0.00187265917602996,0.00187265917602996,0.0243445692883895,0,0.00374531835205993,0,0.0112359550561798,0.00187265917602996,0.0112359550561798,0.00936329588014981,0,0.0898876404494382,0.132958801498127,0.131086142322097,0.00936329588014981,0.00561797752808989,0.0262172284644195,0.0205992509363296,0.00187265917602996,0.00374531835205993,0.00561797752808989,0.00374531835205993,0.00187265917602996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,548,0.029023746701847,0.00263852242744063,0,0.287598944591029,0.0949868073878628,0.0343007915567282,0.00263852242744063,0,0,0.0343007915567282,0.0263852242744063,0,0.0527704485488127,0,0.00527704485488127,0,0.0343007915567282,0,0.00527704485488127,0,0.0079155672823219,0,0.0316622691292876,0.00263852242744063,0,0.0474934036939314,0.113456464379947,0.160949868073879,0.0105540897097625,0,0,0,0,0,0.0079155672823219,0,0,0.00263852242744063,0.00527704485488127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,822,0.0089086859688196,0,0.0044543429844098,0.187082405345212,0.158129175946548,0.0178173719376392,0.0066815144766147,0,0,0.0111358574610245,0.0244988864142539,0.0022271714922049,0.0200445434298441,0,0.0089086859688196,0.0022271714922049,0.0267260579064588,0,0.0289532293986637,0,0,0,0.0378619153674833,0.0066815144766147,0,0.0089086859688196,0.11804008908686,0.291759465478842,0.0022271714922049,0.0022271714922049,0.0133630289532294,0,0,0.0022271714922049,0.0022271714922049,0,0,0,0,0.0022271714922049,0.0022271714922049,0.0022271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1096,0.00212765957446809,0.00425531914893617,0,0.257446808510638,0.161702127659574,0.0468085106382979,0.00212765957446809,0,0,0.0127659574468085,0.0234042553191489,0.00851063829787234,0.0425531914893617,0,0.0191489361702128,0.00212765957446809,0.0319148936170213,0,0.00638297872340425,0.00212765957446809,0,0,0.0446808510638298,0.0127659574468085,0,0.0936170212765957,0.165957446808511,0.048936170212766,0.00212765957446809,0,0,0.00425531914893617,0,0.00212765957446809,0,0,0,0,0.00212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.5,1370,0.00153609831029186,0,0.00614439324116743,0.244239631336406,0.153609831029186,0.0460829493087558,0.00307219662058372,0,0.00153609831029186,0.0153609831029186,0.0076804915514593,0.00307219662058372,0.0552995391705069,0.00307219662058372,0.00460829493087558,0.00153609831029186,0.0291858678955453,0,0.00460829493087558,0,0,0,0.0230414746543779,0.00614439324116743,0,0.00921658986175115,0.0522273425499232,0.293394777265745,0.00153609831029186,0,0.0199692780337942,0.00153609831029186,0,0.00614439324116743,0.00460829493087558,0,0,0,0,0.00153609831029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1644,0.010230179028133,0,0,0.265984654731458,0.117647058823529,0.010230179028133,0.0127877237851662,0,0,0.0153452685421995,0.0281329923273657,0,0.0358056265984655,0,0.00255754475703325,0,0.0332480818414322,0,0.00255754475703325,0,0,0,0.0358056265984655,0,0,0.030690537084399,0.0639386189258312,0.327365728900256,0.0051150895140665,0,0,0,0,0.00255754475703325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.5,1918,0.00125470514429109,0,0,0.209535759096612,0.136762860727729,0.0363864491844417,0.00125470514429109,0,0.00250941028858218,0.00501882057716437,0.00752823086574655,0.00376411543287327,0.055207026348808,0.00125470514429109,0.00250941028858218,0.00125470514429109,0.041405269761606,0,0.0250941028858218,0,0.00250941028858218,0,0.0501882057716437,0.00376411543287327,0,0.00752823086574655,0.105395232120452,0.265997490589711,0.00125470514429109,0.00376411543287327,0.00501882057716437,0,0,0.0112923462986198,0.00627352572145546,0,0,0,0,0,0,0.00250941028858218,0.00125470514429109,0.00125470514429109,0.00125470514429109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2192,0.00503778337531486,0.00251889168765743,0.00251889168765743,0.178841309823678,0.214105793450882,0.0277078085642317,0.0100755667506297,0,0.00251889168765743,0.0075566750629723,0.017632241813602,0,0.035264483627204,0,0.0226700251889169,0.00251889168765743,0.0226700251889169,0,0.0100755667506297,0,0.00251889168765743,0,0.0302267002518892,0.0075566750629723,0,0.148614609571788,0.0554156171284635,0.17632241813602,0,0,0,0,0,0,0.00503778337531486,0,0,0,0.00503778337531486,0,0,0.00503778337531486,0,0,0,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.5,2466,0,0,0,0.237623762376238,0.173267326732673,0.037953795379538,0.00495049504950495,0,0.00165016501650165,0.0033003300330033,0.0066006600660066,0.00165016501650165,0.0445544554455446,0,0.0198019801980198,0,0.0181518151815182,0,0.0115511551155116,0,0,0,0.0412541254125413,0.00825082508250825,0,0.0297029702970297,0.0874587458745875,0.224422442244224,0.00165016501650165,0.00825082508250825,0.0148514851485149,0,0,0.00495049504950495,0.00165016501650165,0,0,0,0,0,0,0.00495049504950495,0.00165016501650165,0,0,0,0.00495049504950495,0.0033003300330033,0.00165016501650165,0,0,0,0,0,0,0,0,0,0,0
