"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Alnus.incana.type","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Ilex","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Rosaceae.undiff.","Populus","Amaranthaceae","Viburnum","Poaceae","Plantago","Artemisia","Juglans.cinerea","Nyssa","Platanus","Tilia","Abies","Castanea","Fraxinus..tricolpate.","Thalictrum","Rhus","Polygalaceae","Ceanothus","Alnus.viridis.type","Cupressaceae","Larix","Myrica","Iva.annua.type","Fraxinus.undiff.","Liliaceae","Liquidambar","Potentilla.type","Celtis","Vitis","Ericaceae","Taxus","Apiaceae","Sanguisorba","Polygonum","Caryophyllaceae"
520,5632,369,0,10,0,1,0,17,8,0,1,38,0,0,0,1,0,72,71,0,0,135,0,4,0,0,0,0,0,1,0,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
540,6053,361,0,6,1,1,0,6,13,0,0,32,3,0,0,7,0,41,91,0,0,137,0,9,0,0,0,1,0,1,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
560,6481,419,0,11,0,0,1,18,8,0,2,42,7,0,0,6,1,33,115,0,0,150,1,6,0,0,0,1,0,0,0,0,5,0,4,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,6911,362,0,8,0,3,0,18,11,0,5,43,2,0,1,5,0,70,93,0,1,72,0,14,0,0,1,0,0,1,0,0,0,0,2,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
600,7339,319,1,8,0,2,1,10,4,1,2,35,2,0,1,2,0,29,90,0,0,110,0,7,0,0,0,2,0,1,0,0,1,0,3,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,7760,451,0,10,0,3,0,25,9,0,2,65,3,0,0,7,0,16,202,0,0,83,0,9,0,0,0,0,0,2,0,1,2,0,3,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
640,8170,399,2,8,0,8,0,16,8,1,2,51,2,0,0,6,0,27,188,0,0,61,0,9,0,0,0,0,0,0,0,0,4,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,8563,379,0,9,0,2,0,24,10,0,0,30,2,0,0,6,0,26,127,0,0,120,0,12,0,0,0,0,0,1,0,0,2,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,8936,448,1,10,0,4,0,27,7,1,2,62,2,0,0,9,0,64,133,0,0,103,1,8,0,0,0,1,0,0,0,0,4,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
700,9283,401,0,9,0,2,0,19,4,0,3,29,6,0,0,9,0,68,149,0,0,88,1,5,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
