"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Alnus","Myrica","Poaceae","Brassicaceae","Lamiaceae","Prunus.Sorbus","Acer.spicatum","Iva.xanthifolia.type","Potentilla.type","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Galium","Ledum.Chamaedaphne.calyculata","Xanthium","Ericaceae.undiff.","Carya","Ceanothus","Juglans.nigra","Tsuga","Ephedra","Amorpha.type","Arceuthobium","Rhamnus","Iva.annua.type","Herbs.undiff.","Tilia","Cannabaceae","Populus.undiff.","Rosaceae.undiff.","Dalea","Celtis","Viburnum","Fagus","Juglans.cinerea","Saxifragaceae","Plantago","Bidens.type","Ranunculus","Rumex","Impatiens","Rosaceae.trees","Taxus","Campanulaceae","Asteraceae.subf..Cichorioideae","Primulaceae","Polygonum","Acer.saccharinum.type","Shepherdia.argentea","Shepherdia.canadensis"
152,28,957,21,2,1,1,52,16,112,4,18,4,17,11,1,1,23,3,101,40,111,292,1,1,1,24,3,1,1,12,51,1,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,44,1016,20,1,0,0,46,18,133,1,11,5,5,3,3,0,20,1,91,53,96,388,0,0,2,25,0,2,0,5,52,1,27,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,84,888,15,1,1,0,28,12,118,0,5,2,9,7,2,2,25,1,89,46,140,289,0,0,0,17,1,4,1,7,43,1,12,0,0,0,0,1,0,0,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,252,889,14,0,0,0,10,15,148,1,6,6,15,8,3,1,37,1,76,26,135,288,0,0,2,32,1,2,1,5,34,1,5,0,0,0,2,0,0,0,6,0,0,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,453,697,10,0,0,0,9,8,102,0,3,4,4,2,4,0,24,5,50,29,86,274,1,0,2,29,0,1,0,5,31,0,3,0,1,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,586,985,10,0,0,0,13,22,161,0,3,3,7,8,4,0,43,6,74,56,178,268,0,0,2,28,2,0,1,14,59,2,6,0,0,0,1,1,0,0,1,0,0,2,0,2,2,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,720,699,5,0,1,0,5,17,119,0,0,2,11,6,1,0,28,5,64,47,148,158,0,0,0,26,1,0,0,6,27,6,9,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,815,707,10,0,0,0,0,7,81,0,1,2,2,6,2,0,30,1,60,17,131,299,0,0,0,11,3,0,0,5,28,4,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,863,973,13,1,0,0,8,14,132,0,3,3,2,5,8,1,43,4,64,42,151,345,0,1,4,27,7,1,1,9,52,6,10,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,958,746,7,0,0,0,3,8,65,1,4,2,5,3,0,1,41,3,62,18,225,245,0,0,1,13,0,0,0,2,21,4,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
