"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Corylus","Cupressaceae","Fagus","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Quercus","Tilia","Tsuga","Ulmus","Alnus","Fraxinus.americana.type","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Artemisia","Platanus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra","Cyperaceae","Ericaceae","Poaceae","Larix","Ambrosia","Populus","Salix","Myrica","Juglans.cinerea","Juglans.nigra","Amaranthaceae","Ranunculus","Iva.annua","Shepherdia.canadensis","Rumex"
100,NA,201,1,13,1,1,1,3,1,1,2,16,1,18,5,3,1,4,112,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7066,202,0,6,0,0,0,4,3,4,1,13,1,9,3,2,1,3,130,14,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7519,203,1,13,0,0,0,6,3,3,1,13,1,4,8,4,2,4,120,11,0,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
130,7972,202,1,3,0,0,1,4,2,3,0,14,1,4,3,1,0,1,132,22,3,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135,8198,204,1,6,0,1,0,4,4,4,1,11,0,0,3,3,1,4,139,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,8425,203,3,6,0,0,2,0,3,3,1,12,0,2,4,2,0,4,143,13,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,8651,201,1,10,0,0,2,1,1,4,1,10,0,1,3,4,0,3,93,62,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
150,8878,203,2,17,0,0,0,0,3,3,0,8,0,1,2,0,2,3,101,55,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
155,9104,203,1,14,0,0,4,0,2,4,3,11,0,2,3,2,1,0,90,63,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
160,9331,195,2,16,1,0,0,0,2,1,0,10,0,2,5,1,0,0,92,56,0,0,0,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0
165,9557,202,0,18,0,0,5,1,1,2,1,14,0,0,6,3,0,2,80,65,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
170,9784,204,1,12,3,0,1,2,4,5,0,14,0,1,3,2,0,1,52,92,0,0,0,4,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0
174,9965,207,1,16,0,0,7,0,7,1,1,13,0,2,7,6,2,1,12,115,0,2,1,5,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0
180,10236,203,2,7,0,0,5,0,3,1,9,8,0,2,3,2,0,0,7,140,1,1,1,3,0,0,0,0,1,4,2,0,1,0,0,0,0,0,0
185,10463,199,0,10,2,0,11,0,1,1,18,6,0,1,7,0,0,1,2,130,1,0,0,1,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0
190,10689,191,2,19,0,0,31,0,1,3,34,15,0,0,1,0,0,2,5,45,1,0,1,1,3,0,3,1,1,19,0,1,2,0,0,0,0,0,0
195,10916,205,0,17,1,0,32,0,5,3,45,13,0,0,6,2,0,0,2,32,2,0,1,5,9,0,2,0,0,20,2,5,0,0,0,1,0,0,0
200,11142,202,0,21,0,0,24,0,2,0,62,14,0,2,6,4,2,0,5,23,2,0,0,0,7,0,0,0,0,21,4,1,1,0,0,0,1,0,0
205,11369,202,0,10,0,0,23,0,2,1,63,9,0,1,4,1,0,1,29,6,3,0,1,2,5,0,1,0,0,38,1,1,0,0,0,0,0,0,0
210,NA,200,2,21,0,0,22,0,0,1,16,5,0,0,3,2,0,0,3,21,1,0,0,0,4,0,3,0,0,90,4,0,1,0,1,0,0,0,0
215,NA,200,0,62,1,0,19,0,1,0,13,5,0,1,5,2,0,0,0,28,3,0,1,1,19,0,4,0,0,21,13,0,1,0,0,0,0,0,0
220,NA,200,0,39,0,0,3,0,0,0,12,4,0,3,4,5,0,0,2,58,8,0,1,0,41,1,4,0,1,2,11,0,0,0,0,0,0,1,0
225,NA,200,2,26,0,0,4,0,0,0,13,7,0,3,7,10,0,0,2,57,7,0,3,0,42,0,3,0,2,3,8,0,0,0,0,0,0,0,1
230,NA,201,0,51,0,0,18,0,1,0,15,8,0,2,2,9,0,0,3,41,2,0,1,1,29,2,3,0,1,1,11,0,0,0,0,0,0,0,0
