"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Carya.ovata","Corylus.cornuta","Rumex.type","Viburnum.edule","Acer.spicatum","Artemisia","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Salix.undiff.","Ranunculaceae.undiff.","Pinus.resinosa.type","Populus.balsamifera.type","Taxus","Viburnum.undiff.","Acer.pensylvanicum","Sambucus","Rosaceae.undiff.","Fraxinus.americana.type","Brassicaceae","Viburnum.lentago","Viburnum.nudum","Lamiaceae.undiff.","Rubiaceae.undiff.","Prunus.virginiana","Galium","Apiaceae","Caryophyllaceae","Potentilla.palustris.type","Prunella.type","Viburnum.alnifolium","Prunus.undiff.","Acer.undiff.","Saxifraga.oppositifolia.type","Urtica.type","Acer.cf..A..pensylvanicum","Celtis.occidentalis","Prunus.pensylvanica","Juglans.nigra","Acer.nigrum","Saxifraga.cernua.type","Linnaea.borealis","Cornus.alternifolia","Rhamnus.cathartica","cf..Sarcobatus.vermiculatus","Acer.negundo","cf..Oxyria.digyna","Fabaceae.undiff.","Asteraceae.undiff.","Onagraceae.undiff.","Salix.reticulata.type","Shepherdia.canadensis","Ephedra","Dryas","Salix.herbacea.type","Salix.vestita.type","Oxytropis.maydelliana.type","Rhamnus.alnifolia.R..frangula","Hypericum"
5,63,0.00578034682080925,0.00770712909441233,0.0366088631984586,0.0173410404624277,0.317919075144509,0.00192678227360308,0.0327552986512524,0.0366088631984586,0.00192678227360308,0.0134874759152216,0.00192678227360308,0.00192678227360308,0.00385356454720617,0.0327552986512524,0.0134874759152216,0.0635838150289017,0.0269749518304432,0.00963391136801541,0.0173410404624277,0.00578034682080925,0.0154142581888247,0.0308285163776493,0.0674373795761079,0.00192678227360308,0.0154142581888247,0.00385356454720617,0.00192678227360308,0.071290944123314,0.0134874759152216,0.117533718689788,0.0115606936416185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,247,0.0012531328320802,0.0263157894736842,0,0,0.37593984962406,0,0.0288220551378446,0.147869674185464,0.012531328320802,0.0075187969924812,0,0.0037593984962406,0.0025062656641604,0.0137844611528822,0.0075187969924812,0,0.0263157894736842,0.0012531328320802,0.0288220551378446,0,0.0025062656641604,0.0050125313283208,0.0288220551378446,0.0025062656641604,0.0275689223057644,0.0025062656641604,0,0.0726817042606516,0,0.151629072681704,0,0.0037593984962406,0.0050125313283208,0.006265664160401,0.0012531328320802,0.0012531328320802,0.0037593984962406,0.0012531328320802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,424,0,0.0241157556270096,0.00160771704180064,0.00160771704180064,0.366559485530547,0,0.0209003215434084,0.141479099678457,0.00643086816720257,0,0,0,0,0.0321543408360129,0.0144694533762058,0.00160771704180064,0.0209003215434084,0.0112540192926045,0.0128617363344051,0,0,0.0160771704180064,0.0401929260450161,0,0.00803858520900321,0,0.0209003215434084,0.0562700964630225,0,0.165594855305466,0.00482315112540193,0.00482315112540193,0.00964630225080386,0.00321543408360129,0.00321543408360129,0,0,0,0.00160771704180064,0.00160771704180064,0.00160771704180064,0.00321543408360129,0.00160771704180064,0.00160771704180064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,587,0.0072992700729927,0.00364963503649635,0.0109489051094891,0.00182481751824818,0.293795620437956,0,0.00364963503649635,0.200729927007299,0.0109489051094891,0.00182481751824818,0,0,0,0.0474452554744526,0.0127737226277372,0,0.0437956204379562,0.00364963503649635,0.0164233576642336,0.00182481751824818,0.00182481751824818,0.0109489051094891,0.0255474452554745,0,0,0.00182481751824818,0.0218978102189781,0.0547445255474453,0.0072992700729927,0.118613138686131,0.00182481751824818,0.0675182481751825,0.0145985401459854,0,0.00547445255474453,0,0,0,0,0,0,0,0.00182481751824818,0,0.00182481751824818,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,730,0.00392156862745098,0.0941176470588235,0.0522875816993464,0.00392156862745098,0.222222222222222,0,0.0601307189542484,0.0797385620915033,0,0.0065359477124183,0,0.0065359477124183,0.00130718954248366,0.0222222222222222,0.00915032679738562,0,0.0183006535947712,0.00261437908496732,0.0117647058823529,0.00522875816993464,0.0117647058823529,0.00522875816993464,0.0535947712418301,0,0.00392156862745098,0,0.00522875816993464,0.105882352941176,0,0.158169934640523,0.00261437908496732,0.0222222222222222,0.0117647058823529,0,0.00392156862745098,0,0,0,0.00392156862745098,0.00392156862745098,0,0.00392156862745098,0,0,0,0,0.00130718954248366,0.00130718954248366,0.00130718954248366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,884,0.00140252454417952,0.112201963534362,0.00140252454417952,0.00280504908835905,0.280504908835905,0,0.0112201963534362,0.113604488078541,0.00280504908835905,0.00140252454417952,0,0.00701262272089762,0,0.00841514726507714,0.00841514726507714,0.00140252454417952,0.00701262272089762,0.00841514726507714,0.0196353436185133,0.00140252454417952,0.0196353436185133,0.00280504908835905,0.0378681626928471,0.00140252454417952,0.0154277699859748,0.00140252454417952,0,0.093969144460028,0,0.164095371669004,0.00140252454417952,0.02945301542777,0.0168302945301543,0.00140252454417952,0.00420757363253857,0.00280504908835905,0,0,0,0,0,0.00140252454417952,0.00140252454417952,0,0,0,0,0,0,0.00420757363253857,0.00420757363253857,0.00140252454417952,0.00561009817671809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,985,0,0.00628930817610063,0.0146750524109015,0,0.364779874213836,0,0.0230607966457023,0.0964360587002096,0.00838574423480084,0,0,0.00419287211740042,0,0.00838574423480084,0.0377358490566038,0,0.0251572327044025,0.0125786163522013,0.0146750524109015,0,0.00209643605870021,0,0.039832285115304,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.0461215932914046,0.039832285115304,0,0.157232704402516,0.00209643605870021,0.0419287211740042,0.0125786163522013,0.00419287211740042,0.00628930817610063,0.00209643605870021,0.00419287211740042,0,0,0.00419287211740042,0,0,0,0.00209643605870021,0,0.00628930817610063,0.00209643605870021,0,0,0,0,0,0,0.00419287211740042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1093,0,0.0290037831021438,0.00378310214375788,0.00126103404791929,0.490542244640605,0,0.00252206809583859,0.103404791929382,0.00378310214375788,0.00252206809583859,0,0,0,0.00504413619167718,0.0239596469104666,0,0.021437578814628,0.00378310214375788,0.00630517023959647,0.00126103404791929,0.00126103404791929,0.00882723833543506,0.0378310214375788,0.00126103404791929,0.00378310214375788,0.00378310214375788,0.00504413619167718,0.0844892812105927,0.00126103404791929,0.110970996216898,0.00252206809583859,0.0113493064312736,0.0100882723833544,0.00126103404791929,0.00252206809583859,0.00252206809583859,0.00126103404791929,0,0,0.00252206809583859,0.00126103404791929,0.00252206809583859,0,0.00126103404791929,0,0,0,0,0,0,0.00126103404791929,0,0,0,0.00252206809583859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1276,0.00126582278481013,0.60126582278481,0.0126582278481013,0,0.132911392405063,0,0.00759493670886076,0.0341772151898734,0.00253164556962025,0.00632911392405063,0,0,0,0.00632911392405063,0.00126582278481013,0.010126582278481,0.0151898734177215,0.00379746835443038,0.00759493670886076,0.00759493670886076,0.00632911392405063,0.00253164556962025,0.0151898734177215,0.00126582278481013,0.00253164556962025,0,0.00126582278481013,0.0341772151898734,0.00886075949367089,0.0392405063291139,0.00253164556962025,0.0139240506329114,0.0113924050632911,0.00253164556962025,0,0,0,0.00253164556962025,0,0.00126582278481013,0,0,0.00126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0.00253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1465,0.00590551181102362,0.110236220472441,0.0137795275590551,0.00196850393700787,0.251968503937008,0,0.00393700787401575,0.0984251968503937,0.00984251968503937,0.0137795275590551,0,0.0078740157480315,0.00196850393700787,0.00590551181102362,0.0196850393700787,0.00590551181102362,0.015748031496063,0.00196850393700787,0.0216535433070866,0.0137795275590551,0.00590551181102362,0,0.0767716535433071,0.00984251968503937,0,0.00984251968503937,0.00196850393700787,0.0984251968503937,0.0275590551181102,0.0826771653543307,0.00196850393700787,0.0137795275590551,0.0334645669291339,0.0118110236220472,0.00590551181102362,0,0,0,0,0,0,0.00196850393700787,0,0,0,0.00196850393700787,0.00196850393700787,0,0,0,0,0.00393700787401575,0,0,0,0,0.00196850393700787,0.00196850393700787,0.00196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
