"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Ericaceae","Picea","Salix","Alnus","Pinus","Poaceae","Rubus","Onagraceae","Fraxinus","Artemisia","Asteraceae.undiff.","Dryas.type","Ambrosia.type","Quercus","Fabaceae","Caryophyllaceae"
10,2363,224,13,40,3,3,88,1,73,2,1,0,0,0,0,0,0,0,0,0,0
20,3469,404,22,42,2,6,121,0,203,3,3,1,1,0,0,0,0,0,0,0,0
30,4575,319,21,66,1,1,124,1,98,5,1,0,0,1,0,0,0,0,0,0,0
40,5681,252,15,60,0,1,83,2,86,2,2,0,0,0,1,0,0,0,0,0,0
50,6788,261,10,64,2,3,19,1,157,2,2,0,0,0,0,1,0,0,0,0,0
60,7894,234,2,51,16,11,19,21,96,7,6,3,0,0,1,0,1,0,0,0,0
70,NA,254,1,84,8,7,16,43,42,9,13,23,0,1,2,1,1,1,1,1,0
80,NA,129,0,46,10,3,10,12,19,12,7,1,0,0,4,0,0,3,0,0,2
90,NA,136,1,54,17,3,11,2,16,14,13,0,0,0,2,1,0,1,1,0,0
