"sample.depths","sample.ages","upland.sum","Abies.balsamea","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..corroded.","Carya.ovata","Castanea.dentata","Cephalanthus","Cornus","Corylus.cornuta","Ericaceae","Fagus.grandifolia","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix.laricina","Myrica.gale","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Pinus","Platanus","Populus.balsamifera","Populus.tremuloides","Quercus","Salix","Sambucus","Thuja","Tilia.americana","Tsuga.canadensis","Ulmus","Vitis.riparia","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Carex","Chenopodiaceae.undiff.","Cyperaceae.undiff.","Dryas","Galium","Plantago","Poaceae","Rosaceae.undiff.","Rumex","Saxifraga","Stachys","Suaeda"
145,1728,575,4,0,0,5,0,13,4,6,1,57,6,25,2,0,0,3,0,90,14,22,0,1,0,13,0,12,2,4,16,48,3,0,0,69,0,4,0,4,115,17,0,1,0,0,0,0,2,0,0,0,0,0,12,0,0,0
155,1896,524,6,0,0,10,0,9,1,3,4,47,2,28,1,0,0,1,0,80,10,13,0,0,0,4,0,10,1,6,25,34,3,0,0,75,0,3,0,14,112,12,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0
165,2065,503,1,0,1,26,0,15,3,10,0,51,1,21,1,5,0,0,0,86,4,22,0,1,0,2,0,5,7,7,15,49,0,0,0,70,0,0,0,7,73,9,4,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0
175,2234,528,3,0,0,24,0,7,3,8,0,57,0,20,0,0,3,0,1,84,9,14,0,0,1,2,0,0,3,4,21,68,1,0,0,62,0,0,0,10,98,20,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
195,2571,512,3,0,0,12,0,11,0,0,0,31,0,15,0,0,0,0,0,133,8,13,0,0,0,17,0,0,3,0,0,118,1,0,0,63,0,0,0,2,69,8,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0
225,3078,474,2,0,0,4,0,12,0,6,0,36,0,9,0,0,0,0,0,106,5,12,0,3,0,9,0,0,0,2,0,71,0,0,0,62,0,0,0,3,118,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
235,3246,520,4,0,0,12,0,2,0,7,1,30,0,31,0,0,0,0,0,140,1,8,0,2,0,4,0,0,3,2,0,81,1,0,3,69,2,0,0,1,100,6,0,2,0,0,0,0,2,0,5,0,0,0,0,1,0,0
254,3567,512,1,0,0,5,0,7,1,3,0,41,0,18,0,0,1,0,0,153,6,12,0,5,0,47,0,0,10,3,0,89,1,0,1,45,0,1,0,4,39,12,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0
265,3753,511,3,0,0,18,1,2,0,10,0,71,2,20,1,1,0,0,0,104,15,13,0,2,1,2,0,0,4,2,4,96,0,0,1,79,0,0,0,7,33,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
278.5,3980,514,1,0,1,14,0,3,0,9,3,53,1,38,0,2,0,0,0,125,18,5,0,0,1,6,0,2,9,4,9,92,0,0,0,59,0,0,0,5,40,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
285,4090,520,5,0,0,19,3,5,0,7,1,39,0,31,0,3,0,0,0,66,25,23,0,0,1,1,0,2,23,2,2,92,1,0,0,107,0,0,0,3,31,22,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0
298,4309,544,5,0,1,6,0,8,0,6,2,32,11,47,1,6,0,0,1,91,12,21,0,2,0,5,0,2,16,1,2,73,2,0,13,113,0,0,0,3,26,20,0,1,0,0,0,0,1,0,0,1,1,0,10,0,2,0
305,4428,527,6,0,0,12,0,11,0,8,2,37,2,34,0,5,0,0,0,87,9,13,0,4,2,16,0,0,16,2,7,60,2,0,4,115,0,0,0,6,29,25,0,0,0,0,0,0,6,0,1,1,0,0,5,0,0,0
325,4765,556,1,0,0,9,0,20,4,6,1,58,5,38,0,5,0,0,1,123,18,21,0,4,9,14,0,1,15,3,3,14,1,0,4,117,0,0,0,6,26,15,0,1,0,0,0,0,3,0,5,0,0,0,5,0,0,0
335,4934,523,3,0,0,6,0,17,3,1,0,63,3,45,0,3,4,2,0,111,14,21,0,6,2,16,0,1,15,4,3,26,1,0,8,67,0,0,0,11,33,25,0,2,0,0,0,0,3,0,0,1,0,0,3,0,0,0
345,5102,542,2,0,0,2,0,14,2,2,2,73,0,32,0,0,1,0,0,145,3,7,0,3,4,4,0,0,12,2,3,21,1,0,1,95,0,0,0,10,74,21,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
