"sample.depths","sample.ages","upland.sum","Bumelia","Carya","Asteraceae.undiff.","Corylus","Cyperaceae","Fabaceae.undiff.","Quercus","Ambrosia","Myrica","Pinus","Amaranthaceae","Betula","Cephalanthus","Liquidambar","Salix","Alnus","Juglans","Poaceae","Euphorbiaceae","Polygonaceae","Casuarina","Ericaceae","Cupressaceae.Taxaceae","Ilex","Magnolia","Fraxinus","Celtis","Ulmus","Melastomataceae","Polygalaceae","Apiaceae","Cornus","Sophora","Cyrilla.racemiflora","Ostrya.Carpinus"
1,-36,336,2,4,10,4,46,2,22,56,4,66,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-19,778,0,0,210,24,114,0,14,0,2,122,256,4,4,2,2,2,2,12,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1,540,0,10,90,26,74,2,14,0,12,90,182,8,0,0,8,0,0,8,2,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
7,16,576,0,14,72,22,114,2,24,0,14,86,198,2,4,0,0,2,0,6,2,0,0,2,4,4,2,2,0,0,0,0,0,0,0,0,0
9,33,292,0,6,2,10,88,4,4,2,10,82,80,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,50,340,2,8,2,28,30,4,18,2,48,90,72,4,8,0,0,4,0,4,2,0,0,0,4,2,0,0,4,2,2,0,0,0,0,0,0
13,97,406,0,4,6,38,40,6,16,4,54,108,102,12,2,2,0,2,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
15,145,362,0,2,6,18,40,0,10,2,4,120,138,10,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0
17,193,328,0,0,10,22,26,4,18,0,30,94,102,4,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2,2,4,0,0
19,240,288,0,0,0,20,32,0,20,0,18,88,84,2,2,0,0,0,0,4,2,0,0,4,4,0,0,2,2,0,0,0,2,0,2,0,0
21,288,518,0,6,8,30,40,4,16,0,24,176,176,18,0,2,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0
23,335,326,0,2,4,30,40,2,22,0,4,140,66,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,2,0,0,0,2,0,0,2,0
25,383,174,0,0,4,0,28,0,6,2,24,52,52,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
27,430,262,0,0,2,0,16,2,8,0,88,106,26,0,0,0,0,2,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
29,499,18,0,0,0,0,0,0,0,0,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,568,178,0,0,0,0,16,0,8,0,34,76,26,0,0,0,0,0,0,2,0,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
33,636,346,0,0,4,0,44,4,26,0,42,114,88,0,2,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2
35,705,246,0,0,6,0,32,0,8,0,14,146,32,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2
37,774,392,0,0,0,0,6,2,10,4,12,312,40,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
39,843,178,0,0,0,0,6,0,2,0,2,154,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,971,178,0,0,2,0,6,0,6,0,6,132,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1100,194,0,0,0,0,4,0,0,2,6,144,32,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
45,1228,230,0,0,0,0,6,2,2,0,2,108,106,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1356,334,0,0,0,0,4,2,8,0,4,104,204,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1485,634,0,0,2,0,20,0,8,0,2,44,522,0,0,0,0,0,0,6,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
51,1613,318,0,0,2,0,20,0,8,0,4,90,184,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1675,252,0,0,2,0,4,0,6,0,10,82,132,0,0,0,0,2,0,4,0,2,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0
55,1737,170,0,0,6,0,6,0,8,0,4,82,58,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1798,376,0,0,8,0,6,0,0,0,6,204,140,2,0,0,0,2,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1860,204,0,0,0,0,4,0,2,0,4,78,114,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1921,190,0,0,2,0,2,0,4,0,2,86,92,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1983,106,0,0,2,0,2,0,2,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2045,46,0,0,0,0,0,0,2,0,2,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,NA,202,0,2,0,2,4,0,4,0,0,88,98,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
