"sample.depths","sample.ages","upland.sum","Carya","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Onagraceae","Polygonaceae","Justicia","Casuarina","Waltheria","Ilex","Apiaceae","Cyperaceae.undiff.","Iva","Euphorbiaceae","Vitis","Ericaceae","Ostrya.Carpinus"
0.5,-17,160,2,12,8,6,24,10,4,40,16,6,8,14,2,6,2,0,0,0,0,0,0,0,0
2.5,104,208,0,18,2,4,78,6,10,20,56,6,0,4,0,0,0,2,2,0,0,0,0,0,0
9.5,531,202,4,28,12,10,74,4,14,20,20,2,2,8,0,0,0,0,2,2,0,0,0,0,0
15.5,896,446,0,2,14,0,8,0,0,26,382,0,2,6,0,0,0,0,0,4,2,0,0,0,0
21,1231,400,0,2,4,4,8,0,4,54,302,2,0,10,0,0,0,2,2,2,2,2,0,0,0
25,1475,354,0,6,16,2,6,0,2,88,186,8,4,24,0,0,0,0,0,8,0,0,4,0,0
29,1718,210,0,0,0,0,0,0,0,80,114,2,0,12,0,0,0,0,0,2,0,0,0,0,0
35,2124,328,0,0,4,0,0,0,0,264,52,6,0,0,0,0,0,0,0,0,2,0,0,0,0
39,2448,386,0,0,0,6,2,0,2,214,152,0,0,6,0,0,0,0,0,2,2,0,0,0,0
45,2934,236,0,0,2,2,0,0,2,94,126,0,0,0,0,0,0,0,0,2,2,0,0,2,4
49,3258,568,0,0,2,2,0,4,0,246,310,0,0,2,0,0,0,0,0,0,2,0,0,0,0
61,3651,126,0,0,0,4,0,0,0,66,54,0,0,0,0,0,0,0,0,0,2,0,0,0,0
