"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","cf..Callitriche","cf..Oxyria.digyna","Cyperaceae","Dryopteris","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Nuphar","Onagraceae","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Ribes","Rosaceae","Salix","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
0,0,0,0,0,0,1,178,0,0,0,3,100,0,0,0,3,1,0,4,0,2,0,1,6,0,1,2,9,0,0,1,2,1,0,94,13,8,0,0,10,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,18,1,0
10,511,1,0,1,0,0,142,2,1,4,2,115,0,0,0,14,0,0,3,0,0,0,0,9,0,0,1,9,0,0,3,7,0,0,153,16,10,0,0,0,0,0,0,1,0,0,5,1,18,0,0,0,0,1,0,19,0,0
20,1022,1,0,0,0,2,159,0,1,1,1,116,0,0,0,14,0,0,3,0,0,0,0,11,0,2,3,5,1,0,0,3,0,0,107,14,11,1,1,6,0,1,0,1,0,0,2,1,9,0,0,0,0,0,0,23,0,1
30,1533,3,0,0,0,3,228,0,0,0,2,117,0,0,0,15,0,0,5,0,1,0,0,14,0,0,1,17,2,1,3,2,0,0,130,20,15,1,2,6,0,0,0,1,0,0,1,3,18,0,0,0,0,0,0,27,0,0
40,2044,7,1,1,0,7,176,0,0,0,0,101,0,0,0,12,0,0,2,0,1,1,0,13,0,1,2,9,1,0,4,1,0,1,125,12,14,1,0,6,1,1,0,0,0,0,0,1,21,0,0,0,0,1,0,25,0,1
50,2555,6,0,0,0,4,148,0,0,1,0,136,0,0,0,12,0,0,5,0,0,0,0,21,1,0,1,4,1,0,1,3,0,0,138,26,10,2,0,6,0,1,3,2,0,0,0,1,13,0,0,0,0,0,0,28,0,0
60,3066,11,0,1,0,16,231,0,0,1,0,164,0,0,0,10,0,0,4,0,0,0,0,8,0,1,2,8,0,0,7,2,0,0,147,18,7,7,2,9,0,0,0,0,0,0,1,3,6,0,1,0,0,2,0,13,1,0
70,3577,8,0,0,0,7,211,0,0,4,2,177,0,0,0,14,0,0,3,0,0,0,0,4,0,0,2,6,0,0,3,2,0,0,101,11,8,4,1,4,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,8,0,0
80,4088,5,0,0,0,8,265,0,3,4,3,194,0,0,0,20,0,1,2,1,1,0,0,1,0,1,2,9,1,0,5,2,0,0,133,13,9,2,1,3,0,0,0,0,0,1,3,3,10,0,0,0,0,0,0,22,0,0
85,4343,1,0,0,0,8,200,0,1,2,1,135,0,1,0,11,0,0,1,0,3,0,0,1,0,0,0,6,1,0,1,2,0,0,107,7,9,5,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,2,0,0
90,4599,8,0,0,0,4,226,0,0,1,3,58,0,0,0,20,0,0,1,1,1,0,0,0,0,0,1,6,0,0,0,1,0,0,115,8,5,5,0,3,0,1,1,0,0,0,0,1,10,0,0,0,0,0,0,17,1,0
95,4854,2,0,0,0,7,146,1,0,0,0,157,0,0,1,8,0,0,1,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,90,7,3,2,0,1,0,2,3,1,0,0,1,2,2,0,0,0,0,0,1,1,0,0
100,5090,3,0,0,1,4,186,1,0,0,2,200,0,0,0,14,1,1,2,0,0,0,0,2,0,0,0,5,2,0,1,0,0,0,95,5,1,3,0,2,0,1,1,1,0,0,0,3,5,1,0,0,0,0,0,20,0,0
110,5522,7,0,0,0,6,286,0,0,2,1,314,0,0,0,22,0,0,1,0,0,0,0,3,1,2,1,10,1,0,1,0,0,0,118,12,8,5,1,6,0,3,2,0,0,0,0,1,12,0,0,0,0,0,0,38,1,0
120,5955,4,0,0,0,4,208,0,0,3,3,247,0,0,0,4,0,0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,60,8,3,2,3,9,0,3,0,1,0,0,2,14,6,0,0,0,1,0,0,22,3,0
130,6387,0,0,0,0,5,222,1,0,0,0,432,0,1,0,4,0,0,0,0,1,0,0,1,0,0,2,5,0,0,0,0,0,0,86,4,4,0,0,0,2,0,2,1,2,0,1,2,4,0,0,1,0,2,1,20,0,0
135,6604,0,0,0,0,1,170,0,0,2,1,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,62,4,5,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
140,6820,0,1,0,0,14,505,1,0,2,1,59,1,0,0,10,1,0,4,0,0,1,0,0,0,2,11,5,0,0,1,0,0,0,11,2,2,5,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0
143,NA,0,0,0,0,1,453,0,0,1,0,52,0,0,0,4,0,0,3,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,14,1,2,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,2,1,0
