"sample.depths","sample.ages","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae.undiff.","Aralia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Boehmeria.type","Brasenia.schreberi","Brassicaceae","Cabomba","Carya","Castanea","Celtis","Cephalanthus","cf..Anthoceros","Chamaecrista","Clethra","Cornus","Cyperaceae","Cyrilla.racemiflora","Decodon.verticillatus","Dryopteris.type","Ericales.undiff.","Fagus","Fraxinus","Gleditsia","Gordonia","Hydrocotyle","Ilex","Indeterminable","Isoëtes","Itea","Iva","Juglans.nigra","Lechea","Liquidambar","Liriodendron","Ludwigia","Lycopodium.type","Magnolia","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Phoradendron","Pinus","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Pontederiaceae","Potamogetonaceae","Prunus.Sorbus","Pteridium.type","Quercus","Rhexia","Rhus","Rumex","Sagittaria","Salix","Serenoa","Smilax","Sparganium.type","Sphagnum","Symplocos","Taxodium","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Utricularia","Viburnum","Vitis","Xyris"
580,10,0,0,3,5,16,0,0,0,15,1,4,1,0,0,0,13,0,0,2,0,0,3,1,6,2,0,13,9,1,3,0,7,0,2,9,0,0,2,0,0,9,0,0,0,3,73,0,0,0,27,1,5,0,1118,1,0,22,1,0,0,0,0,4,250,0,0,4,0,2,1,0,0,3,0,25,0,0,0,2,3,0,5,4,0
595,106,0,1,3,5,14,1,0,1,8,0,2,1,0,0,0,11,0,0,1,0,3,0,0,4,1,2,13,14,4,6,0,7,0,4,2,0,2,3,0,0,7,0,0,0,3,38,0,0,0,13,2,5,0,840,0,0,11,0,0,0,0,1,3,165,0,0,3,1,1,0,0,0,1,0,83,0,0,0,4,6,0,8,3,0
605,171,0,1,1,2,2,0,1,1,3,2,9,0,0,0,0,35,0,1,0,0,1,1,0,6,0,0,16,10,6,2,0,5,0,2,9,0,0,1,0,0,23,0,0,0,1,36,0,0,1,17,4,6,0,1279,0,0,29,1,0,0,0,0,4,257,0,0,0,0,1,0,0,0,2,0,74,0,0,0,4,1,0,1,0,0
620,448,1,1,1,0,0,0,0,0,2,1,2,0,0,0,0,22,0,1,0,0,1,0,0,7,0,0,4,3,10,3,0,9,0,0,5,0,1,0,1,0,22,0,0,0,0,51,0,0,0,15,2,9,0,833,0,1,29,0,0,0,1,0,1,190,0,0,0,0,1,0,0,0,1,0,94,0,0,0,3,3,0,0,0,0
640,817,1,0,2,2,4,0,0,0,1,0,2,1,0,0,0,30,0,1,0,0,0,0,0,4,0,0,4,5,13,8,0,3,0,0,0,0,0,0,0,0,12,0,0,0,1,50,0,1,0,7,2,11,0,729,0,0,11,0,0,0,0,0,4,186,0,1,0,0,0,0,0,0,1,0,115,0,0,0,6,1,0,0,0,0
660,1186,2,0,1,2,3,0,0,0,1,1,5,0,0,0,1,23,0,0,0,0,0,0,0,6,0,0,5,6,11,2,0,9,0,1,4,0,1,0,0,0,14,0,0,0,3,45,1,3,0,9,7,9,0,676,0,0,14,0,0,0,0,1,4,163,0,0,0,0,0,0,0,0,2,0,114,0,0,0,2,1,0,0,2,0
680,1555,0,0,2,0,2,0,0,1,0,2,3,0,0,0,0,22,0,2,0,0,2,0,0,5,0,1,6,2,16,8,0,9,0,2,0,0,0,1,0,0,31,0,0,0,1,40,0,1,0,11,2,15,0,643,0,0,12,0,0,0,0,0,6,293,0,1,0,0,0,1,0,0,3,0,78,0,1,0,11,1,0,3,3,0
700,1924,3,0,1,0,1,0,0,0,3,2,3,1,0,0,1,46,1,1,1,0,1,0,0,3,0,0,8,6,9,5,0,14,0,0,5,0,2,0,0,0,22,0,0,0,6,31,1,0,5,12,6,7,0,1050,0,0,12,0,0,0,1,0,5,381,0,0,0,0,0,0,1,0,2,0,73,0,0,0,6,2,0,0,1,0
720,2294,0,0,1,3,2,0,0,0,0,1,2,0,0,0,0,35,0,0,1,0,1,0,0,2,0,2,5,4,8,5,0,8,0,1,8,0,0,0,0,0,24,0,0,0,0,52,0,1,6,14,6,18,0,1158,0,0,29,0,0,0,0,0,4,342,0,1,0,1,0,0,0,0,1,0,59,0,0,0,10,0,0,2,2,1
740,2663,2,1,2,1,1,1,0,0,0,2,0,1,0,0,0,52,0,1,1,0,1,0,1,10,0,0,7,2,5,8,0,8,0,0,3,0,1,0,0,0,23,0,0,0,0,45,0,0,0,12,10,10,0,1051,0,0,23,0,0,0,1,0,2,258,0,0,0,0,1,0,1,0,1,0,61,0,0,0,3,1,0,0,0,0
760,3032,1,0,1,1,3,0,0,0,1,1,0,1,0,0,0,24,0,0,3,0,2,0,0,8,0,0,9,1,7,4,0,13,0,0,6,0,1,0,0,1,23,0,0,0,1,45,0,1,2,27,18,12,0,1053,0,1,14,0,1,0,0,0,6,441,0,2,0,1,0,0,0,0,1,0,45,1,0,0,16,2,0,1,1,0
780,3401,0,0,2,1,3,0,0,0,1,0,1,0,0,0,0,56,0,1,1,0,0,0,0,5,0,0,9,0,4,9,0,4,0,1,2,0,0,0,1,0,39,0,0,0,2,46,0,2,0,18,7,19,0,753,0,1,22,0,0,0,0,0,6,252,0,0,0,1,0,0,0,0,0,0,32,0,0,0,9,1,0,0,0,0
800,3770,1,0,1,3,2,0,0,0,2,0,1,0,0,0,0,40,0,0,0,0,0,0,0,11,0,0,8,1,3,6,0,10,0,0,7,0,0,0,1,0,32,0,0,0,3,51,0,5,0,24,7,10,0,1039,0,2,13,1,0,0,2,0,9,392,0,0,0,1,0,0,0,0,1,0,49,0,0,0,8,0,0,0,2,0
