"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.undiff.","Betula","Caprifoliaceae.undiff.","Carya","Castanea","Celtis","Cupressaceae","Ericaceae","Fagus","Poaceae.undiff.","Liquidambar","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Juglans","Myrica","Populus","Zea","Acer.saccharum","Aquifoliaceae","Larix","Asteraceae.subf..Cichorioideae","Plantago.major","Plantago.lanceolata","Salix","Viburnum","Fabaceae","Ephedra","Corylus","Tilia","Liliaceae","Urtica","Cyperaceae","Cornus","Liriodendron","Rhus","Acer.negundo","Nyssa","Lamiaceae","Caryophyllaceae","Rosaceae","Rhamnus","Cephalanthus","Abies","Artemisia","Amaranthaceae","Thalictrum","Apiaceae","Humulus","Brassicaceae.type","Vitis"
2.5,-17,518,4,4,98,2,20,26,6,4,2,12,20,2,2,6,4,4,4,20,2,160,4,26,2,6,8,50,6,4,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,-8,576,10,2,108,0,12,22,0,2,0,24,12,0,0,12,10,10,2,50,2,166,6,28,6,12,10,0,6,2,0,2,0,8,2,2,40,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,338,2,0,58,0,2,10,0,4,0,12,16,2,0,2,0,4,4,32,0,102,0,28,2,0,10,26,10,0,0,0,0,2,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,9,580,6,0,96,0,22,28,0,14,0,14,14,0,0,6,2,12,2,50,0,194,0,38,0,4,12,0,4,4,0,2,0,6,2,2,36,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,26,804,6,4,104,0,22,46,0,10,0,36,16,0,0,12,4,14,16,68,0,276,10,68,6,8,18,30,8,0,0,0,4,10,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,52,740,4,0,72,0,14,36,0,6,2,44,6,2,0,10,8,44,16,70,0,232,2,72,4,0,22,34,22,4,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,86,644,2,2,74,0,18,20,0,0,2,40,4,2,0,10,4,24,18,50,0,228,0,86,0,4,16,18,14,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,94,836,2,0,80,0,12,58,0,6,0,38,10,0,0,12,8,34,12,76,2,298,12,92,6,6,12,22,8,4,0,0,0,8,0,0,2,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,111,804,2,4,90,0,12,38,0,2,2,46,12,0,0,22,2,16,22,56,2,356,2,50,0,6,10,20,8,4,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
18.5,120,684,6,2,84,0,20,56,0,2,2,22,0,0,0,8,6,22,18,56,0,222,2,86,0,10,8,18,8,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0
