"sample.depths","sample.ages","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Onagraceae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Quercus","Ranunculaceae","Rosaceae.undiff.","Rubus.chamaemorus","Salix.herbacea.type","Salix.undiff.","Sphagnum","Taxus","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum"
10,565,0,1,102,0,2,4,1,0,166,0,0,0,0,2,41,0,0,0,0,6,0,0,0,0,1,0,0,11,0,3,0,7,0,7,0,0,1,1,0,93,37,11,1,12,10,0,0,0,0,1,0,0,0,0,4,14,0,0,0,0,2,0,11,3,0
15,848,1,2,73,0,0,3,2,0,153,0,0,0,0,1,35,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,4,0,6,0,0,0,0,0,112,8,11,2,2,3,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0
25,1414,0,0,103,0,0,3,1,0,168,0,0,0,0,0,38,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,1,3,0,4,0,0,0,0,0,130,97,12,0,5,4,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0
35,1979,0,4,57,0,2,5,0,1,203,0,0,0,0,0,54,0,0,0,0,17,0,0,0,0,1,0,0,2,0,0,0,6,0,9,1,1,0,0,0,320,160,25,0,6,9,0,0,0,0,1,0,0,0,0,7,3,0,1,0,0,1,0,1,3,2
42,2093,0,0,105,0,0,4,0,0,152,0,0,0,0,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,210,37,13,0,4,7,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0
50,2223,0,4,70,0,0,5,0,0,106,0,1,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,0,0,0,194,143,8,4,3,2,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,2,0,0,1,0
60,2385,0,1,176,0,1,2,1,0,179,0,0,0,0,0,25,0,0,0,0,7,0,0,0,0,1,0,0,2,0,3,0,0,0,5,0,0,0,0,1,136,70,10,1,3,4,0,0,0,0,2,0,0,0,0,3,14,0,0,0,0,0,0,1,1,0
67,2499,0,0,121,0,0,4,0,0,147,0,0,0,2,0,19,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,208,39,9,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
75,2629,0,0,176,0,0,2,0,0,150,1,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,0,2,1,3,1,0,0,0,0,117,121,7,0,4,9,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0
85,2792,0,2,139,0,1,4,2,0,168,0,0,0,0,1,10,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,158,14,9,0,1,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
