"sample.depths","sample.ages","upland.sum","Carya","Asteraceae.undiff.","Cyperaceae","Cyrilla.racemiflora","Fabaceae.undiff.","Quercus","Rhizophora","Alnus","Myrica","Pinus","Amaranthaceae","Poaceae","Euphorbiaceae","Avicennia","Conocarpus","Schinus","Casuarina","cf..Acanthaceae","Betula","Ericaceae","Ilex","Ambrosia","Bumelia","Apiaceae","Hippocratea","Ostrya.Carpinus","Liquidambar","Polygonaceae","Sophora","Acer","Bursera.simaruba","Fraxinus","Cupressaceae.Taxaceae","Celtis","Salix","Ulmus","Meliaceae","Liliaceae","Juglans"
1.5,-35,228,18,16,2,2,12,22,30,4,4,56,20,2,10,6,10,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-29,270,14,18,12,0,4,36,44,0,4,50,16,8,6,10,6,0,22,4,4,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,-23,282,28,18,2,2,12,32,26,8,2,64,22,0,4,4,10,0,14,6,2,0,2,18,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,-16,232,6,18,6,12,4,14,8,6,6,80,22,2,4,0,2,0,20,0,8,0,2,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,-10,328,52,12,4,8,12,34,28,8,2,56,18,4,18,6,14,4,12,2,4,0,0,4,2,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0
6.5,-5,186,8,6,4,0,14,14,28,2,2,42,18,6,10,2,2,0,10,0,10,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,232,26,10,6,12,22,20,16,4,0,36,18,10,6,0,12,2,12,4,4,0,2,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
8.5,5,254,26,20,4,0,26,14,22,6,4,30,18,0,12,0,12,2,14,16,4,0,4,12,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
9.5,10,272,48,20,2,2,10,22,28,2,0,42,22,0,24,4,4,4,12,8,0,0,2,12,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
10.5,15,176,14,10,6,0,8,12,4,0,0,40,14,2,16,0,6,0,24,12,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11.5,20,306,8,14,28,2,14,14,14,0,2,114,16,4,16,0,4,0,34,2,8,0,2,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
12.5,25,300,16,20,36,2,10,14,6,0,6,110,10,2,6,0,12,0,34,2,4,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
13.5,30,466,0,34,190,2,8,12,6,2,4,136,6,8,10,0,2,0,36,0,4,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
14.5,35,566,0,116,186,0,6,14,20,4,20,170,10,2,0,2,10,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
15.5,40,494,8,58,190,0,4,8,10,4,12,150,16,0,2,0,8,0,18,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
16.5,45,438,18,116,120,2,2,6,10,0,14,102,0,4,2,0,8,0,26,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
17.5,50,470,0,146,138,0,4,18,10,4,8,98,4,6,2,10,6,0,0,0,2,0,2,2,0,2,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0
18.5,94,524,2,188,80,0,16,24,24,2,16,80,8,4,12,0,30,0,0,0,0,0,4,2,2,0,0,0,0,0,18,0,0,0,0,8,2,0,2,0,0
19.5,138,486,0,110,162,0,6,28,24,2,0,90,10,6,12,2,24,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
20.5,181,430,2,106,108,0,16,24,12,2,2,90,16,0,8,0,28,4,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,4,0,2,0,0,0,0,0
21.5,225,396,4,30,170,0,6,16,16,2,2,78,8,6,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,2
22.5,259,374,0,44,130,0,18,18,16,4,2,84,12,0,8,4,16,0,0,0,4,0,0,0,2,0,2,0,0,2,2,0,0,0,0,2,0,2,0,0,2
23.5,282,234,0,10,8,0,2,16,24,4,2,76,10,0,8,2,52,0,0,0,0,4,4,0,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
24.5,306,262,0,8,26,0,2,8,6,0,58,136,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0
26,341,338,4,24,36,0,6,14,6,2,80,116,16,2,2,0,20,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0
28,388,392,0,0,36,0,2,14,4,2,50,268,8,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
32,481,458,0,14,34,0,14,20,10,6,116,204,8,0,12,0,14,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
34,528,408,0,6,26,0,10,16,12,2,96,216,6,2,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
