"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula..small.","Betula.undiff.","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum","Cystopteris.type","Equisetum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Typha.latifolia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
12,982,4,1,15,0,0,82,0,0,0,0,1,1,3,4,1,0,0,66,0,18,0,2,5,0,0,0,5,0,3,4,0,0,7,0,0,0,15,32,4,0,0,0,5,0,6,6,5,62,0,3,2,15,9,8,2
14,1153,6,1,10,0,0,102,0,0,0,3,3,0,0,3,0,0,0,94,1,20,0,0,1,0,0,0,13,1,4,4,0,0,0,2,0,0,6,10,3,0,3,0,0,1,10,2,0,66,0,0,4,11,1,21,5
16,1324,10,4,15,0,0,166,1,1,0,0,5,0,0,2,0,0,0,38,1,50,1,1,4,0,0,0,16,1,0,2,0,0,0,1,0,0,5,0,9,0,0,0,0,7,15,21,0,58,0,6,7,1,0,34,0
17,1410,6,4,19,0,0,164,0,0,0,1,4,2,0,2,1,0,1,60,0,24,0,0,2,0,0,0,4,0,2,1,2,0,0,0,0,0,4,2,9,0,0,0,0,6,7,13,0,70,0,6,6,13,11,4,1
18,1496,0,0,3,0,0,266,0,0,0,1,2,1,0,1,0,0,0,37,0,14,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,2,4,1,0,8,0,0,7,10,0,21,0
19,1581,8,2,13,0,0,168,0,0,0,0,0,0,2,4,0,0,0,49,0,20,1,0,0,0,0,0,12,1,3,1,1,1,5,0,0,0,7,17,3,2,0,0,0,3,8,5,0,28,0,2,17,5,0,16,4
20,1667,4,5,12,0,0,122,0,0,0,1,0,0,1,0,2,0,2,57,0,12,0,0,4,0,2,0,6,1,0,1,0,0,4,0,0,0,6,9,3,0,0,0,0,2,2,9,1,41,0,2,1,5,5,11,0
21,1753,5,0,3,0,0,74,0,0,1,0,2,0,0,0,0,0,0,34,0,16,0,2,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,1,0,11,0,2,1,1,2,15,2
22,1838,6,1,9,0,0,57,0,0,0,0,1,0,0,1,0,0,0,22,0,11,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,8,0,0,4,4,0,3,0
23,1924,2,2,12,0,0,100,0,0,0,0,2,0,0,0,0,0,0,42,0,8,3,0,3,0,0,0,5,1,3,0,0,0,0,0,0,0,6,5,0,0,0,0,0,1,0,0,6,25,0,14,39,13,0,9,2
25,2095,6,2,26,2,0,126,0,0,1,0,4,1,0,12,0,0,0,93,0,20,12,1,3,0,0,0,16,1,12,1,1,0,1,0,0,0,0,3,4,0,0,0,0,1,5,3,0,10,0,31,71,20,1,15,0
27,2267,10,4,25,2,0,160,0,0,0,0,1,1,1,7,0,0,3,78,0,16,0,0,9,0,1,1,14,0,5,0,0,0,0,0,0,0,0,0,6,0,5,0,0,4,12,7,1,45,0,8,6,19,4,3,0
28,2352,6,3,26,0,0,195,0,0,2,0,6,0,1,11,0,0,0,80,1,34,2,0,2,0,0,1,17,2,9,3,0,0,4,0,0,0,2,1,6,0,1,0,0,1,5,11,0,35,0,12,7,13,4,18,2
30,2524,8,13,30,0,0,204,0,1,0,0,1,1,2,4,1,0,5,52,0,24,0,0,3,0,1,0,14,0,4,0,0,0,3,0,0,0,0,2,4,0,0,0,0,0,8,19,0,89,0,7,3,20,15,0,1
32,2695,4,4,51,0,0,166,0,0,2,0,2,0,3,2,0,0,0,34,1,20,0,0,5,0,0,0,22,0,7,0,0,0,2,1,0,0,0,0,6,0,3,0,0,1,16,11,0,34,0,7,13,7,1,9,0
34,2866,8,5,19,1,0,191,0,0,0,0,2,1,0,7,0,0,7,73,0,24,0,0,14,0,0,0,20,0,2,1,0,0,1,0,0,0,1,0,5,0,1,0,0,3,17,7,3,133,0,9,6,18,14,7,1
36,3037,6,5,9,0,0,169,0,0,1,0,4,0,0,0,0,0,0,63,0,15,6,0,2,0,0,0,24,0,2,0,0,0,1,1,0,0,1,0,14,0,3,0,0,3,36,6,2,80,0,2,13,10,1,10,4
37,3123,5,19,13,0,0,172,0,0,0,0,4,1,0,1,2,0,1,71,0,62,4,0,10,0,0,0,16,1,0,0,0,0,1,0,0,0,1,0,52,0,5,0,0,3,33,16,2,71,0,4,8,15,34,13,1
