"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Lemnaceae","Lycopodium.type","Menyanthes.trifoliata","Myrica","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago.lanceolata","Platanus","Poaceae.undiff.","Polygonum","Potamogetonaceae","Potentilla.type","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculus","Rhamnaceae.Vitaceae","Rumex","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown"
20,0,0,0,0,0,0,2,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,38,0,1,0,0,0,0,1,0,237,0,0,0,0,0,0,0,0,0,0,1,0,0
25,88,0,4,0,1,0,9,0,1,0,0,1,54,0,3,0,0,0,0,0,0,19,0,0,0,0,0,2,1,2,0,2,1,0,0,0,0,0,0,0,0,0,54,0,0,5,0,0,0,0,0,165,0,0,1,0,0,0,0,1,0,0,3,4,0
30,177,0,1,4,2,0,17,0,1,0,3,0,35,0,9,0,9,1,1,1,0,7,0,0,2,0,0,1,3,1,0,2,2,0,0,0,1,14,0,2,2,0,45,1,0,4,0,0,0,1,0,122,0,0,0,0,0,0,0,0,0,0,6,3,0
35,265,0,0,0,5,0,4,0,0,0,0,0,30,0,10,0,9,0,0,0,0,5,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,19,0,1,8,0,66,0,1,3,0,0,0,1,0,117,0,1,0,0,0,0,0,2,0,0,9,3,0
40,722,0,0,0,2,0,1,0,0,0,0,0,17,0,5,0,15,0,0,0,0,3,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,19,0,2,5,0,78,0,1,2,0,0,0,1,0,126,0,2,0,0,1,0,0,0,0,1,11,1,0
50,2129,0,2,0,0,0,0,0,0,0,0,0,15,0,7,0,25,0,0,1,0,20,0,0,9,0,0,0,1,0,0,1,1,0,0,0,1,31,0,1,6,0,51,0,1,1,0,0,0,0,0,115,0,1,0,0,0,0,0,0,0,0,6,5,0
55,2833,0,1,0,1,0,2,0,0,0,1,0,13,0,7,0,15,0,0,1,0,24,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,21,0,0,4,0,60,0,1,1,0,0,0,0,1,130,0,0,0,0,0,0,0,0,1,0,1,0,0
60,3536,0,0,1,3,1,0,0,0,0,1,1,13,1,7,0,27,0,0,0,0,32,1,1,6,0,0,3,10,0,0,0,1,0,0,0,1,8,0,1,6,0,53,0,1,6,0,0,0,0,3,111,0,1,0,0,0,0,0,0,0,0,2,1,0
65,4239,0,0,0,1,0,1,0,0,0,2,0,12,3,6,0,27,0,0,0,0,6,0,2,10,0,0,0,282,0,0,1,0,0,0,0,1,42,0,2,2,0,46,0,0,0,0,0,0,0,0,129,0,1,0,0,0,0,0,0,0,0,3,2,0
70,4943,0,1,3,0,0,1,0,0,0,0,0,5,0,2,0,32,0,0,0,0,17,0,0,4,0,0,1,16,0,0,0,0,0,0,0,0,34,0,12,8,1,39,0,1,7,2,0,0,0,1,116,0,1,0,0,0,0,0,0,0,1,8,0,1
80,5624,1,1,1,3,0,1,2,1,0,0,0,9,1,0,0,39,0,0,1,0,17,1,0,4,1,2,2,3,0,0,1,1,0,0,0,0,55,0,35,2,1,37,0,0,3,0,0,0,0,1,92,0,0,0,0,0,0,0,3,0,0,15,3,0
90,6306,0,1,2,2,1,2,0,2,0,0,0,4,1,4,0,29,0,0,1,0,22,0,1,6,0,0,0,5,0,0,0,0,0,0,0,0,56,0,17,3,0,20,0,0,12,1,0,0,0,0,106,0,0,0,0,0,0,0,1,1,0,18,1,1
100,6988,0,4,1,2,1,1,1,1,0,0,0,3,0,2,0,29,0,0,0,0,24,0,0,7,0,0,0,4,0,0,1,0,0,0,0,0,70,1,20,2,1,22,0,0,3,0,0,0,0,0,103,0,0,0,0,0,0,0,4,0,0,16,1,1
105,7328,2,1,1,0,2,2,0,1,0,0,1,6,2,2,0,31,0,0,1,0,19,0,0,6,0,1,1,6,0,0,0,0,0,0,0,0,55,0,15,2,2,28,0,1,9,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,22,1,1
107.5,7951,11,0,0,0,52,0,0,1,0,0,5,9,1,1,0,0,0,0,4,0,21,1,0,2,0,1,0,2,0,1,0,0,1,2,0,0,1,0,4,3,27,112,0,0,8,0,2,3,1,0,16,0,0,0,1,4,10,2,3,0,0,2,1,1
110,8574,8,0,1,3,50,0,0,1,0,1,8,14,0,0,0,0,0,1,3,0,42,0,0,0,0,2,0,0,1,6,0,0,0,0,1,4,0,0,0,3,28,91,0,0,13,0,0,1,1,1,12,0,0,0,0,3,7,0,6,0,0,1,0,1
115,9820,7,0,0,0,35,1,0,0,2,2,11,8,0,0,1,0,0,0,5,0,50,1,0,1,0,3,0,1,0,7,0,0,0,1,1,2,0,1,0,9,39,87,0,0,3,0,1,0,3,0,7,0,0,0,1,3,20,2,5,0,0,0,0,0
120,11066,3,0,0,1,20,1,0,5,0,2,16,8,1,0,0,0,0,1,6,0,27,2,0,1,0,1,0,2,0,4,0,0,0,0,3,1,4,0,3,1,65,65,0,0,3,0,0,0,0,0,18,0,0,0,0,0,45,3,4,2,0,1,0,1
125,12311,7,0,0,2,16,0,0,1,1,0,14,8,0,1,0,0,0,0,0,1,54,1,0,1,0,1,0,1,1,26,0,0,0,1,2,1,4,0,2,1,43,66,0,0,12,0,2,0,0,0,15,1,0,1,0,0,46,7,1,0,0,2,0,3
130,13557,3,0,0,1,0,1,0,7,1,2,19,10,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,28,0,0,0,1,4,1,0,1,0,2,70,28,0,0,12,0,1,1,1,0,6,1,0,0,0,3,91,6,0,2,0,0,0,5
140,NA,0,0,0,2,0,1,0,7,0,4,23,4,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,93,25,0,0,8,0,0,4,1,0,6,0,0,1,0,1,105,3,0,1,0,0,0,3
