"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Andromeda.glaucophylla","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Campanula.type","Carya.ovata","Castanea.dentata","cf..Callitriche","Corylus.cornuta","Cyperaceae","Dryopteris","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus","Galium","Gentiana","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Rubiaceae.undiff.","Rumex.type","Salix","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
2,47,1,0,2,0,6,15,1,5,51,0,3,69,64,1,2,4,0,7,1,121,0,1,0,5,7,0,0,0,6,2,5,0,1,0,0,0,1,26,0,0,0,0,0,3,0,27,11,32,3,55,3,2,41,0,2,0,4,10,5,1,0,2,1,49,23,2,7,0
7,165,1,0,2,0,4,5,0,5,149,0,1,3,30,0,2,0,0,4,2,213,53,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0,0,5,0,0,0,7,0,0,0,20,2,12,0,10,4,0,2,0,1,0,0,1,0,0,1,0,0,7,14,0,1,4
12,283,2,0,0,2,6,2,0,2,78,0,2,4,22,0,0,0,0,0,0,132,33,0,0,2,0,0,0,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34,6,30,0,8,0,0,4,0,4,0,0,6,0,0,0,6,0,34,6,0,1,0
17,402,3,0,1,1,5,2,0,4,16,0,1,1,8,0,0,0,0,0,0,25,0,0,0,3,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,37,10,23,0,3,0,0,3,0,0,0,0,3,0,0,1,14,0,1,3,1,12,7
22,520,8,0,2,0,18,1,2,0,3,0,1,0,25,0,0,0,0,0,2,16,0,0,0,8,5,0,0,1,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,240,38,171,0,1,0,0,8,0,0,0,0,0,0,0,5,73,0,0,11,0,0,1
27,638,0,0,0,2,19,1,0,1,2,3,1,0,20,0,0,0,0,2,1,13,0,0,0,8,5,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,54,27,124,0,2,0,0,12,0,0,0,0,3,0,0,5,72,0,0,11,1,2,2
32,756,5,0,3,4,27,1,0,1,2,73,0,1,27,0,0,0,0,1,2,17,0,0,0,16,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,12,55,0,2,0,0,22,0,1,0,0,1,1,0,8,48,0,8,6,0,5,3
37,874,6,0,2,7,13,1,1,1,1,0,1,0,26,0,0,0,0,2,6,93,0,0,0,7,5,0,0,2,9,3,1,0,5,0,0,0,1,0,0,0,0,1,0,0,0,38,14,52,0,5,1,0,14,0,0,1,0,4,0,0,0,59,0,0,9,1,7,7
42,992,2,0,1,24,8,2,0,0,0,0,0,1,38,0,0,0,0,2,1,20,0,0,0,16,1,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,17,4,23,0,1,0,0,4,0,4,0,0,9,0,0,0,85,0,3,7,0,5,3
47,1110,0,0,0,23,12,3,0,0,7,0,1,2,57,0,0,1,0,2,0,22,0,4,0,35,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,64,10,75,0,1,0,0,25,0,2,0,0,7,0,0,5,121,0,1,12,2,7,5
52,1228,1,0,0,5,29,3,0,0,2,0,0,0,47,0,0,0,0,3,0,35,0,2,0,37,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,37,8,64,0,3,0,0,37,0,2,0,4,10,0,0,3,146,0,0,11,1,15,9
57,1346,0,1,2,0,55,2,0,0,0,0,0,1,27,0,0,1,0,0,0,29,0,1,0,40,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22,40,3,65,0,0,0,0,31,0,0,0,0,6,0,0,4,132,0,0,14,1,7,2
62,1465,0,0,0,0,51,5,0,3,1,0,0,1,40,0,0,1,2,0,0,58,0,4,0,93,22,0,0,0,4,1,0,6,2,0,0,0,0,0,1,0,0,0,0,0,9,57,3,85,0,4,0,0,55,0,5,0,3,3,0,0,5,121,0,2,45,2,7,2
67,1583,0,0,2,0,47,6,0,0,0,0,4,0,59,1,0,0,1,9,0,67,0,0,0,55,17,0,0,0,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,25,6,80,0,5,0,0,36,0,2,0,0,3,0,0,2,158,0,1,29,2,8,5
72,1701,0,0,4,0,54,1,0,2,1,0,6,3,27,2,0,5,0,8,0,82,0,0,0,32,9,0,0,0,12,2,0,2,3,0,0,0,0,0,0,0,0,0,0,4,9,17,4,60,0,4,0,0,33,0,1,0,0,3,0,0,2,111,0,7,27,2,18,2
77,1819,0,0,1,0,57,4,0,2,3,0,3,1,60,0,0,0,0,6,0,53,0,0,0,25,16,0,0,0,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,42,0,64,0,4,0,0,47,0,0,0,0,3,0,0,6,121,0,3,17,6,16,4
82,1937,0,0,0,0,48,5,0,0,1,0,2,2,49,0,0,4,1,2,0,50,0,1,0,43,0,0,0,0,28,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,5,39,2,104,0,0,0,7,25,0,0,0,0,0,0,0,2,192,0,3,26,1,23,3
87,2055,0,4,0,0,63,1,0,1,0,0,0,2,45,0,0,0,0,4,0,58,0,2,0,52,14,0,0,0,26,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,11,60,3,70,0,1,0,1,30,0,2,0,1,7,0,0,2,114,0,0,13,2,23,3
92,2173,0,0,0,0,43,3,0,1,0,0,1,2,34,0,0,0,0,5,0,32,0,0,0,27,6,0,0,0,40,1,0,5,1,0,0,0,2,0,0,0,0,0,0,0,1,124,0,53,0,0,0,6,22,0,1,0,0,2,0,0,4,147,0,7,23,2,14,0
97,2291,26,0,0,0,43,2,0,0,0,0,0,1,19,0,0,4,0,0,1,24,0,0,1,27,8,0,0,0,38,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,17,40,0,61,0,2,0,9,8,0,1,0,0,5,0,0,0,85,0,1,15,1,6,3
102,2409,1,0,3,0,26,4,0,0,0,0,1,1,21,0,0,2,0,3,0,47,0,0,1,21,5,0,0,0,50,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,2,37,21,51,0,2,0,4,6,0,3,0,0,11,0,0,0,138,3,3,26,1,2,3
107,2528,7,0,0,0,51,3,0,0,0,0,0,2,29,0,0,1,0,0,2,64,0,1,0,20,4,0,0,0,34,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,20,18,100,0,0,0,1,17,0,2,0,0,15,0,0,2,105,0,1,11,0,1,0
112,2603,2,0,3,0,43,6,0,2,3,0,2,0,53,0,0,10,1,0,8,138,0,1,0,63,6,0,0,0,58,1,0,6,8,0,0,0,1,0,0,0,0,0,0,0,10,22,11,67,0,1,0,13,36,0,5,0,0,6,0,0,0,128,0,0,29,0,0,0
117,2674,0,2,0,0,15,1,0,0,1,0,2,0,13,0,0,2,1,10,0,80,0,0,0,11,8,0,0,0,16,0,0,6,1,0,1,0,1,0,0,0,0,0,0,2,2,48,0,31,0,0,0,0,5,0,1,0,0,2,0,0,0,64,0,13,3,0,9,3
122,2744,6,0,0,0,39,4,0,0,0,0,0,1,15,0,0,0,0,0,2,64,0,9,0,28,23,0,0,0,50,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,4,21,14,155,0,0,0,9,27,0,0,0,0,11,0,0,2,112,0,0,12,2,0,2
127,2815,2,0,10,0,55,1,0,1,1,0,0,1,20,0,0,3,0,0,2,46,0,0,0,19,6,0,0,0,40,1,0,6,6,0,0,1,2,0,0,0,0,0,0,0,12,18,13,118,0,1,0,13,18,0,3,0,0,4,0,0,4,102,0,0,9,3,1,4
132,2885,6,0,4,0,44,2,0,0,1,0,1,0,26,0,0,0,0,0,0,73,0,0,0,10,8,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,18,19,99,0,1,0,18,27,0,2,0,0,2,0,0,3,74,0,0,15,0,0,2
137,2956,6,0,7,0,30,4,0,0,1,0,0,1,27,0,0,1,0,0,0,86,0,0,0,11,10,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,6,6,111,0,0,0,7,16,0,0,0,0,3,0,0,7,51,0,0,15,1,0,4
142,3027,12,0,3,0,31,1,0,1,1,0,0,2,31,0,0,5,0,0,0,103,0,0,0,6,25,0,1,0,38,0,0,1,15,0,0,0,0,0,0,0,2,0,0,0,10,17,8,197,0,0,0,18,10,0,0,0,0,1,0,0,2,82,0,0,17,0,2,3
147,3097,15,0,2,0,44,3,0,0,2,0,0,1,27,0,0,6,0,0,0,138,0,0,0,9,10,0,0,0,22,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,7,4,133,0,0,0,8,7,0,0,0,0,0,0,0,2,74,0,0,7,0,2,2
152,3168,8,0,2,0,18,0,0,0,1,0,0,1,20,0,0,2,0,0,0,55,0,2,0,4,5,0,0,0,30,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,4,21,16,121,0,0,0,5,5,0,2,0,0,2,0,0,1,60,0,1,8,0,6,1
157,3239,5,0,1,0,32,6,0,0,2,0,0,0,20,0,0,2,0,0,0,81,0,0,0,14,7,0,0,0,37,0,0,3,8,0,0,1,0,0,0,0,0,0,0,0,3,29,18,159,0,0,0,3,10,0,1,0,0,10,0,0,2,95,0,0,8,0,6,0
