"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Arctostaphylos","Betula","Carya","Castanea","Celtis","Cornus.canadensis","Cornus.sericea","Cornus.suecica","Corylus","Cupressaceae","Elaeagnus","Ericaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Ilex","Juglans.cinerea","Larix","Liquidambar","Myrica","Myricaria","Ostrya.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides","Prunus","Quercus","Rhododendron","Rhus","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga.canadensis","Ulmus","Achillea.type","Ambrosia","Anemone.type","Apiaceae.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Astragalus","Brassicaceae","Campanulaceae","Caryophyllaceae.undiff.","Chenopodiaceae.undiff.","Convolvulus","Crassulaceae.undiff.","Cyperaceae","Diapensia","Epilobium.latifolium","Fabaceae.undiff.","Fagopyrum","Galium","Gentiana.type","Geranium","Geum","Helianthemum","Humulus","Hypericum","Iva","Linaceae","Lysimachia","Mentha.type","Papaver.type","Plantago","Plumbaginaceae.cf..Armeria","Poaceae","Polygonaceae.undiff.","Potentilla","Primula","Ranunculaceae.undiff.","Rhinanthus","Rosaceae.undiff.","Rumex.type","Sanguisorba","Saxifragaceae.type","Scleranthus","Sedum","Sium","Solanum","Stachys.type","Thalictrum","Urtica","Valeriana.type","Adiantum","Athyrium","Botrychium","Cheilanthes","Cystopteris","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris.type","Equisetum","Huperzia.lucidula","Huperzia.selago","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Osmunda.cinnamomea","Osmunda.regalis","Polypodium","Pteridium.aquilinum","Selaginella","Woodsia","Sphagnum","Alisma","Caltha","Drosera","Hippuris.vulgaris","Isoëtes","Menyanthes.trifoliata","Myriophyllum","Nuphar","Potamogeton","Sagittaria","Sparganium","Typha","Indeterminable","Unknown.spore"
589,NA,2,3,38,0,0,76,1,1,0,1,0,1,4,12,0,1,0,4,1,0,1,0,0,26,0,6,160,13,19,40,0,19,2,0,23,0,0,0,12,0,0,0,2,0,0,0,2,0,0,0,0,2,8,0,0,0,1,0,0,0,0,38,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,10,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,5,3,0,0,5,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,6,0,0,1,10,0
590,NA,3,2,34,0,0,70,1,0,0,0,1,0,1,60,0,0,0,1,0,0,0,0,0,26,0,4,178,3,16,56,1,10,11,0,14,0,0,0,8,1,0,0,2,1,0,2,1,0,0,1,0,2,8,1,0,0,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,13,1,0,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,3,1,0,0,2,2,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,32,1
595,NA,10,0,11,0,0,85,0,0,0,0,0,3,7,6,0,0,0,2,0,0,0,0,0,4,0,2,46,29,84,203,0,3,0,0,12,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,3,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,5,0
596,10267,15,4,41,0,0,250,0,0,0,0,0,0,10,25,0,0,1,3,1,0,0,0,0,10,0,2,38,21,33,110,0,12,7,0,13,0,0,0,3,0,0,0,0,0,0,9,2,0,0,0,0,2,3,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,8,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,2,1,0,0,0,0,4,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,16,0
597,10428,26,3,25,0,0,207,0,0,0,1,1,0,12,6,1,0,2,3,1,0,1,0,0,8,0,2,32,20,74,206,0,7,0,0,14,0,1,0,10,0,0,0,1,1,0,25,5,0,0,0,0,5,3,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,2,0,11,1,0,3,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,1,4,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,11,3
598,10589,11,1,16,0,0,212,0,0,0,0,0,0,4,43,0,1,0,9,1,0,1,0,0,6,0,6,26,19,54,155,0,1,1,0,14,0,0,0,5,0,0,0,0,0,0,41,4,0,0,3,0,4,2,0,0,0,0,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,10,2,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,1,0,0,3,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,0
599,10750,9,4,17,0,0,338,0,0,0,0,0,1,18,24,0,0,1,3,2,1,1,0,0,10,0,6,36,21,32,135,1,10,3,0,12,0,0,0,20,0,0,0,1,0,0,20,2,0,1,0,0,5,4,0,0,0,0,1,0,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,4,0,0,1,2,0,1,3,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,2,0,4,1,9,0
600,10895,4,0,9,0,0,391,0,0,0,0,0,1,4,85,0,2,0,1,0,0,1,0,1,5,0,5,29,12,7,59,0,0,2,0,3,0,0,0,22,1,0,0,0,0,0,11,4,0,0,0,0,2,6,0,0,0,0,2,0,0,0,88,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,1,0,5,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,0,0,0,4,3,0,0,1,2,0,0,0,0,8,0,0,2,0,0,0,0,0,0,2,0,1,1,0,9,12,0
603,11331,10,0,19,0,0,103,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,3,0,6,56,56,0,74,0,0,4,0,0,0,0,0,21,0,0,0,1,0,0,3,1,0,0,0,0,23,22,0,0,0,1,19,0,0,0,218,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,1,0,2,0,9,5,1,1,0,0,0,0,1,43,0,0,0,0,0,1,4,0,0,1,0,0,0,3,1,0,0,0,0,2,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,0
604,11476,8,0,16,0,0,90,0,0,0,3,0,0,0,47,0,2,0,0,0,0,0,2,0,1,0,6,80,42,1,100,0,2,1,0,1,0,0,0,41,0,0,0,0,1,0,2,4,0,0,0,0,27,18,0,1,0,3,14,0,0,0,321,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,28,0,1,0,0,0,13,14,0,6,0,0,0,0,0,58,4,0,1,0,0,0,0,0,2,2,0,0,0,0,2,1,0,2,2,5,5,0,9,0,0,0,2,0,0,1,0,0,0,0,3,20,0
