"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Acer.spicatum","Ambrosia.type","Artemisia","Betula","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Populus","Poaceae","Plantago","Caryophyllaceae","Castanea","Cupressaceae","Myrica","Carya","Fraxinus.nigra.type","Platanus","Salix","Amaranthaceae","Rosaceae","Pinus.subg..Pinus","Thalictrum","Tilia","Celtis","Ilex","Viburnum","Taxus","Urtica.type","Juglans.nigra","Larix","Rubiaceae","Campanulaceae"
0,0,361,29,5,2,1,14,1,186,2,7,1,12,5,2,6,4,7,36,15,2,7,2,1,3,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,55,235,19,1,0,2,25,0,95,5,2,0,10,2,0,1,20,4,6,8,5,6,0,0,5,6,7,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,109,230,31,5,0,0,9,0,83,0,8,0,11,4,0,0,11,1,13,9,2,10,1,3,2,2,12,1,0,2,0,1,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
60,289,331,24,6,0,0,0,0,100,3,7,1,47,3,0,2,39,15,18,17,0,35,1,4,2,0,0,0,0,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,795,372,15,6,0,0,0,1,123,3,5,2,19,2,0,4,26,13,56,43,0,17,1,6,14,4,3,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1302,335,20,11,0,0,1,0,96,3,15,1,49,3,0,6,22,10,17,16,0,46,0,7,1,0,0,0,0,3,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1337,375,10,9,0,0,0,1,160,5,28,0,59,7,2,5,4,7,11,15,0,36,4,2,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
125,1446,411,6,10,0,0,0,1,161,4,66,0,51,6,0,3,4,9,14,15,0,48,0,0,3,5,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2067,359,11,8,0,0,0,0,140,7,1,0,81,6,1,12,6,4,12,13,0,37,0,6,3,4,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
175,2687,327,10,11,0,0,0,1,125,7,8,0,62,3,1,7,6,6,22,20,0,24,0,6,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
190,3449,389,12,8,0,0,0,4,177,5,1,0,43,7,3,8,2,20,24,35,0,13,2,8,9,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
200,4563,321,3,7,3,1,0,0,164,6,1,0,56,2,0,7,0,13,12,20,0,7,1,4,3,2,1,0,0,1,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
210,5008,408,7,4,0,0,0,0,176,3,3,0,41,3,3,0,2,14,36,28,0,64,3,6,3,1,1,0,0,0,0,0,0,2,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0
225,5674,520,10,4,0,0,3,4,217,12,6,0,45,3,3,24,4,15,31,34,0,64,3,8,9,2,3,0,1,0,0,3,2,2,0,2,0,0,0,1,2,0,1,2,0,0,0,0,0,0
240,6341,358,4,4,1,0,3,2,152,4,2,2,21,4,1,2,1,14,41,28,0,49,1,6,3,0,0,0,0,2,1,0,1,1,1,2,0,1,0,0,2,0,0,0,2,0,0,0,0,0
250,6786,328,7,10,0,0,0,0,128,0,1,0,29,5,0,5,1,12,19,37,0,40,4,7,2,2,1,0,0,1,0,5,1,3,3,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0
260,7230,365,5,10,0,0,0,0,127,1,2,0,18,5,0,1,1,36,44,27,1,48,0,6,4,3,5,0,0,1,0,1,0,3,2,1,0,4,1,0,2,0,2,0,0,4,0,0,0,0
275,7573,375,4,3,1,0,0,2,95,7,1,0,7,1,0,5,0,35,92,50,0,43,0,8,3,1,3,0,0,1,0,0,0,3,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0
300,8037,339,9,3,1,0,0,0,93,0,1,1,5,7,0,7,1,28,70,56,0,24,3,8,7,1,2,0,0,2,0,1,0,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
325,8501,370,7,7,1,0,2,1,98,12,8,0,1,3,0,7,0,42,80,50,0,22,2,5,11,1,2,0,0,0,0,2,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
350,8965,360,8,3,1,0,2,1,68,0,0,0,1,4,0,8,2,57,89,66,0,20,1,2,10,3,0,0,0,0,0,1,0,5,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
375,9429,331,1,5,0,0,2,0,93,3,0,0,0,1,0,8,0,44,90,64,0,4,1,3,3,0,3,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9737,515,10,3,0,0,0,1,191,2,3,0,0,0,0,6,4,75,101,79,0,9,0,3,12,1,3,0,0,0,0,3,0,3,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0
400,10517,1127,21,6,2,0,0,1,370,2,2,0,0,8,1,21,12,155,242,163,1,17,2,22,35,5,3,0,0,1,4,11,1,10,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0
410,11297,1234,23,5,0,0,1,1,539,24,12,4,0,5,4,17,30,73,138,125,0,6,2,10,87,51,14,0,2,1,0,13,0,13,4,7,1,0,11,1,0,0,0,0,2,2,2,3,1,0
420,12077,531,10,0,0,0,0,2,104,9,31,2,0,2,0,5,43,12,80,21,0,2,3,9,167,6,3,0,2,1,0,3,0,1,1,8,0,1,0,1,0,0,0,0,0,0,0,1,1,0
