"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Cephalanthus","Chamaedaphne.calyculata","Cornus","Corylus","Cupressaceae","Cyperaceae","Drosera","Empetrum","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus","Gaultheria","Gaylussacia","Huperzia.lucidula","Ilex","Juglans","Larix","Ledum","Menyanthes.trifoliata","Myrica","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Pyrus.type","Quercus","Ranunculaceae.undiff.","Rhododendron","Rosaceae.undiff.","Salix","Sanguisorba","Scheuchzeria.palustris","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vaccinium"
0,261,26,0,5,0,32,1,0,2,1,0,103,0,0,0,0,0,13,0,0,2,4,0,18,0,4,2,1,1,0,0,0,0,0,0,0,19,5,0,77,227,2,13,0,6,0,0,3,0,4,0,0,0,0,0,0,283,1,0,31,0,1,4,2
5,304,27,1,6,0,42,0,15,1,1,1,110,0,0,0,0,0,25,1,0,0,2,0,26,1,9,1,2,5,0,1,0,0,1,0,0,51,0,1,72,67,0,9,0,3,0,0,6,0,0,0,0,0,0,0,0,30,0,0,5,0,2,8,3
10,348,16,0,0,0,10,0,4,0,0,0,106,0,0,0,0,0,21,0,0,2,1,0,26,0,10,4,0,1,0,0,0,0,0,8,0,20,1,0,88,70,1,3,0,2,0,0,24,0,2,0,0,0,0,0,0,25,1,0,21,0,1,3,3
15,394,25,0,0,0,12,0,0,0,0,0,43,0,0,0,0,0,66,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,6,0,39,0,1,56,45,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,82,0,1,9,0,0,2,1
20,441,11,1,4,0,8,0,1,0,0,0,102,0,0,0,0,0,49,0,0,0,0,0,73,0,25,1,0,1,0,0,0,0,0,5,0,23,0,0,144,190,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,36,0,1,37,0,2,7,0
25,490,46,0,1,0,6,0,0,0,0,0,59,0,0,0,0,0,21,0,0,0,1,0,34,0,9,6,2,0,0,0,0,0,1,5,0,10,1,1,124,218,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,37,0,0,64,0,1,6,1
30,540,26,0,0,0,4,0,1,0,0,0,63,0,0,0,0,0,9,0,0,0,0,0,28,0,6,8,1,0,0,0,0,0,0,2,0,4,0,0,84,86,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,416,0,0,29,1,1,2,0
35,592,29,0,1,0,11,0,0,0,0,0,150,0,0,1,0,1,38,0,0,2,2,0,55,0,19,22,0,0,1,0,1,0,0,10,1,28,1,0,101,169,0,0,0,2,0,0,1,6,1,0,0,0,0,0,0,131,0,0,65,0,0,4,0
45,700,37,0,1,0,4,1,1,0,0,0,190,0,0,0,0,4,27,0,0,0,1,0,73,0,21,10,0,2,0,0,0,0,2,13,0,15,1,0,107,107,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,160,0,0,59,0,1,8,0
50,756,11,0,1,0,1,0,0,0,0,0,47,0,0,0,0,0,9,0,0,0,0,0,15,0,3,2,0,0,0,0,0,0,3,0,0,4,0,1,67,67,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,19,0,0,75,0,1,3,0
55,814,47,0,1,0,5,0,0,0,0,0,58,0,0,0,0,0,41,0,0,0,0,0,25,0,30,8,0,0,1,1,7,0,1,15,0,8,0,0,47,72,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,13,0,1,59,0,1,5,113
60,873,31,0,3,0,5,0,0,0,0,0,80,0,0,0,0,0,21,0,0,3,0,0,71,0,22,10,1,0,0,0,5,0,0,3,0,14,1,1,69,109,0,1,0,2,0,0,0,0,4,0,0,1,0,0,0,165,0,0,41,0,2,4,0
65,934,89,0,2,0,4,0,0,0,0,0,76,1,0,0,0,0,5,0,0,0,0,0,21,0,22,12,0,0,0,0,2,1,0,30,0,29,3,0,107,161,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,64,0,0,78,0,2,7,0
70,996,5,0,1,0,3,0,0,0,0,0,49,0,0,1,0,0,42,0,0,0,0,0,74,0,18,3,0,0,0,0,0,0,0,0,0,4,0,0,39,75,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,379,0,0,30,0,1,2,0
75,1060,24,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,2,5,0,3,0,0,52,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,24,0,0,0,0
80,1125,15,0,0,0,2,0,0,0,0,0,65,0,0,0,0,0,20,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,3,3,0,2,2,0,44,73,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,136,0,0,23,0,0,4,0
90,1261,14,0,2,0,7,0,0,0,0,0,166,0,0,0,0,1,2,0,0,0,0,0,4,0,1,5,0,0,0,1,0,0,0,3,0,14,0,0,25,53,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,54,0,0,24,0,1,5,0
100,1402,21,0,7,0,16,0,0,0,0,0,164,0,0,0,0,0,2,0,0,1,1,0,22,0,5,20,1,0,0,1,0,0,2,7,0,67,1,0,78,134,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,317,0,0,78,0,3,12,0
105,1475,10,0,0,0,1,1,0,0,0,0,14,2,0,0,0,0,3,0,0,0,0,0,4,0,1,13,0,0,0,0,0,0,0,0,0,7,0,0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,14,0,0,0,0
110,1550,13,0,1,0,1,1,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,8,0,1,5,3,0,0,1,0,0,2,2,0,24,2,0,27,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,0,0,50,0,1,0,0
115,1626,25,0,2,0,5,0,0,0,0,0,32,4,0,5,0,0,0,0,0,0,0,0,11,0,2,9,1,0,0,0,0,0,3,4,0,20,0,1,36,76,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,84,0,0,17,0,0,2,0
120,1703,21,0,0,0,8,0,0,1,0,0,57,0,0,0,0,0,2,0,0,0,1,0,9,0,5,2,0,0,1,0,0,0,1,3,0,24,1,1,48,196,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,164,0,0,79,0,0,7,0
125,1782,60,0,1,0,5,0,0,0,0,0,65,2,0,0,0,1,3,0,0,0,1,0,38,0,2,13,0,1,0,0,0,1,4,6,0,18,1,1,119,255,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,96,0,1,12,0,6,9,0
