"depth","best.age","min.age","max.age"
0,-25,-27,-23
10,190,170,209
25,513,464,562
35,728,659,797
40,836,756,914
50,1052,952,1150
60,1267,1147,1385
70,1483,1343,1621
80,1698,1539,1857
90,1914,1734,2092
100,2129,1930,2328
110,2345,2125,2563
125,2668,2418,2916
140,2992,2712,3269
150,3207,2907,3504
165,3507,3222,3789
175,3704,3431,3970
185,3900,3638,4152
195,4097,3845,4339
210,4392,4150,4622
220,4589,4348,4814
230,4785,4550,5014
240,4982,4748,5216
250,5179,4942,5419
260,5375,5134,5624
270,5572,5323,5832
285,5867,5602,6147
290,5966,5694,6253
300,6162,5879,6467
310,6359,6062,6682
320,6556,6243,6897
325,6654,6333,7005
335,6863,6542,7215
350,7236,6981,7506
360,7484,7259,7709
370,7732,7522,7938
380,7980,7757,8188
390,8228,7977,8463
400,NA,NA,NA
410,NA,NA,NA
425,NA,NA,NA
435,NA,NA,NA
450,NA,NA,NA
455,NA,NA,NA
465,NA,NA,NA
470,NA,NA,NA
480,NA,NA,NA
490,NA,NA,NA
500,NA,NA,NA
505,NA,NA,NA
510,NA,NA,NA
520,NA,NA,NA
530,NA,NA,NA
