"sample.depths","sample.ages","Abies","Acer.negundo","Alnus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Cupressaceae","Cyperaceae","Dryopteris.type","Elaeagnus","Equisetum","Fraxinus.nigra","Humulus","Indeterminable","Larix","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Populus","Pteridium","Quercus","Rosaceae","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Ulmus","Unknown","Vitis"
140,NA,0,0,0,0,1,2,2,0,0,440,1,0,1,4,0,9,0,4,152,11,0,27,0,0,3,0,1,8,0,0,0,0,0,0,0
145,NA,0,0,0,1,2,1,0,0,1,30,1,0,0,2,0,6,1,4,180,10,0,4,0,0,3,0,0,15,1,0,0,0,0,2,1
150,NA,0,0,0,0,0,4,0,0,0,142,2,0,0,3,0,5,5,7,167,10,0,6,0,0,5,0,0,2,0,0,0,0,3,0,0
155,NA,1,0,0,0,1,2,0,0,2,89,1,0,0,0,1,2,4,4,199,5,0,7,0,0,1,0,0,3,0,0,0,0,0,1,0
160,NA,1,0,0,1,0,3,1,0,1,274,0,0,0,2,0,12,1,3,177,12,0,6,1,0,8,0,0,0,0,0,1,2,0,2,0
165,14819,2,0,0,3,1,0,0,0,0,302,3,0,0,1,0,8,1,8,181,7,0,5,0,0,4,0,0,0,0,1,0,10,3,1,0
170,15020,0,0,0,0,4,3,2,0,10,100,3,0,0,2,0,12,4,4,170,2,1,9,2,1,8,0,1,3,0,0,0,7,1,1,0
175,15220,1,1,0,1,3,2,1,0,4,162,0,0,0,4,0,25,6,4,165,11,0,0,0,0,13,1,2,10,0,0,0,1,0,1,0
180,NA,0,0,0,3,3,3,1,0,13,237,1,0,0,1,0,17,0,1,117,17,0,6,4,0,10,0,2,161,0,0,0,1,0,1,0
185,NA,1,0,2,5,5,9,4,1,11,94,2,0,2,8,0,35,3,6,78,34,0,17,1,0,22,3,8,15,1,0,0,2,0,1,0
190,NA,0,0,3,1,4,10,3,0,1,58,3,2,0,1,0,30,0,6,131,11,0,10,0,0,4,0,1,0,0,0,0,0,5,3,0
