"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.simplex.type","Botrychium.undiff.","Campanula.type","Carya","Caryophyllaceae","Castanea","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dennstaedtia","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra","Huperzia.selago","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Morus","Myrica","Nyssa","Osmunda","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera","Potentilla","Pteridium","Quercus","Ranunculus","Rhamnus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Selaginella.rupestris","Selaginella.selaginoides","Selaginella.sibirica","Shepherdia.canadensis","Sparganium","Sphagnum","Spiraea","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Woodsia.ilvensis"
328,NA,11,2,1,0,1,1,5,0,1,0,0,1,165,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,9,1,15,3,0,1,6,2,2,3,0,0,19,0,1,4,1,5,17,4,23,33,0,1,0,0,0,43,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,4,1,0
332,NA,4,2,0,0,0,1,8,1,0,0,3,3,129,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,5,0,0,0,0,28,1,0,0,5,0,2,7,0,0,12,0,1,10,4,3,15,3,29,19,0,2,2,0,3,37,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0
336,NA,7,2,1,0,1,0,8,1,1,0,1,3,145,0,0,0,4,0,0,0,0,7,8,0,0,0,6,0,0,4,0,0,3,0,29,2,0,0,6,1,2,3,0,0,15,0,1,10,4,0,18,4,26,9,0,2,3,0,1,43,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,7,2,0
340,NA,8,3,0,0,0,1,10,0,0,0,0,3,111,0,0,0,0,0,0,0,1,4,3,0,0,0,15,0,0,0,0,0,4,1,12,0,0,0,4,4,3,1,0,0,19,0,0,2,14,4,28,1,18,16,0,1,2,0,1,44,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4,1,0
344,NA,0,0,0,0,1,1,14,0,1,0,2,6,66,0,0,0,1,0,0,0,0,23,7,0,0,0,20,0,0,1,0,0,3,1,10,2,0,0,3,2,15,8,1,0,26,0,0,6,12,1,34,1,11,13,0,2,8,0,0,45,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0
347,NA,1,2,0,0,0,1,19,0,0,0,2,4,76,0,0,0,0,0,0,0,1,49,11,0,0,0,57,0,0,1,0,0,3,0,13,4,1,0,0,4,24,22,1,0,17,0,0,8,22,3,37,2,9,27,0,4,3,0,2,29,0,0,0,0,10,0,0,0,0,1,1,1,0,0,0,0,0,0,3,4,0,0
349,NA,0,1,0,1,0,2,13,0,1,0,2,3,64,0,0,0,0,0,0,0,0,26,11,0,1,0,17,0,0,3,0,0,0,0,9,0,0,0,0,6,10,30,2,0,23,0,0,0,8,3,67,1,17,33,0,2,1,1,3,14,0,0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,3,0,1,2,1,1
350,NA,0,0,0,0,2,2,21,1,0,0,1,10,88,0,1,0,1,0,0,1,0,50,16,1,2,0,31,0,0,0,1,0,8,1,26,7,0,0,1,4,12,43,0,0,20,0,0,1,20,5,56,9,12,36,0,4,1,0,3,20,0,0,0,0,10,0,0,0,0,1,0,0,3,0,0,0,4,0,1,5,2,0
351,NA,0,0,0,0,0,1,17,0,0,0,1,10,67,2,0,1,1,0,1,0,0,34,13,0,2,0,39,1,0,3,0,0,2,1,25,7,0,0,0,2,13,25,0,0,19,0,0,1,7,5,20,8,21,53,0,8,1,3,2,14,0,0,0,0,15,0,0,0,0,1,0,0,2,0,0,0,2,0,1,4,3,0
353,NA,0,0,0,0,3,4,18,0,0,0,4,1,84,1,0,0,0,0,0,0,0,0,69,0,1,0,9,0,0,0,0,0,1,0,18,9,0,0,0,2,3,8,1,0,19,0,0,1,2,8,0,6,6,35,0,4,0,0,2,5,0,0,0,0,14,0,0,0,0,2,0,0,6,0,0,0,0,0,0,2,1,0
