"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Liriodendron","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnus.Vitis","Salix","Sarcobatus.vermiculatus","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.undiff.","Cyperaceae","Galium","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea","Botrychium","Diphasiastrum.tristachyum","Huperzia.lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.undiff.","Osmunda","Pteridium","Sphagnum","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
0,-45,2,0,11,0,6,0,0,8,0,0,0,224,0,4,7,0,5,0,0,2,0,0,0,17,15,0,1,3,0,1,0,0,0,0,0,5,0,6,3,27,11,10,1,6,0,114,0,1,0,0,0,1,37,7,0,34,2,2,0,3,4,0,0,0,0,16,0,0,3,14,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,4,5,22,1
2,-33,1,0,21,0,6,0,0,5,0,0,0,197,0,6,3,0,14,0,0,3,0,0,2,31,10,1,0,1,0,2,0,0,1,0,0,11,0,3,2,21,24,7,1,1,0,128,0,1,0,0,0,0,38,11,2,26,0,8,1,0,8,0,0,0,1,31,0,0,5,13,0,0,0,0,0,0,1,0,2,0,0,1,4,2,0,0,0,0,1,5,3,19,10
4,-15,0,0,10,0,8,0,0,3,0,0,0,207,0,1,9,0,5,0,0,2,0,0,3,43,6,0,0,1,4,2,0,0,0,0,0,6,0,1,3,15,30,15,3,0,0,104,0,1,0,0,0,1,52,5,0,49,0,15,0,1,10,0,0,0,1,55,0,0,3,38,0,0,1,0,0,0,0,0,6,0,0,5,3,4,0,0,0,0,1,5,10,13,27
6,1,2,0,15,0,5,0,0,11,0,0,0,161,0,3,19,1,0,0,0,4,0,0,3,63,13,3,0,0,3,0,0,0,1,0,0,16,0,3,16,11,35,14,0,0,0,90,0,3,0,0,0,0,51,7,3,39,0,19,0,1,11,0,0,0,1,68,0,0,1,40,0,0,1,0,0,0,0,0,3,0,0,2,1,2,0,0,0,0,0,3,6,18,34
8,5,0,0,12,0,15,0,0,9,0,0,0,206,0,2,28,0,0,0,2,6,0,0,6,46,3,0,0,0,0,6,0,0,0,0,0,9,0,7,12,8,14,22,1,3,0,77,0,1,0,0,0,0,61,8,4,46,0,12,0,5,6,0,0,0,1,63,0,0,2,29,0,0,0,1,0,0,0,3,0,0,0,8,14,0,0,0,0,0,0,5,7,26,35
10,20,0,0,8,0,5,0,0,5,0,0,0,171,0,10,12,0,1,0,0,1,0,0,2,33,5,0,0,2,3,3,0,0,0,0,0,7,0,1,23,26,16,29,2,0,0,100,0,2,0,0,0,0,64,2,1,53,1,8,0,0,13,0,0,0,1,52,0,0,1,35,0,0,0,0,0,0,0,0,2,0,0,3,5,4,0,0,0,0,0,5,8,24,20
12,45,0,0,5,0,3,0,0,11,0,0,0,162,0,3,13,0,1,0,0,2,0,0,3,58,10,2,0,1,6,1,0,0,0,0,0,11,0,9,21,16,42,22,0,1,0,84,0,1,0,0,0,2,67,8,2,21,1,3,0,0,3,0,0,0,1,48,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,5,8,20,9
14,77,2,0,10,0,7,0,0,2,0,0,0,130,0,8,5,0,0,0,0,0,0,0,1,68,3,1,0,2,2,0,0,0,1,0,0,8,0,2,13,7,34,27,3,0,0,102,0,1,0,0,0,0,72,5,0,19,1,1,0,0,1,0,0,0,0,39,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,1,2,15,3
16,106,1,0,3,0,7,0,0,6,0,0,0,107,0,5,13,0,0,0,1,2,0,0,2,83,3,0,0,0,3,0,0,0,0,0,0,8,0,2,30,21,28,17,0,0,0,86,0,1,0,0,0,0,96,5,1,25,0,3,0,1,5,0,0,0,0,46,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,4,8,3,0,0,0,0,0,2,7,18,9
18,134,0,0,10,0,9,0,0,8,0,0,0,127,0,5,11,0,0,0,0,2,0,0,2,68,2,0,0,3,1,2,0,0,0,0,0,6,0,1,34,26,26,16,0,0,0,75,0,1,0,0,0,0,99,3,0,19,1,1,1,1,2,0,0,0,1,29,0,0,1,28,0,0,0,1,0,0,0,0,0,0,2,2,11,2,0,0,0,0,0,1,5,16,0
20,163,0,0,5,0,13,0,0,6,0,0,0,104,0,3,16,0,0,0,0,3,0,0,0,61,5,0,0,1,2,2,0,3,2,0,0,11,0,0,31,20,32,28,4,0,0,101,0,1,0,0,0,0,68,5,0,12,0,3,1,0,2,0,0,0,0,33,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,4,3,25,0
22,192,0,0,3,0,6,0,0,5,0,0,0,129,0,2,6,0,0,0,0,2,0,0,2,58,3,0,0,0,5,1,0,4,0,0,0,7,0,4,17,29,28,24,0,1,0,108,0,0,0,0,0,0,99,0,0,8,1,2,1,1,5,0,0,0,0,41,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,3,6,2,0,0,0,0,0,2,2,9,0
24,225,0,0,8,0,9,0,0,2,0,0,0,110,0,7,12,0,1,0,1,3,0,0,2,56,2,3,1,1,3,2,0,5,1,0,0,8,0,2,20,23,30,27,0,1,0,71,0,0,0,0,0,2,114,0,0,5,1,3,1,0,3,0,0,0,0,9,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,2,20,1,0,0,0,0,0,3,2,12,1
26,262,0,0,5,0,6,0,0,3,0,0,0,119,0,13,8,0,0,0,0,1,0,0,2,64,2,0,0,2,2,1,0,3,0,0,0,5,0,1,29,11,41,20,3,3,0,74,0,0,0,0,0,0,106,3,2,4,1,1,1,0,3,0,0,0,1,13,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0,0,2,3,20,3
28,300,0,0,8,0,8,0,0,3,0,0,0,125,0,2,11,0,0,0,0,2,0,0,1,76,3,4,0,0,3,1,0,2,0,0,0,12,0,1,33,13,16,12,3,0,0,89,0,1,0,0,0,1,39,6,0,11,0,1,0,0,4,0,0,0,0,13,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,2,20,0
30,337,0,0,11,0,3,0,0,5,0,0,0,127,0,7,11,1,0,0,0,1,0,0,1,57,6,3,0,2,4,0,0,2,0,0,0,13,0,3,39,14,14,36,0,1,0,82,0,0,0,0,0,0,116,2,0,9,0,1,0,1,10,0,0,0,0,8,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,1,9,3,0,0,0,0,0,1,3,25,0
32,374,0,0,7,0,6,0,0,1,0,0,0,107,0,5,6,0,0,0,0,2,0,0,4,79,8,0,1,0,2,1,0,3,0,0,0,13,0,1,22,19,24,28,1,0,0,87,0,0,0,0,0,0,121,2,0,3,1,0,0,0,3,0,0,0,0,5,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,2,11,3,0,0,0,0,0,1,3,17,4
34,412,0,0,3,0,6,0,0,8,0,0,0,110,0,3,16,0,2,0,0,2,0,0,2,57,5,3,0,1,2,0,0,3,0,0,0,15,0,2,28,24,26,22,1,1,0,78,0,0,0,0,0,0,118,2,0,7,0,3,0,2,2,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,5,10,4,0,0,0,0,0,1,3,18,1
36,449,0,0,5,0,4,0,0,6,0,0,0,137,0,0,13,0,4,0,0,3,0,0,2,72,5,2,0,1,6,0,0,2,1,0,0,4,0,3,20,23,25,15,2,1,0,91,0,0,0,0,0,0,81,6,1,4,0,2,1,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,3,0,16,1
39,505,0,0,6,0,4,0,0,8,0,0,0,123,0,8,11,0,3,0,1,5,0,0,1,72,1,2,0,0,2,2,0,1,0,0,0,7,0,3,21,5,23,18,0,2,0,101,0,0,0,0,0,0,99,3,0,1,1,1,0,0,3,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,14,1,0,0,0,0,0,2,1,16,1
41,543,0,0,8,0,9,0,0,9,0,0,0,133,0,0,5,0,1,0,0,5,0,0,2,83,3,0,1,7,1,3,0,2,0,0,0,14,0,1,20,10,10,13,0,0,0,70,0,0,0,0,0,0,129,2,0,7,0,2,0,0,2,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,3,12,2,0,0,0,0,0,3,0,14,1
43,580,0,0,3,0,15,0,0,3,0,0,0,124,0,7,7,0,2,0,0,3,0,0,2,75,2,3,0,0,1,1,0,2,0,0,0,5,0,1,24,3,32,8,1,0,0,87,0,0,0,0,0,0,104,3,1,6,1,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,2,1,20,0
46,632,0,0,3,0,8,0,0,3,0,0,0,146,0,3,7,0,0,0,0,3,0,0,1,105,3,1,0,1,2,1,0,1,0,0,0,12,0,2,14,2,13,27,0,0,0,62,0,0,0,0,0,0,105,2,1,2,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,0,0,1,1,11,0
49,675,0,0,5,0,5,0,0,6,0,0,0,116,0,7,8,0,2,0,1,0,0,0,0,103,4,2,1,0,1,1,0,1,1,0,0,4,1,1,13,9,26,20,2,0,0,98,0,0,0,0,0,0,110,3,1,1,0,1,0,0,5,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,1,2,15,1
51,704,0,0,2,0,7,0,0,1,0,0,0,122,0,5,7,0,0,0,0,0,0,0,1,99,5,3,0,2,0,0,0,1,0,0,0,11,0,3,26,7,23,16,1,0,0,82,0,0,0,0,0,0,87,5,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,7,4,0,0,0,0,0,5,0,11,0
53,732,0,0,1,0,9,0,0,3,0,0,0,92,0,10,15,0,0,0,0,1,0,0,3,126,5,5,0,3,0,2,0,0,0,0,0,8,1,0,26,2,10,24,0,0,0,67,0,0,0,0,0,0,110,3,0,2,1,0,0,0,5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,3,0,11,1
55,761,0,0,6,0,13,0,0,2,0,0,0,134,0,11,8,0,0,0,0,3,0,0,2,123,2,2,0,0,2,1,0,1,0,0,0,8,0,4,22,6,16,15,3,1,0,56,0,0,0,0,0,2,95,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,10,3,0,0,0,0,0,2,0,21,0
57,789,0,0,11,0,19,0,0,6,0,0,0,87,0,11,8,0,1,0,0,1,0,0,0,133,3,2,0,4,4,0,0,1,0,0,0,9,1,3,18,5,8,19,2,0,0,84,0,0,0,0,0,0,92,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,7,8,6,0,0,0,0,0,1,0,23,0
