"sample.depths","sample.ages","Abies","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Ericaceae","Fagus","Gordonia","Ilex.type","Liquidambar.styraciflua","Liriodendron.tulipifera","Magnolia","Nyssa","Picea","Pinus","Quercus","Rosaceae","Salix","Serenoa","Smilax","Juniperus","Tilia","Toxicodendron","Ulmus","Viburnum.type","cf..Vitis","Apiaceae","Asteraceae","Chenopodiaceae","Cyperaceae","Poaceae","Larix"
9,102,0,0.0205882352941176,0,0.0147058823529412,0,0.0117647058823529,0,0.00588235294117647,0.0176470588235294,0,0.00294117647058824,0.05,0.0205882352941176,0,0.0176470588235294,0.0235294117647059,0,0.538235294117647,0.173529411764706,0,0.0088235294117647,0,0,0.00294117647058824,0,0,0,0.00588235294117647,0.0088235294117647,0,0.05,0,0,0.0264705882352941,0
25,366,0,0.00613496932515337,0.0184049079754601,0.0214723926380368,0,0.0122699386503067,0,0.0398773006134969,0.0122699386503067,0.00613496932515337,0.00306748466257669,0.0276073619631902,0.00306748466257669,0,0.0122699386503067,0.0122699386503067,0,0.567484662576687,0.138036809815951,0.0122699386503067,0.00613496932515337,0,0,0.00306748466257669,0,0,0,0,0.0276073619631902,0,0.0245398773006135,0,0,0.0460122699386503,0
41,630,0,0.0139211136890951,0.00232018561484919,0.0278422273781903,0,0,0,0.0232018561484919,0,0,0,0.0255220417633411,0.00696055684454756,0,0,0.00928074245939675,0,0.642691415313225,0.157772621809745,0.00696055684454756,0,0,0,0,0,0,0,0.00928074245939675,0.0278422273781903,0,0.00232018561484919,0.00232018561484919,0,0.0417633410672854,0
57,894,0,0.00564971751412429,0.00564971751412429,0.0141242937853107,0,0.00564971751412429,0,0.0141242937853107,0.0112994350282486,0,0.00282485875706215,0.0225988700564972,0.00282485875706215,0,0,0.0141242937853107,0,0.649717514124294,0.172316384180791,0,0.00847457627118644,0,0,0,0,0,0,0.00847457627118644,0.0169491525423729,0,0.00847457627118644,0,0,0.0367231638418079,0
73,1410,0,0.00604229607250755,0,0.0181268882175227,0,0.00906344410876133,0,0.00906344410876133,0.0151057401812689,0,0,0,0.0120845921450151,0,0.00906344410876133,0.0211480362537764,0,0.574018126888218,0.123867069486405,0,0.00906344410876133,0,0,0,0,0,0,0.00604229607250755,0.157099697885196,0,0.00302114803625378,0,0.00302114803625378,0.0241691842900302,0
89,2011,0,0.00253807106598985,0,0.0177664974619289,0,0.0050761421319797,0.00761421319796954,0.00253807106598985,0.0203045685279188,0.00253807106598985,0.00253807106598985,0.0126903553299492,0.0203045685279188,0,0,0.0812182741116751,0,0.563451776649746,0.139593908629442,0.0101522842639594,0,0,0,0,0,0,0,0.0253807106598985,0.0456852791878173,0,0,0.0050761421319797,0,0.0355329949238579,0
105,2611,0,0.0196629213483146,0.00842696629213483,0.0224719101123595,0,0.0112359550561798,0,0.0308988764044944,0.0280898876404494,0,0.00561797752808989,0.00842696629213483,0,0.00280898876404494,0,0.0786516853932584,0,0.533707865168539,0.162921348314607,0,0.0112359550561798,0,0,0,0,0,0,0.00561797752808989,0.0308988764044944,0,0.00561797752808989,0,0,0.0337078651685393,0
121,3212,0,0.0241545893719807,0,0.0241545893719807,0,0.00966183574879227,0.00483091787439614,0,0.0241545893719807,0.00241545893719807,0,0.036231884057971,0.0120772946859903,0.00241545893719807,0.00483091787439614,0.101449275362319,0,0.451690821256039,0.202898550724638,0.0072463768115942,0,0,0,0.00241545893719807,0,0,0,0,0.0410628019323672,0,0.0120772946859903,0,0,0.036231884057971,0
137,3812,0,0.00261096605744125,0.00783289817232376,0.00783289817232376,0,0.00261096605744125,0,0.00783289817232376,0.00522193211488251,0.00522193211488251,0,0.0861618798955614,0.0156657963446475,0.00261096605744125,0,0.14621409921671,0,0.31331592689295,0.289817232375979,0.0182767624020888,0.0182767624020888,0,0,0,0,0,0,0.00261096605744125,0.0156657963446475,0,0.00522193211488251,0.00261096605744125,0,0.0443864229765013,0
153,4413,0,0.0145631067961165,0,0.0121359223300971,0,0.00242718446601942,0.00970873786407767,0.00970873786407767,0,0.00485436893203883,0,0.0315533980582524,0.00242718446601942,0,0.00242718446601942,0.300970873786408,0,0.20631067961165,0.33252427184466,0.00728155339805825,0.00242718446601942,0,0,0,0.00485436893203883,0,0,0,0.029126213592233,0,0.00242718446601942,0,0,0.0242718446601942,0
