"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Humulus","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.persicaria.type","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Xanthium"
1,25,5,0,1,5,19,8,41,0,0,6,4,0,56,0,0,1,6,8,0,0,1,2,0,0,3,1,0,0,5,0,1,0,0,0,0,0,0,1,10,115,41,0,0,0,33,0,4,0,1,53,0,0,0,4,1,0,0,2,0,1,0,0,7,1,0,0,0
10,155,8,0,0,3,21,15,37,0,0,9,1,0,59,0,0,6,9,10,0,0,1,1,0,0,2,5,0,1,5,1,2,0,0,2,1,0,1,1,9,156,20,0,0,0,26,0,4,3,0,25,0,1,0,2,0,0,1,0,0,0,0,0,8,1,1,0,0
20,299,3,0,0,2,14,5,21,0,0,4,2,0,41,0,0,1,8,6,0,0,2,0,0,0,1,5,0,0,2,0,3,0,0,1,0,0,0,3,9,143,62,0,1,0,18,0,1,1,3,19,0,0,0,2,0,0,0,0,1,3,0,1,1,0,0,0,0
25,371,2,0,1,4,18,1,22,0,0,4,2,0,47,0,0,2,4,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,5,7,175,33,0,0,1,8,0,1,2,3,23,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,0,0
30,443,2,0,0,5,14,1,12,1,0,7,1,0,45,0,0,1,6,5,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,3,0,0,0,5,9,135,106,0,0,0,11,0,2,0,5,16,0,0,0,4,0,0,0,0,1,0,3,0,4,1,0,0,0
35,515,2,0,0,3,7,0,4,0,0,7,0,0,57,1,0,2,6,4,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,4,0,0,0,7,2,146,69,0,0,0,3,0,2,0,0,14,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,1
40,586,2,0,0,0,8,1,6,0,0,5,2,0,58,0,0,2,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,2,6,150,78,0,0,0,5,1,1,0,1,11,0,0,0,0,1,0,0,0,1,1,0,0,6,1,0,0,0
50,730,4,0,0,2,22,0,3,0,0,10,2,0,48,2,0,2,3,2,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,4,3,117,72,0,0,0,3,0,1,1,1,9,0,0,0,2,0,0,0,1,1,0,0,0,2,1,0,0,0
60,872,5,0,1,0,10,0,2,0,0,4,0,0,36,0,0,0,4,3,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,5,3,127,127,0,0,0,9,0,2,0,2,12,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0
80,1156,1,0,0,2,23,2,3,0,0,1,2,0,49,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,7,1,91,107,0,0,1,10,0,2,0,2,17,0,0,0,2,0,0,1,0,0,3,0,0,2,1,0,0,0
