"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Asteraceae.undiff.","Fagus","Morus","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Ulmus","Acer","Pinus","Populus","Amaranthaceae","Poaceae","Tilia","Alnus","Juglans","Artemisia","Fraxinus"
0,5,299,68,4,4,21,4,1,7,2,1,148,7,1,15,2,5,9,0,0,0,0,0
1,21,291,43,4,0,25,4,1,0,0,1,157,6,0,14,0,4,29,1,1,1,0,0
2,37,268,43,3,1,68,2,5,5,1,0,110,3,4,4,1,3,9,0,2,1,3,0
3,53,312,81,3,2,43,0,1,3,2,0,128,8,0,12,8,2,16,0,1,1,0,1
4,69,324,107,4,7,31,2,0,9,0,0,111,2,0,15,8,2,20,1,4,0,1,0
5,85,266,96,1,3,2,1,0,1,0,0,91,9,2,15,0,2,33,0,2,4,4,0
6,101,232,24,3,6,2,2,0,1,1,0,98,4,4,49,0,2,27,0,1,1,7,0
8,312,298,8,1,15,3,10,0,0,3,0,111,2,4,37,3,0,92,2,2,2,3,0
10,524,330,32,4,19,26,4,0,1,0,0,79,9,5,62,40,6,26,2,3,8,2,2
12,775,269,4,5,7,2,2,0,0,0,0,109,1,6,38,9,2,77,3,0,2,2,0
14,1145,236,13,5,3,13,0,0,0,0,0,32,3,3,127,5,2,19,2,3,5,0,1
16,1514,136,9,0,6,2,0,0,0,0,0,36,1,0,64,2,1,12,2,0,0,1,0
18,1883,199,1,1,2,3,0,0,0,0,0,9,1,1,171,6,0,3,1,0,0,0,0
20,2252,153,8,0,4,2,1,0,0,0,0,7,1,0,118,0,0,11,0,1,0,0,0
22,NA,212,1,0,2,0,0,0,0,0,0,5,0,1,182,9,0,3,0,0,0,0,9
24,NA,156,2,2,5,4,0,0,0,0,0,10,0,0,116,3,1,8,2,0,1,2,0
26,NA,236,7,3,4,1,0,0,0,0,0,7,0,6,199,3,1,4,0,0,0,0,1
28,NA,145,2,0,1,1,0,0,0,0,0,19,0,0,114,0,0,7,0,0,0,1,0
30,NA,101,0,0,0,1,0,0,0,0,0,6,0,1,90,0,1,0,0,0,2,0,0
32,NA,72,0,0,1,0,0,0,0,0,0,5,1,2,59,2,0,2,0,0,0,0,0
