"sample.depths","sample.ages","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Juglans.cinerea","Juglans.nigra","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Platanus","Alnus","Ericaceae","Corylus","Myrica","Ilex.Nemopanthus","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Pteridium","Spore..monolete.","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Nuphar","Nymphaea","Brasenia.schreberi","Potamogeton","Myriophyllum","Indeterminable","Unknown","Typha.Sparganium.undiff.","Lycopodiella.inundata","Huperzia.lucidula","Lycopodium.clavatum","Diphasiastrum.complanatum","Lycopodium.annotinum","Sphagnum","Pediastrum","Isoëtes","Rumex","Vitis","Populus","Acer.rubrum","Liquidambar","Osmunda","Eriocaulon","Sagittaria","Ophioglossum","Other.shrubs","Ephedra","Polygonum","Thalictrum","Other.herbs"
1,17,74,232,12,3,9,0,2,9,1,0,0,0,5,77,1,0,1,0,5,7,0,16,1,2,1,0,11,11,2,23,1,33,1,1,0,1,0,0,5,11,2,0,5,1,1,0,0,1,3,283,5,1,0,0,0,0,0,0,0,0,0,0,0,0
5,201,86,212,14,4,7,0,6,12,7,2,0,0,1,68,0,0,1,1,6,6,0,8,0,2,0,0,9,11,2,26,2,36,5,4,1,2,2,0,0,11,0,0,4,0,0,0,0,2,2,233,5,0,0,0,0,0,0,0,0,0,1,0,0,0
10,430,107,182,13,6,14,2,3,15,3,0,0,0,4,66,0,0,2,1,7,3,0,9,6,0,0,0,4,13,0,27,1,30,2,4,0,1,1,0,0,8,1,0,8,1,2,0,0,1,1,49,2,0,0,0,0,0,1,1,0,0,0,0,0,0
15,660,156,168,12,5,16,0,1,24,10,1,0,0,1,86,0,2,0,0,5,4,1,6,0,1,1,0,20,5,1,10,0,10,3,5,1,0,2,0,0,4,0,0,5,1,1,1,0,2,2,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20,890,188,229,17,3,13,0,1,23,9,0,0,0,4,85,4,0,1,0,8,7,0,13,0,1,0,0,8,6,1,8,0,5,0,2,3,3,4,1,1,11,2,0,5,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0
24,1074,193,236,8,4,14,2,2,26,10,3,0,0,5,66,2,0,0,1,3,6,0,10,0,1,3,0,4,7,0,9,0,4,0,3,2,3,3,0,1,4,1,0,6,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,1165,248,258,21,2,21,0,0,28,11,1,0,0,8,103,2,2,1,1,7,7,1,10,2,4,2,0,7,16,1,6,0,4,2,5,2,2,6,0,0,12,0,0,2,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0
29,1303,191,234,24,4,16,1,8,10,13,1,0,0,5,100,4,1,0,0,8,4,1,10,0,0,0,0,6,7,0,5,0,4,0,1,2,4,1,1,3,10,0,0,6,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1763,120,267,8,2,17,0,4,10,7,1,0,0,6,75,1,0,1,0,3,4,1,9,0,0,1,0,6,7,0,5,0,4,0,1,3,3,6,1,0,9,1,1,1,0,1,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1992,190,242,10,5,12,2,8,20,4,0,0,0,8,77,3,0,0,1,7,3,0,6,1,1,1,0,11,8,0,4,0,4,1,3,2,11,2,1,3,6,0,0,1,0,1,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,1,1,0
49,2222,195,269,15,4,17,0,1,12,7,0,0,0,3,67,0,1,1,0,13,5,1,7,0,1,1,0,5,10,0,9,1,2,2,2,1,4,3,0,1,15,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,2681,236,156,20,4,15,4,3,12,7,3,0,0,0,68,1,1,0,0,3,3,2,14,0,3,2,0,4,2,0,8,0,7,1,4,1,3,8,0,0,7,0,0,3,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
64,2911,153,211,12,2,11,3,7,17,8,1,0,0,4,64,1,1,1,1,4,5,0,10,1,2,0,0,4,5,1,2,0,6,0,5,1,4,6,1,1,6,0,0,2,0,0,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,3048,268,257,20,1,12,1,4,32,4,1,0,0,5,105,1,0,0,0,4,6,1,11,1,0,0,0,7,8,1,9,1,8,0,5,2,5,4,0,0,8,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0
74,3161,270,165,6,4,5,0,1,29,3,0,0,0,4,75,6,0,1,0,7,4,0,15,0,1,0,1,8,11,2,2,0,8,1,1,1,1,8,0,0,7,0,1,2,1,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3275,187,141,8,6,4,1,3,19,5,0,0,0,5,83,2,0,2,1,8,3,1,9,1,1,1,0,4,1,1,7,0,8,0,2,1,3,5,3,0,7,1,0,0,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,3502,329,238,19,2,11,0,0,37,5,0,1,0,9,122,3,0,1,0,4,4,1,13,0,3,0,0,8,11,1,7,0,7,3,2,4,9,5,0,0,8,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3729,249,188,16,2,4,0,6,32,3,2,0,0,3,87,2,0,2,0,8,3,0,16,0,0,0,0,11,5,0,7,1,3,1,3,0,3,9,2,1,7,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,3979,221,222,13,2,8,1,0,29,2,4,0,0,5,74,4,0,1,0,5,5,0,11,1,2,0,0,11,10,0,14,0,2,2,3,0,10,10,2,0,8,1,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1
120,4206,203,229,11,4,12,1,1,20,5,2,0,1,3,55,3,0,0,1,6,11,2,7,0,0,0,0,7,3,1,7,0,4,0,2,2,1,6,3,2,6,2,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,4410,230,221,11,2,2,0,6,23,3,0,0,0,8,59,1,0,0,2,4,5,0,8,0,0,0,0,5,2,0,5,0,4,1,2,2,5,6,0,0,5,2,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
139,4638,188,204,12,2,4,0,7,27,4,0,0,0,4,46,3,0,0,1,6,6,0,13,0,1,0,0,9,7,0,3,0,5,0,2,0,7,11,1,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,4751,329,229,14,4,4,0,1,30,5,2,0,0,7,84,7,1,1,0,7,10,0,11,0,2,0,1,17,11,1,4,0,11,1,4,0,21,21,0,1,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,4978,182,273,4,3,8,0,10,27,1,1,1,0,6,43,1,1,1,0,5,11,1,7,1,0,2,0,4,8,0,16,0,9,2,5,1,9,9,0,0,9,0,0,4,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,5092,141,230,7,0,10,0,7,31,3,0,1,0,4,49,2,1,1,0,7,3,1,17,0,0,0,0,5,2,0,8,0,12,0,4,1,3,7,0,0,6,1,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
169,5319,213,250,14,1,19,0,3,35,1,3,0,0,3,37,0,0,2,1,4,13,0,7,0,1,2,0,6,8,3,9,0,14,1,4,0,1,5,2,0,3,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,5432,210,201,8,2,13,2,5,24,1,0,0,0,0,30,3,1,1,0,10,11,1,9,0,3,0,0,6,1,1,10,0,7,1,7,0,2,4,0,1,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,5546,172,202,18,0,10,0,5,39,1,0,0,0,3,22,2,2,0,1,10,14,1,7,0,0,0,0,5,3,3,10,0,6,0,6,0,3,5,0,1,11,0,0,2,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,5660,240,205,17,0,8,1,1,27,0,1,1,0,2,24,3,0,0,0,7,9,1,4,0,0,0,0,5,0,0,9,0,10,0,1,0,3,2,2,0,6,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,5773,233,263,14,0,9,0,5,30,0,1,0,0,3,23,2,0,1,0,7,9,0,8,0,2,0,0,3,5,0,14,0,5,3,3,0,3,7,0,0,4,1,0,1,0,1,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,5887,334,377,7,1,4,0,0,43,4,1,1,0,0,35,11,2,1,0,11,22,2,8,0,3,0,0,7,7,2,7,0,5,1,6,0,0,5,6,0,21,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
199,6075,210,194,2,0,5,1,6,16,3,1,0,0,4,26,2,0,0,0,7,10,2,9,0,0,0,0,6,4,3,13,0,9,1,5,0,0,7,2,1,7,0,0,2,0,1,5,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
209,6489,234,156,10,2,3,0,5,31,2,2,0,0,3,34,0,1,0,0,4,21,1,5,1,0,0,0,3,7,0,7,0,6,0,6,0,1,19,0,1,6,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6945,206,162,2,0,2,1,8,28,1,1,0,0,0,27,4,0,0,0,4,13,0,10,0,1,0,0,3,5,0,11,0,7,1,1,0,3,4,1,0,7,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
224,7110,240,160,6,4,1,1,4,32,0,1,0,0,4,46,2,0,0,0,12,13,1,7,0,2,1,0,4,4,0,5,0,6,1,4,0,0,1,0,1,7,1,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,7524,236,171,12,0,0,0,3,25,3,1,0,0,3,25,3,0,1,0,7,22,0,4,0,1,1,0,1,4,0,4,0,7,1,4,0,0,1,0,22,7,0,0,1,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,7731,222,154,15,2,2,0,5,25,2,2,0,0,3,30,2,0,1,1,12,14,1,6,0,3,0,0,10,4,4,10,0,6,1,3,0,0,0,0,0,13,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,7938,445,219,11,1,0,0,0,43,3,4,1,1,1,48,4,2,0,0,19,18,1,2,0,2,0,0,6,12,8,14,0,5,2,6,0,0,28,0,1,16,0,0,0,0,3,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,8145,259,180,4,2,0,3,4,23,0,0,0,0,0,27,1,4,0,0,5,13,1,5,0,0,0,0,1,7,0,11,0,7,0,2,0,0,10,0,0,7,0,1,1,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,8352,250,204,6,0,0,0,4,22,1,1,0,0,2,45,1,0,0,0,9,13,2,7,0,1,0,0,2,6,2,14,0,13,0,2,0,0,2,1,0,9,1,0,0,0,2,3,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,8559,184,254,4,5,0,1,4,12,0,0,0,0,0,21,1,0,1,1,3,7,1,2,0,0,0,0,4,9,2,11,0,9,0,2,0,0,8,1,4,4,0,0,0,0,0,1,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,8766,146,228,10,3,0,0,0,28,0,2,0,0,3,60,2,0,0,0,5,9,1,4,0,1,0,0,3,7,2,20,0,7,3,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,9181,90,338,9,4,0,1,0,19,0,4,1,0,3,39,2,3,0,0,11,10,0,11,1,2,0,0,3,4,1,5,0,7,3,3,0,0,0,0,0,14,0,0,0,1,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
