"sample.depths","sample.ages","upland.sum","Acer.rubrum","Betula","Carya","Castanea","Clethra","Corylus","Cyperaceae","Ericaceae","Ilex","Ostrya.Carpinus","Pinus.undiff.","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Myrica","Poaceae","Acer.saccharum","Fraxinus.pennsylvanica.F..americana.type","Fagus","Nyssa","Salix","Juglans","Rosaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Picea","Abies","Artemisia","Liquidambar","Amaranthaceae","Polygonum","Juniperus","Celtis","Asteraceae.subf..Cichorioideae","Tilia","Platanus","Rumex","Anacardiaceae","Cornus","Acer.undiff.","Caryophyllaceae","Acer.saccharinum","Morus","Iva"
30,NA,375,2,67,3,1,151,11,1,2,16,3,12,23,1,1,2,2,61,5,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,426,1,54,1,3,2,16,1,4,191,1,52,31,1,0,0,3,36,4,4,0,0,1,5,1,1,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19,302,3,54,6,3,0,10,0,11,42,2,44,77,2,0,2,6,6,8,3,1,0,5,4,0,0,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,96,404,4,71,1,3,1,11,0,3,118,0,59,59,0,1,1,7,35,3,2,2,4,0,4,3,1,4,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,135,665,5,117,6,5,0,17,1,8,140,2,97,142,10,2,0,10,28,14,7,0,0,7,12,2,1,11,7,9,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,212,461,5,86,5,3,4,7,0,5,25,1,105,119,8,3,0,6,23,4,7,1,2,9,6,2,0,4,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,250,351,3,77,4,4,0,8,0,3,36,1,57,96,3,5,0,3,7,6,5,0,2,6,5,0,0,8,5,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,826,464,7,60,8,1,0,4,3,5,0,1,57,206,13,8,3,7,0,5,3,2,5,31,9,1,0,2,6,6,2,3,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
141,1235,508,9,56,20,4,0,4,3,5,1,1,53,217,17,6,2,10,0,2,8,3,1,35,5,2,1,3,10,21,5,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
158,1643,456,5,57,10,3,0,6,4,4,0,1,49,196,15,6,2,19,0,4,1,3,7,21,9,0,0,7,9,10,3,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
174,2027,498,11,57,20,4,0,4,3,1,0,2,52,207,13,4,5,16,1,2,0,1,5,20,23,1,0,7,21,7,5,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0
191,2435,516,8,43,9,3,0,10,1,8,0,2,38,239,21,4,1,22,0,5,5,4,0,24,16,1,0,18,12,6,1,1,0,0,0,0,0,3,4,1,0,4,2,0,0,0,0,0,0,0
215,3012,371,6,37,10,2,0,2,1,7,0,5,26,177,10,3,4,0,0,0,4,0,4,28,18,0,1,0,7,5,3,0,0,0,0,0,1,6,0,0,0,1,0,0,0,2,1,0,0,0
231,3396,499,5,51,14,8,0,4,1,9,2,2,32,209,6,4,6,62,1,4,2,1,5,35,6,2,0,7,5,5,4,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0
247,3755,439,6,45,3,11,3,0,0,5,5,1,42,152,8,1,2,98,1,2,8,1,7,10,8,0,0,4,2,1,3,2,0,3,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0
263,4115,503,11,35,5,8,0,1,2,4,8,2,60,164,6,2,5,125,4,7,1,2,6,16,8,0,0,3,5,0,4,1,0,2,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
279,4475,515,5,37,5,3,0,1,3,0,4,0,38,182,17,0,6,153,4,4,9,1,6,10,8,1,0,3,1,2,4,0,0,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
295,4834,522,10,24,2,4,0,0,1,5,12,1,41,210,18,2,1,100,2,3,7,2,7,24,12,4,0,8,7,4,2,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0
310,5171,424,9,38,5,0,4,7,0,3,12,0,28,161,8,4,2,89,2,0,2,1,1,21,10,1,0,7,3,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
319,5374,658,2,19,1,1,0,10,0,3,7,6,325,117,23,3,4,20,7,6,2,1,2,1,1,0,0,1,55,29,1,5,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
335,5733,513,4,29,2,4,0,2,0,2,2,3,45,270,31,2,7,39,1,3,5,0,2,29,14,1,0,7,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
351,6093,476,9,26,2,1,0,2,2,2,7,0,36,221,24,0,2,73,0,2,8,3,7,17,10,1,0,3,11,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
367,6452,474,8,26,0,4,0,1,2,0,0,2,59,221,22,1,6,54,1,9,3,0,4,16,4,1,0,5,8,8,1,1,0,0,0,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0
395,7081,361,5,25,0,1,0,3,0,1,0,4,44,217,11,1,3,19,1,4,3,0,0,1,3,1,0,4,3,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
399,7171,408,6,27,2,7,0,3,1,2,1,2,120,140,23,1,3,28,2,3,8,0,1,4,1,0,0,1,8,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
415,7531,492,5,32,2,5,0,4,0,3,3,1,167,149,22,0,4,23,2,7,7,3,4,10,2,0,0,2,12,17,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
431,7891,518,5,41,0,6,0,6,4,3,1,2,191,137,15,3,4,28,11,7,1,1,1,4,0,0,0,0,21,13,5,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,8250,465,3,47,1,1,0,1,0,2,8,4,155,122,17,6,4,50,3,3,4,1,3,3,0,0,1,3,10,6,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,8610,687,6,39,0,1,0,10,1,5,6,4,277,139,34,3,4,43,3,7,5,0,5,5,0,2,0,0,43,27,1,7,2,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0
479,8969,510,1,34,0,0,0,4,2,2,14,2,181,107,29,3,5,65,0,7,5,0,2,3,1,0,0,0,22,18,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,9329,533,1,16,0,1,0,10,0,1,4,0,270,120,15,1,1,17,1,6,1,0,3,8,2,0,0,1,35,12,1,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
511,9688,539,0,16,0,0,0,4,3,1,1,2,299,61,14,0,1,3,0,3,1,2,0,2,0,0,0,0,63,53,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,10048,482,0,25,0,1,0,1,0,0,2,3,295,33,29,0,1,8,0,1,0,0,2,5,0,0,0,0,45,23,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
543,10408,504,2,42,0,0,0,3,3,1,3,1,205,109,25,2,5,25,1,5,1,1,1,6,7,0,0,0,28,24,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
559,10767,502,2,38,0,0,0,6,1,4,0,1,231,54,9,0,3,8,1,3,2,0,3,8,3,1,0,1,92,22,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
575,11127,507,4,29,2,0,0,2,2,0,0,3,211,66,2,0,5,4,0,2,5,1,4,7,1,2,0,0,118,26,1,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
584,11329,441,2,88,0,0,0,3,0,1,0,2,223,44,5,0,1,13,0,5,3,0,1,0,0,0,0,1,23,16,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,NA,406,0,13,0,0,0,10,0,1,0,1,143,11,0,0,0,5,0,6,2,0,0,1,0,2,0,0,0,13,0,185,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,NA,528,0,67,2,0,0,4,6,0,0,3,138,9,0,2,0,33,3,11,2,0,3,0,0,0,0,1,3,25,0,193,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
637,NA,453,0,4,0,0,0,0,0,0,0,0,138,5,0,0,0,1,0,5,0,0,0,0,0,0,0,1,4,4,0,262,26,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
655,NA,487,0,3,0,0,0,4,1,1,0,1,128,3,1,0,0,26,1,7,2,0,1,0,0,0,0,0,12,26,0,269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671,NA,467,0,9,0,0,0,2,0,1,0,5,192,4,0,0,0,23,0,2,1,0,0,0,0,0,0,1,1,8,0,210,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
719,NA,486,0,9,0,0,0,7,2,1,0,1,148,19,0,2,0,2,0,15,10,0,5,0,2,1,0,2,0,40,0,208,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,NA,225,0,11,0,0,0,4,1,0,0,1,84,3,0,1,0,1,0,3,0,0,1,0,0,2,0,0,3,3,0,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
751,NA,199,1,6,0,0,0,3,1,0,0,4,37,2,0,0,0,0,1,3,0,0,0,0,0,1,0,0,2,3,0,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,NA,501,0,33,1,0,0,7,0,1,0,5,137,13,0,1,0,2,2,7,11,0,1,0,0,2,0,0,1,17,1,245,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
783,NA,436,0,23,0,0,0,1,1,0,0,17,51,17,0,1,0,2,3,2,1,0,0,0,0,2,0,1,0,0,1,294,14,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
799,NA,347,0,9,0,0,0,2,0,1,0,1,27,1,0,0,0,2,0,3,1,0,1,0,0,0,0,1,0,0,0,289,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,NA,182,0,11,0,0,0,2,1,0,0,2,29,9,0,0,0,4,0,2,1,0,0,0,0,3,0,0,0,0,0,113,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
835,NA,445,0,69,1,0,0,8,10,7,0,21,35,11,0,0,0,8,5,13,14,1,16,0,0,10,0,1,2,19,2,180,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
853,NA,263,0,40,0,0,0,4,24,14,0,3,49,8,0,4,0,3,7,11,11,0,2,0,0,13,0,1,0,10,0,46,2,6,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0
873,NA,368,0,14,0,0,0,3,89,20,0,12,89,1,0,0,0,11,3,1,12,0,3,0,0,11,0,2,3,18,0,58,4,5,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0
890,NA,282,0,12,0,0,0,1,49,14,0,8,105,2,0,4,0,5,5,2,13,0,1,0,0,13,0,2,0,12,1,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
