"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Anacardiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caprifoliaceae","Carya","Castanea","Cerealia","Chamaecyparis","Corylus","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Ilex","Iva","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago.lanceolata","Platanus","Poaceae.undiff.","Pteridium.type","Quercus","Rhamnaceae.Vitaceae.undiff.","Rubiaceae","Rumex","Salix","Sanguisorba","Shrubs.undiff.","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis"
0,2,0,3,1,2,5,55,3,0,0,25,0,0,1,0,0,26,0,7,92,4,1,0,1,3,0,1,0,1,7,0,0,4,0,1,0,35,4,4,5,0,100,0,0,1,0,0,2,0,0,0,4,0,4,2,0
10,35,0,5,0,5,0,23,2,0,1,32,0,0,2,1,0,24,0,3,2,9,1,0,1,4,5,1,0,0,0,2,0,37,4,1,0,41,2,0,3,1,100,2,0,1,0,0,0,10,1,0,6,2,2,0,0
30,101,0,0,2,4,0,100,0,0,4,16,1,0,8,1,4,4,0,41,3,11,0,0,0,3,0,1,1,0,2,0,3,0,1,0,0,40,5,1,18,0,68,0,0,9,1,0,1,4,0,1,3,0,3,5,1
50,167,0,3,1,5,1,15,0,0,2,44,0,2,6,0,0,51,0,12,3,2,3,0,3,1,4,0,0,0,0,0,0,5,2,0,0,21,1,1,1,2,94,0,0,0,0,0,1,24,0,0,5,0,0,1,0
70,1427,0,4,0,12,0,6,1,0,4,1,0,0,2,1,0,139,0,1,2,3,0,0,0,1,7,0,0,0,0,3,2,3,3,1,0,54,0,0,1,0,183,1,1,0,1,0,0,6,0,1,7,0,3,1,0
90,3880,0,6,1,6,0,2,0,1,1,9,2,0,2,0,0,54,0,7,2,2,2,1,2,0,1,0,0,0,0,1,1,1,0,7,0,51,0,1,5,1,147,0,2,0,0,0,0,2,0,0,8,1,1,0,0
110,6333,0,1,0,8,0,3,0,0,3,5,0,1,1,0,0,2,1,8,7,0,5,0,5,0,0,0,0,0,1,0,3,1,1,2,0,69,0,2,3,0,125,0,0,0,1,0,0,1,1,0,10,0,3,1,0
130,8787,0,0,0,19,0,4,0,0,0,16,0,1,0,0,0,0,2,8,9,0,0,0,0,2,0,0,0,1,0,3,12,4,0,13,0,104,0,0,3,1,135,1,0,0,0,0,0,3,0,0,5,0,2,2,0
150,11240,0,0,1,26,1,2,2,0,3,9,1,3,1,0,0,0,1,12,4,1,0,2,0,7,4,0,0,0,0,3,5,1,1,3,0,137,0,2,5,3,72,0,0,0,0,0,0,4,0,0,8,0,6,0,0
170,NA,0,0,1,42,0,4,0,3,0,6,0,0,1,0,0,10,2,6,7,4,1,0,1,3,2,0,0,0,0,1,2,0,1,6,1,88,0,0,5,1,94,1,0,0,0,0,0,6,0,0,9,0,3,0,0
190,NA,1,0,2,10,0,0,1,0,1,13,0,0,1,0,0,0,2,10,1,0,0,1,0,2,0,0,1,0,0,4,1,0,1,1,2,164,0,0,6,5,52,0,0,0,0,0,0,7,0,0,8,0,1,2,0
200,NA,4,1,1,11,0,0,0,0,1,12,1,0,0,0,0,0,2,10,1,1,0,0,0,0,2,0,1,0,0,2,0,0,1,4,13,200,0,0,4,1,36,0,0,0,0,1,0,2,0,0,10,0,0,2,0
215,NA,3,0,3,10,0,1,0,0,1,12,0,1,0,0,0,0,3,18,2,1,1,1,0,0,1,0,0,0,0,4,1,0,2,5,20,214,0,0,8,2,27,0,0,0,0,0,0,6,1,0,3,1,1,0,0
