"sample.depths","sample.ages","upland.sum","Ambrosia.type","Bidens.type","Carya","Cyperaceae","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Herbs.undiff.","Iva.xanthifolia.type","Leitneria.floridana","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Quercus","Salix","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Alnus","Cornus","Myrica","Amaranthaceae","Cerealia","Brassicaceae","Onagraceae","Lamiaceae","Artemisia","Betula","Castanea","Cephalanthus","Fagus","Magnolia","Platanus","Rhamnaceae","Rubiaceae.undiff.","Rubus","Apiaceae","Corylus","Ericaceae","Ilex","Pinus.subg..Strobus","Rumex","Iva.annua.type","Cupressaceae","Thalictrum","Trees.undiff.","Populus","Acer.rubrum","Fraxinus.nigra.type","Acer.saccharum.type","Juglans.undiff.","Liliaceae","Caryophyllaceae","Parthenocissus","Rhus","Juglans.cinerea","Polygonum","Potentilla.type","Urtica.type","Viburnum","Tilia","Dalea","Asteraceae.subf..Cichorioideae","Celtis","Picea","Morus","Abies","Juglans.nigra","Saxifragaceae","Sambucus","Lonicera","Ranunculus"
40,1,536,68,20,13,6,1,4,11,19,8,1,6,22,7,14,152,63,68,3,1,4,5,1,1,13,1,10,4,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,51,469,16,2,14,19,0,2,26,10,12,2,5,4,6,23,171,34,57,7,0,14,2,0,0,6,0,5,1,1,0,8,0,2,1,2,2,1,5,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,101,370,12,1,5,10,2,1,14,1,2,3,7,2,0,9,204,0,60,2,0,2,2,0,0,1,0,5,2,0,0,1,0,0,1,0,2,1,7,1,0,0,2,0,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,151,416,14,5,4,23,1,3,10,7,16,0,7,5,4,7,190,1,63,5,0,5,2,0,1,4,0,6,2,1,0,13,0,0,1,0,0,1,5,0,1,1,0,1,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,201,337,9,1,3,3,0,2,7,3,1,0,4,2,3,10,206,1,60,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,366,355,0,0,3,1,1,1,10,3,0,0,4,0,3,22,219,0,57,0,0,0,0,0,1,0,0,2,0,0,0,10,0,0,0,5,1,2,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,722,354,1,0,7,4,0,0,27,0,0,0,1,2,0,13,185,0,58,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1079,359,2,0,9,8,0,3,7,0,0,2,6,2,1,52,150,0,72,1,0,1,5,0,1,2,0,0,1,0,0,0,0,0,0,1,0,4,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1544,373,0,0,5,10,0,2,27,3,1,0,5,0,4,11,210,0,65,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2120,354,0,0,4,7,0,0,32,0,0,0,5,1,1,10,209,0,51,0,0,1,2,1,0,0,1,3,0,0,0,0,0,2,2,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
