"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Cannabaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Lemnaceae","Liquidambar","Lycopodium.type","Morus","Myrica","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonaceae.undiff.","Populus","Pteridium.type","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Xanthium"
15.5,77,0,0,3,0,0,1,0,9,36,0,0,4,0,4,0,4,1,1,2,2,0,1,2,1,0,0,5,0,2,3,2,0,0,0,0,0,0,0,0,0,1,0,4,4,9,3,9,0,4,0,87,1,1,0,2,0,0,0,0,0,1,11,2,1,0,1
25.5,124,0,1,0,0,0,1,0,5,9,0,3,4,1,9,0,7,0,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,5,9,24,1,7,0,2,2,149,0,0,0,1,0,0,0,2,4,0,2,0,1,3,0
35.5,530,0,0,9,0,0,7,1,8,4,0,6,3,0,20,0,11,0,1,2,4,0,3,2,2,0,2,3,0,4,0,1,0,0,0,0,0,0,0,0,0,7,0,4,8,27,3,9,1,1,2,146,0,0,0,0,0,0,0,1,2,1,8,0,2,2,1
55.5,1522,0,0,1,0,0,4,0,4,6,0,6,5,1,10,0,3,0,0,0,1,0,6,0,2,3,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,3,1,8,5,24,8,14,0,3,2,147,3,0,0,2,0,0,0,2,1,0,12,0,2,3,0
75.5,4606,2,0,11,0,0,0,0,6,8,0,4,3,0,3,0,4,0,1,0,6,0,2,2,0,1,3,1,1,7,0,2,0,0,0,0,0,0,0,0,0,8,2,5,6,34,1,19,0,0,2,114,1,0,1,0,1,0,1,5,1,0,18,0,0,2,0
95.5,6232,1,0,9,0,1,2,0,6,10,1,5,2,0,2,0,7,0,2,0,2,1,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,10,4,2,6,34,4,20,0,0,0,83,1,1,0,0,1,0,0,3,0,0,36,0,3,0,0
115.5,6537,0,0,3,0,0,0,0,9,15,0,5,2,0,3,0,22,0,0,0,2,0,1,0,1,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,14,2,4,7,29,1,15,1,1,2,140,0,0,0,1,0,0,0,1,0,0,26,0,0,3,0
135.5,6843,1,0,3,0,2,2,0,6,10,0,6,3,0,6,0,5,3,0,2,7,0,1,1,0,0,1,2,1,4,0,0,2,0,0,0,0,0,0,0,0,8,4,2,7,26,3,21,0,0,3,101,0,0,0,0,0,0,0,7,0,0,31,0,1,3,1
155.5,7149,1,0,5,0,0,1,0,8,10,0,4,3,0,3,0,10,0,0,1,3,0,0,3,0,0,0,6,3,10,0,4,0,1,0,1,0,0,0,0,0,5,3,11,8,40,2,19,0,1,2,107,0,0,0,1,0,0,0,2,0,0,27,0,1,2,0
165.5,7310,1,0,3,0,0,0,0,12,7,0,7,2,0,2,0,7,0,0,1,5,0,1,0,0,0,2,5,7,5,0,1,0,0,0,0,0,0,0,0,1,3,5,9,2,48,0,13,0,1,3,71,0,0,0,1,0,0,0,5,0,1,26,0,4,4,1
175.5,7629,3,1,7,0,0,2,0,8,6,0,8,8,0,6,0,9,0,1,3,10,0,0,4,4,0,1,2,1,8,1,0,0,0,0,0,0,0,0,0,0,15,9,13,22,95,3,26,0,0,0,69,0,0,0,2,0,1,0,1,0,1,27,0,5,0,0
215.5,8905,4,2,8,0,0,2,0,6,9,0,1,3,0,6,0,9,0,2,1,4,0,1,5,2,0,1,2,1,4,0,0,0,2,0,0,0,0,0,0,0,15,9,13,8,52,2,18,0,0,0,112,0,0,0,1,0,0,1,4,0,1,44,0,11,0,0
235.5,9543,12,0,4,0,0,1,0,5,4,0,3,3,0,20,0,5,0,1,2,4,0,1,16,4,0,0,7,0,3,1,0,0,1,1,0,1,0,0,1,0,7,18,28,11,62,2,13,0,0,1,48,0,0,0,1,0,0,0,4,0,0,47,0,4,1,1
255.5,10181,14,0,2,0,0,3,0,0,4,0,1,0,0,45,0,4,0,3,0,0,0,0,25,1,0,0,7,0,0,0,1,0,3,0,0,1,0,0,0,0,1,26,40,0,87,1,6,0,0,3,32,0,0,0,0,0,0,0,0,0,1,74,0,3,3,0
265.5,10511,19,0,2,0,0,6,0,0,0,0,5,1,0,35,0,1,1,0,4,6,0,1,23,3,0,1,3,0,0,0,0,0,3,0,0,0,0,0,1,0,9,30,31,1,59,0,4,0,0,5,31,1,0,0,1,0,1,0,0,0,0,48,0,2,5,0
275.5,NA,31,0,3,0,0,2,0,5,7,0,11,4,0,5,13,3,0,2,5,7,0,0,62,6,0,0,14,2,7,0,0,0,2,0,0,0,0,0,0,0,45,173,0,0,2,0,12,0,7,1,19,0,1,0,3,0,4,4,0,0,1,15,0,21,4,0
285.5,NA,18,0,1,0,0,2,0,1,3,0,6,4,0,1,5,2,0,6,2,7,0,0,67,2,0,4,6,3,3,0,0,0,2,0,0,2,0,0,0,0,25,184,0,0,4,1,3,0,0,0,29,0,0,0,3,0,0,1,0,0,2,10,0,4,1,0
305.5,NA,12,0,2,0,0,0,3,3,2,0,8,1,0,4,9,0,2,6,2,11,0,0,45,0,0,0,9,0,0,0,0,0,3,0,0,0,0,1,0,0,23,98,1,1,2,0,1,0,4,0,24,0,0,0,10,0,1,4,0,0,2,21,0,7,0,0
335.5,NA,15,0,2,0,0,1,0,3,6,2,6,2,0,6,0,2,0,7,0,8,0,0,26,2,0,2,4,0,0,0,0,0,4,0,3,0,0,0,0,0,13,239,0,1,2,0,3,0,2,6,18,0,2,0,2,0,3,1,0,0,7,15,0,2,7,0
375.5,NA,20,0,1,0,0,1,0,2,3,2,17,4,0,4,0,1,0,14,1,5,0,0,29,0,0,0,5,0,1,0,0,0,6,0,3,0,1,0,0,0,24,121,1,0,1,0,8,0,1,0,19,0,2,0,5,0,5,0,0,0,10,9,0,9,1,0
415.5,NA,10,0,1,0,0,2,0,1,3,0,12,0,0,1,0,1,0,4,0,7,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,9,81,0,0,2,0,3,0,1,0,5,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0
455.5,NA,7,0,0,0,0,0,0,1,6,0,5,9,0,4,0,1,0,1,0,7,0,0,28,5,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,0,14,275,2,0,3,0,7,0,2,0,26,0,0,0,3,0,3,2,0,0,0,15,0,7,0,1
475.5,NA,6,0,0,1,0,0,3,2,6,0,13,6,0,1,7,0,0,2,3,15,0,0,56,2,0,0,12,1,4,1,0,0,4,0,0,0,0,0,0,0,11,138,1,0,2,0,12,0,0,0,26,0,1,0,1,0,1,0,0,0,0,8,0,8,0,1
495.5,NA,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
