"sample.depths","sample.ages","Acer.saccharum","Acer.undiff.","Alnus","Betula","Carya","Castanea","Chamaecyparis.thyoides","Corylus","Cupressaceae.Taxaceae.undiff.","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Nyssa","Ostrya","Picea","Pinus","Quercus","Salix","Sambucus.type","Sarcobatus.vermiculatus","Tilia","Trema","Tsuga","Ulmus","Vitis","Acalypha","Ambrosia","Apiaceae","Asteraceae..high.spine.","Asteraceae..low.spine.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Euphorbiaceae.undiff.","Fabaceae","Iridaceae","Plantago","Poaceae","Polygonum","Primulaceae","Rosaceae","Rubiaceae","Rumex","Saxifragaceae","Thalictrum","Urtica","Violaceae"
0,-51,0,0.00293255131964809,0.032258064516129,0.0410557184750733,0.00293255131964809,0,0.00879765395894428,0.00879765395894428,0.00293255131964809,0.0263929618768328,0,0,0.190615835777126,0,0.0205278592375367,0.0146627565982405,0.00293255131964809,0,0.249266862170088,0.173020527859238,0,0,0.00293255131964809,0,0,0,0,0,0,0.134897360703812,0,0,0.00879765395894428,0.00293255131964809,0.0351906158357771,0,0.00293255131964809,0,0.00293255131964809,0.0234604105571848,0,0,0.00879765395894428,0,0,0,0,0,0
5,177,0,0.00657894736842105,0.00657894736842105,0.0263157894736842,0,0,0,0,0.0131578947368421,0.0328947368421053,0,0,0.0657894736842105,0,0.0197368421052632,0.0197368421052632,0,0,0.486842105263158,0.164473684210526,0,0,0,0,0,0,0,0,0,0,0,0.0328947368421053,0.0657894736842105,0.00657894736842105,0.0460526315789474,0,0,0,0,0.00657894736842105,0,0,0,0,0,0,0,0,0
25,1084,0,0,0.0268199233716475,0.0306513409961686,0.0229885057471264,0.00383141762452107,0,0.0191570881226054,0.0114942528735632,0.0651340996168582,0,0,0.00383141762452107,0,0.0114942528735632,0.0268199233716475,0,0,0.226053639846743,0.478927203065134,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0.0114942528735632,0.0191570881226054,0,0.0114942528735632,0,0,0,0,0.0153256704980843,0,0,0.00383141762452107,0,0,0,0,0,0
45,2068,0,0,0,0.010989010989011,0,0,0,0,0.0137362637362637,0.010989010989011,0,0,0.00549450549450549,0,0.00824175824175824,0.00549450549450549,0,0,0.807692307692308,0.107142857142857,0,0,0,0,0,0,0,0,0,0,0,0.0164835164835165,0.00274725274725275,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2830,0,0,0.00377358490566038,0.0150943396226415,0.00377358490566038,0,0.060377358490566,0.0226415094339623,0.030188679245283,0.0150943396226415,0,0,0.0150943396226415,0,0.0188679245283019,0.030188679245283,0.0113207547169811,0,0.309433962264151,0.388679245283019,0,0,0,0,0,0,0.00377358490566038,0,0,0.0113207547169811,0,0.0226415094339623,0,0,0.0264150943396226,0,0,0,0,0.00377358490566038,0,0,0,0,0,0,0,0.00754716981132075,0
75,4354,0.00581395348837209,0,0.00290697674418605,0.00872093023255814,0,0,0.00581395348837209,0.00872093023255814,0,0.00581395348837209,0,0,0.0203488372093023,0,0.00290697674418605,0.0232558139534884,0,0,0.709302325581395,0.162790697674419,0,0,0,0,0,0,0,0,0,0,0,0.0145348837209302,0.00581395348837209,0,0.0145348837209302,0,0,0,0,0.00872093023255814,0,0,0,0,0,0,0,0,0
95,5878,0,0,0.024390243902439,0.00914634146341463,0.00914634146341463,0,0.0335365853658537,0.0152439024390244,0.00609756097560976,0.0365853658536585,0,0,0.0579268292682927,0.00609756097560976,0.0152439024390244,0.143292682926829,0,0,0.161585365853659,0.317073170731707,0,0,0,0.00914634146341463,0.00304878048780488,0,0.00609756097560976,0.0182926829268293,0,0.00304878048780488,0.00609756097560976,0.0152439024390244,0.00304878048780488,0.00609756097560976,0.0640243902439024,0,0,0,0,0.0213414634146341,0,0.00304878048780488,0,0,0,0,0,0.00609756097560976,0
105,6364,0.010752688172043,0,0.003584229390681,0.010752688172043,0.003584229390681,0.003584229390681,0,0.007168458781362,0,0.043010752688172,0,0.003584229390681,0.0967741935483871,0,0.021505376344086,0.229390681003584,0,0,0.25089605734767,0.204301075268817,0,0,0,0,0,0,0,0,0.003584229390681,0,0,0.014336917562724,0.007168458781362,0.032258064516129,0.0537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6759,0,0,0.0146627565982405,0.0263929618768328,0.00293255131964809,0,0,0.0674486803519062,0,0.0410557184750733,0,0,0.0733137829912024,0,0.0146627565982405,0.249266862170088,0.00293255131964809,0,0.108504398826979,0.328445747800586,0,0,0,0.00586510263929619,0,0,0.00293255131964809,0.00293255131964809,0,0,0.00879765395894428,0.0175953079178886,0.00293255131964809,0.00293255131964809,0.00879765395894428,0,0,0,0,0.00293255131964809,0,0.00879765395894428,0,0.00293255131964809,0.00293255131964809,0,0,0,0
125,7154,0.00434782608695652,0,0.0173913043478261,0.0652173913043478,0.00434782608695652,0,0,0,0.00434782608695652,0.0260869565217391,0,0,0.0391304347826087,0,0.0260869565217391,0.195652173913043,0,0,0.0956521739130435,0.426086956521739,0,0,0,0,0,0,0,0.00869565217391304,0,0,0,0.00434782608695652,0.0130434782608696,0,0.0434782608695652,0.00434782608695652,0,0,0,0.0173913043478261,0,0,0.00434782608695652,0,0,0,0,0,0
