"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Betula","Carya","Castanea","Pinaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagopyrum","Fagus","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Fabaceae","Fraxinus","Populus","Amaranthaceae","Viburnum","Cerealia","Urticaceae","Plantago","Rosaceae","Caryophyllaceae","Cephalanthus","Juglans.nigra","Rhus","Sambucus","Thalictrum","Myrica","Rhamnaceae.Vitaceae","Galium","Lamiaceae","Ranunculus","Liquidambar","Nyssa","Juglans.undiff.","Ranunculaceae.undiff.","Rubiaceae.undiff.","Gentianaceae","Celtis","Impatiens"
0,-9,0.00077339520494973,0.0603248259860789,0.00928074245939675,0.270688321732405,0.00077339520494973,0.00309358081979892,0.11368909512761,0.00696055684454756,0.00077339520494973,0.00077339520494973,0.00386697602474865,0.02861562258314,0.0293890177880897,0.00232018561484919,0.0301624129930394,0.0843000773395205,0.00154679040989946,0.00077339520494973,0.00154679040989946,0.020108275328693,0.0077339520494973,0.00232018561484919,0.0255220417633411,0.0193348801237432,0.00309358081979892,0.0518174787316319,0.0262954369682908,0.00077339520494973,0.00077339520494973,0.0510440835266821,0.0270688321732405,0.0556844547563805,0.00232018561484919,0.00618716163959783,0.00232018561484919,0.00696055684454756,0.00928074245939675,0.0054137664346481,0.00464037122969838,0.00154679040989946,0.00077339520494973,0.0139211136890951,0.0054137664346481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20,0,0,0.0269587194608256,0.267902274641954,0.0008424599831508,0.0067396798652064,0.0783487784330244,0.0067396798652064,0.0008424599831508,0.0025273799494524,0.0033698399326032,0.016849199663016,0.0370682392586352,0,0.0741364785172704,0.0791912384161752,0.0033698399326032,0,0,0.0151642796967144,0.0008424599831508,0.0008424599831508,0.029486099410278,0.0202190395956192,0.0033698399326032,0.06318449873631,0.0690817186183656,0.0033698399326032,0.0025273799494524,0.0775063184498736,0.008424599831508,0.0429654591406908,0.0025273799494524,0.0101095197978096,0,0.0143218197135636,0.0008424599831508,0.004212299915754,0,0,0,0.0134793597304128,0.0033698399326032,0.0008424599831508,0.0016849199663016,0.0016849199663016,0.0008424599831508,0.0016849199663016,0.0008424599831508,0.0008424599831508,0.0008424599831508,0,0,0,0,0,0,0,0,0,0,0
8,67,0,0,0.0279776179056755,0.248601119104716,0,0.00639488409272582,0.0559552358113509,0.00319744204636291,0.00399680255795364,0.00399680255795364,0.00479616306954436,0.0255795363709033,0.0343725019984013,0,0.0751398880895284,0.101518784972022,0.000799360511590727,0,0.000799360511590727,0.0135891286970424,0.00239808153477218,0.00239808153477218,0.0367705835331735,0.017585931254996,0.00399680255795364,0.0607513988808953,0.0863309352517986,0.00799360511590727,0.00399680255795364,0.0735411670663469,0.00799360511590727,0.0343725019984013,0,0.008792965627498,0.00159872102318145,0.0207833733013589,0.00479616306954436,0.00559552358113509,0,0,0,0.00959232613908873,0,0.000799360511590727,0.000799360511590727,0,0,0,0,0,0,0.000799360511590727,0.000799360511590727,0.000799360511590727,0,0,0,0,0,0,0,0
13,114,0,0,0.0429530201342282,0.0604026845637584,0,0.00402684563758389,0.0778523489932886,0.0134228187919463,0.00671140939597315,0.00536912751677852,0.00402684563758389,0.0187919463087248,0.010738255033557,0,0.153020134228188,0.076510067114094,0,0,0,0.0134228187919463,0.00268456375838926,0.00134228187919463,0.0496644295302013,0.0322147651006711,0.00402684563758389,0.106040268456376,0.0214765100671141,0.00536912751677852,0.00268456375838926,0.193288590604027,0,0.0429530201342282,0,0.00805369127516779,0,0.025503355704698,0.00536912751677852,0.00134228187919463,0,0.00134228187919463,0,0.00402684563758389,0.00268456375838926,0,0,0,0,0,0,0,0,0,0,0,0.00134228187919463,0.00134228187919463,0,0,0,0,0,0
18,160,0,0,0.0640625,0.0140625,0,0.0046875,0.1234375,0.0125,0.0046875,0.0078125,0.003125,0.0140625,0.00625,0,0.23125,0.0078125,0.003125,0,0,0.025,0,0.0046875,0.0578125,0.028125,0.0078125,0.1046875,0.0140625,0.003125,0.0015625,0.1921875,0.003125,0.0296875,0,0.0140625,0,0.0109375,0.0015625,0.0015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0
23,206,0,0,0.0669934640522876,0.011437908496732,0,0.00816993464052288,0.107843137254902,0.011437908496732,0.00326797385620915,0.0065359477124183,0,0.0212418300653595,0.00326797385620915,0,0.217320261437909,0.011437908496732,0,0,0,0.0196078431372549,0.00163398692810458,0,0.0343137254901961,0.0326797385620915,0.00163398692810458,0.117647058823529,0.00490196078431373,0.00326797385620915,0.0130718954248366,0.191176470588235,0.00163398692810458,0.0620915032679739,0,0,0,0.0375816993464052,0,0,0,0,0,0.00163398692810458,0.00163398692810458,0,0.00163398692810458,0,0,0,0,0,0,0,0,0,0,0.00326797385620915,0.00163398692810458,0,0,0,0,0
38,338,0,0.0894039735099338,0.0149006622516556,0.0132450331125828,0,0.00165562913907285,0.112582781456954,0.00993377483443709,0.00662251655629139,0.00827814569536424,0.00165562913907285,0.0248344370860927,0.0033112582781457,0,0.167218543046358,0.00662251655629139,0,0,0,0.0248344370860927,0.0033112582781457,0.00165562913907285,0.0347682119205298,0.0380794701986755,0.00662251655629139,0.115894039735099,0.00165562913907285,0.00165562913907285,0.00827814569536424,0.188741721854305,0,0.0480132450331126,0,0.0132450331125828,0,0.0413907284768212,0.00165562913907285,0.00165562913907285,0,0,0,0,0,0,0,0,0,0,0.00165562913907285,0.00165562913907285,0,0,0,0,0,0.0033112582781457,0.00165562913907285,0,0,0,0,0
73,627,0,0.0842787682333874,0.00486223662884927,0.00486223662884927,0,0.00162074554294976,0.115072933549433,0.0194489465153971,0.00486223662884927,0.00486223662884927,0.00162074554294976,0.0437601296596434,0.00972447325769854,0,0.155591572123177,0.00324149108589951,0.00162074554294976,0,0,0.0194489465153971,0,0,0.0437601296596434,0.047001620745543,0.0162074554294976,0.121555915721232,0,0.00162074554294976,0,0.196110210696921,0.00162074554294976,0.0453808752025932,0,0.00972447325769854,0,0.0388978930307942,0,0.00162074554294976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162074554294976,0,0,0,0,0,0
93,780,0,0.0929432013769363,0.00344234079173838,0.00688468158347676,0,0,0.111876075731497,0.0223752151462995,0.00516351118760757,0.0137693631669535,0,0.0137693631669535,0,0,0.14974182444062,0.00172117039586919,0.00344234079173838,0,0,0.0206540447504303,0.00516351118760757,0.00344234079173838,0.0309810671256454,0.0499139414802065,0.00688468158347676,0.12736660929432,0,0,0.00860585197934595,0.206540447504303,0,0.0585197934595525,0,0.0103270223752151,0,0.044750430292599,0,0,0,0,0,0,0,0,0,0.00172117039586919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,995,0,0.0752351097178683,0.00313479623824451,0.00313479623824451,0,0.00313479623824451,0.0846394984326019,0.0188087774294671,0,0.0109717868338558,0,0.00470219435736677,0,0,0.18025078369906,0,0.0109717868338558,0,0,0.0235109717868339,0,0.00313479623824451,0.0156739811912226,0.0517241379310345,0.0109717868338558,0.108150470219436,0,0.00156739811912226,0.00626959247648903,0.261755485893417,0,0.0736677115987461,0,0.0156739811912226,0,0.0329153605015674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
