"sample.depths","sample.ages","Abies","Ambrosia.type","Betula","Caryophyllaceae","Cyperaceae","Picea","Pinus.undiff.","Quercus","Alnus","Myrica","Populus","Poaceae","Pinus.strobus","Ericales","cf..Myrica","Artemisia","Ranunculaceae.undiff.","Rosaceae.undiff.","Coptis.trifolia","Sanguisorba","Thalictrum","Pinus.banksiana.P..resinosa","Juniperus","Fagus","Asteraceae.subf..Asteroideae.undiff.","Acer","Ulmus","Tilia","Plantago","Potentilla","Corylus","Amaranthaceae","Galium","Fraxinus","Taxus","Tsuga","Salix","Gentianaceae","Nemopanthus","Larix","Linnaea.borealis","Cornus","Epilobium","Polygonaceae.undiff.","Rumex","Shepherdia.canadensis","Apiaceae","Brassicaceae","Fabaceae","Limonium"
1,-11,0.0298507462686567,0.00298507462686567,0.316417910447761,0.00298507462686567,0.00298507462686567,0.358208955223881,0.00597014925373134,0.00298507462686567,0.22089552238806,0.0149253731343284,0.00298507462686567,0.00298507462686567,0.00298507462686567,0.00597014925373134,0.026865671641791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,74,0.0555555555555556,0.00326797385620915,0.209150326797386,0,0.00326797385620915,0.392156862745098,0.0163398692810458,0,0.271241830065359,0.0130718954248366,0,0.00326797385620915,0.00326797385620915,0,0.0130718954248366,0.00326797385620915,0.00326797385620915,0.0065359477124183,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,180,0.0428954423592493,0,0.235924932975871,0,0.0107238605898123,0.297587131367292,0.00268096514745308,0.00268096514745308,0.329758713136729,0.0107238605898123,0.00268096514745308,0.0134048257372654,0.00536193029490617,0,0.0187667560321716,0.00268096514745308,0,0.00268096514745308,0,0.00804289544235925,0.00536193029490617,0.00268096514745308,0.00536193029490617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,392,0.0512048192771084,0,0.325301204819277,0,0.0150602409638554,0.379518072289157,0,0,0.180722891566265,0.0120481927710843,0,0,0.00301204819277108,0,0.0120481927710843,0,0,0.00301204819277108,0,0.00301204819277108,0,0,0.00602409638554217,0.00301204819277108,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,604,0.0738461538461539,0,0.316923076923077,0,0.00307692307692308,0.406153846153846,0.00307692307692308,0.00923076923076923,0.123076923076923,0.00923076923076923,0,0.00923076923076923,0,0.00307692307692308,0.0184615384615385,0.00307692307692308,0,0.00307692307692308,0,0.00307692307692308,0.00307692307692308,0.00615384615384615,0.00307692307692308,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,816,0.0989583333333333,0,0.361979166666667,0,0.00520833333333333,0.325520833333333,0.00260416666666667,0,0.127604166666667,0.0130208333333333,0,0.0104166666666667,0.0130208333333333,0.00260416666666667,0.0130208333333333,0.00260416666666667,0,0.00260416666666667,0,0.00260416666666667,0,0.00520833333333333,0.00520833333333333,0,0.00520833333333333,0,0.00260416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,922,0.0810810810810811,0,0.384384384384384,0,0.006006006006006,0.339339339339339,0.003003003003003,0,0.114114114114114,0.006006006006006,0,0.006006006006006,0.003003003003003,0,0.042042042042042,0.003003003003003,0,0.003003003003003,0,0,0,0,0.003003003003003,0,0.003003003003003,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1028,0.0794117647058823,0,0.320588235294118,0,0.0088235294117647,0.373529411764706,0,0,0.144117647058824,0.0117647058823529,0.00294117647058824,0.00588235294117647,0,0.00588235294117647,0.0294117647058824,0,0,0.00294117647058824,0,0,0,0,0.0088235294117647,0.00294117647058824,0,0,0,0.00294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1241,0.073482428115016,0,0.329073482428115,0,0.00958466453674121,0.39297124600639,0.00638977635782748,0,0.156549520766773,0.00319488817891374,0,0.00319488817891374,0,0,0.0159744408945687,0,0,0,0,0,0,0,0.00638977635782748,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1453,0.0631229235880399,0,0.358803986710963,0,0.00996677740863787,0.305647840531561,0,0.00332225913621262,0.192691029900332,0.0299003322259136,0.00332225913621262,0.00332225913621262,0.00332225913621262,0.00664451827242525,0.00996677740863787,0,0,0,0,0,0,0,0.00664451827242525,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1665,0.0833333333333333,0.0028735632183908,0.330459770114943,0,0.0028735632183908,0.324712643678161,0.00574712643678161,0,0.206896551724138,0.00862068965517241,0.0028735632183908,0.0028735632183908,0,0,0.0201149425287356,0.0028735632183908,0,0,0,0,0,0,0.0028735632183908,0,0,0,0,0,0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
