"sample.depths","sample.ages","Artemisia","Betula","Carya","Castanea","Cyperaceae","Fagus","Ilex","Pinus.undiff.","Quercus","Salix","Tsuga","Ulmus","Alnus","Acer","Ambrosia","Juniperus.Thuja","Fraxinus","Juglans","Amaranthaceae","Poaceae","Pinus.strobus","Caryophyllaceae","Picea","Rosaceae","Tilia","Nyssa","Ericaceae","Celtis","Abies","Apiaceae"
15,82,0.00677200902934537,0.187358916478555,0.0090293453724605,0.00677200902934537,0.00225733634311512,0.090293453724605,0.00225733634311512,0.0451467268623025,0.133182844243792,0.0090293453724605,0.0586907449209932,0.00225733634311512,0.0135440180586907,0.0564334085778781,0.173814898419865,0.00451467268623025,0.0654627539503386,0.00225733634311512,0.0203160270880361,0.103837471783296,0.00677200902934537,0,0,0,0,0,0,0,0,0
78,717,0,0.269320843091335,0.0117096018735363,0.0304449648711944,0,0.182669789227166,0.00234192037470726,0.0491803278688525,0.063231850117096,0.00234192037470726,0.201405152224824,0.00468384074941452,0.00702576112412178,0.0866510538641686,0.00702576112412178,0.00936768149882904,0.00702576112412178,0,0.00468384074941452,0.0163934426229508,0.0327868852459016,0.00234192037470726,0.00468384074941452,0.00468384074941452,0,0,0,0,0,0
158,1638,0,0.307506053268765,0.00726392251815981,0.026634382566586,0.00484261501210654,0.14043583535109,0.00242130750605327,0.0387409200968523,0.101694915254237,0.00968523002421308,0.210653753026634,0.0121065375302663,0.00242130750605327,0.0774818401937046,0.00242130750605327,0,0.0121065375302663,0.00484261501210654,0,0.00242130750605327,0.0169491525423729,0,0.00484261501210654,0.00484261501210654,0.00968523002421308,0,0,0,0,0
178,1869,0.00458715596330275,0.31651376146789,0.00688073394495413,0.0573394495412844,0,0.123853211009174,0.00229357798165138,0.0458715596330275,0.105504587155963,0.00458715596330275,0.142201834862385,0.0091743119266055,0,0.112385321100917,0.00229357798165138,0,0.00688073394495413,0.00229357798165138,0,0.0091743119266055,0.0389908256880734,0.00229357798165138,0,0,0.00458715596330275,0.00229357798165138,0,0,0,0
208,2214,0,0.304878048780488,0.00731707317073171,0.0146341463414634,0,0.180487804878049,0.00731707317073171,0.0853658536585366,0.124390243902439,0.0097560975609756,0.117073170731707,0.0195121951219512,0,0.11219512195122,0,0,0.00731707317073171,0.0024390243902439,0,0,0.0024390243902439,0,0.0048780487804878,0,0,0,0,0,0,0
308,3538,0,0.248192771084337,0.0120481927710843,0.0216867469879518,0,0.204819277108434,0.00963855421686747,0.0626506024096386,0.130120481927711,0.00963855421686747,0.0795180722891566,0.0072289156626506,0,0.0963855421686747,0.00481927710843374,0,0.00963855421686747,0.00481927710843374,0,0.0072289156626506,0.0771084337349398,0,0.0072289156626506,0,0.0072289156626506,0,0,0,0,0
358,4241,0,0.227477477477477,0.0112612612612613,0.0427927927927928,0.0045045045045045,0.191441441441441,0.00225225225225225,0.0540540540540541,0.121621621621622,0.009009009009009,0.072072072072072,0.009009009009009,0.00225225225225225,0.123873873873874,0,0.0315315315315315,0.0157657657657658,0.00675675675675676,0,0.0112612612612613,0.0472972972972973,0,0.00675675675675676,0,0.00675675675675676,0,0.00225225225225225,0,0,0
398,4803,0,0.271028037383178,0.014018691588785,0.0560747663551402,0,0.259345794392523,0.00233644859813084,0.0677570093457944,0.130841121495327,0.00233644859813084,0.0864485981308411,0.00934579439252336,0,0.0700934579439252,0.00233644859813084,0,0.00700934579439252,0.00467289719626168,0.00233644859813084,0,0.0116822429906542,0,0,0,0.00233644859813084,0,0,0,0,0
498,6208,0.00245098039215686,0.208333333333333,0.0147058823529412,0.00980392156862745,0,0.274509803921569,0.00490196078431373,0.0441176470588235,0.112745098039216,0.00490196078431373,0.127450980392157,0.0122549019607843,0.00490196078431373,0.139705882352941,0.017156862745098,0,0.00490196078431373,0.00490196078431373,0,0,0.00980392156862745,0,0,0,0.00245098039215686,0,0,0,0,0
546,6882,0,0.284688995215311,0.00717703349282297,0.0167464114832536,0.00956937799043062,0.282296650717703,0.00956937799043062,0.0287081339712919,0.129186602870813,0.00478468899521531,0.062200956937799,0.00478468899521531,0.00717703349282297,0.114832535885167,0.00717703349282297,0,0.00239234449760766,0.00478468899521531,0.00478468899521531,0,0.00717703349282297,0,0.00239234449760766,0,0.00717703349282297,0,0.00239234449760766,0,0,0
