"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Carya","Celtis","Cornus","Corylus","Cupressaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus","Juglans","Larix","Lonicera.type","Myrica","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis.riparia","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Brassicaceae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Echinocystis.lobata","Fabaceae","Galium","Mentha.type","Plantago","Poaceae","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Spergula.type","Thalictrum"
0.5,-46,539,1,13,0,1,4,2,15,1,0,0,1,1,0,0,0,0,11,0,0,0,0,1,1,16,6,2,95,16,0,112,5,0,0,40,0,20,1,15,8,0,0,8,0,33,36,0,0,0,0,1,62,0,0,4,4,3,0
1.5,-42,475,0,3,0,3,9,2,20,2,2,0,1,6,0,1,0,0,14,0,0,0,0,0,0,14,5,0,59,8,1,103,10,0,1,24,0,31,3,22,5,2,1,10,0,28,38,0,0,0,0,1,33,0,1,8,4,0,0
2.5,-39,583,0,7,0,2,9,3,22,1,0,0,3,0,1,1,0,0,7,0,0,0,0,1,1,16,7,1,78,15,2,151,7,0,0,24,0,52,0,11,7,6,0,8,0,36,37,0,0,0,0,0,62,0,0,2,0,3,0
3.5,-35,588,0,9,1,1,8,0,20,0,0,1,2,1,0,0,1,0,15,0,0,0,0,0,0,7,2,0,84,14,2,149,5,2,0,36,0,49,1,17,7,1,0,11,0,33,50,0,0,0,0,1,54,0,0,1,1,0,2
4.5,-31,544,1,8,0,2,7,0,13,0,0,0,4,1,0,0,0,0,11,0,0,0,1,0,1,6,5,1,78,25,1,116,9,0,0,31,0,41,0,14,1,2,0,4,0,35,66,0,0,0,0,0,57,1,1,0,0,0,1
5.5,-27,524,0,9,0,5,7,4,21,0,0,0,0,6,0,0,1,0,10,0,0,0,0,0,0,7,4,3,46,11,2,117,15,0,0,24,0,36,0,17,3,0,0,17,0,35,48,0,0,1,0,1,60,0,0,10,4,0,0
6.5,-23,558,0,10,0,2,6,0,17,0,0,0,3,1,0,0,0,0,12,0,0,0,0,0,0,12,7,2,64,13,2,129,10,1,0,32,1,35,0,19,1,2,2,12,0,36,47,0,0,0,0,0,69,0,0,0,2,8,1
7.5,-19,577,0,8,0,2,12,0,16,0,0,1,6,2,0,0,0,0,11,0,0,0,0,0,0,14,4,2,75,19,0,125,7,0,0,42,0,52,1,21,5,0,0,8,0,38,52,0,0,0,0,0,49,0,3,2,0,0,0
8.5,-15,508,0,10,0,0,7,2,14,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0,1,14,6,4,92,8,2,92,4,3,0,33,0,31,0,15,4,2,0,11,0,32,47,0,0,0,0,0,53,0,0,0,1,8,0
9.5,-11,558,1,5,0,0,7,3,11,0,0,0,4,0,0,1,0,0,17,1,0,0,0,0,0,13,4,3,80,16,0,109,8,1,0,54,0,33,2,27,5,5,0,9,0,36,49,0,0,0,1,0,50,1,0,0,1,1,0
