"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Cyperaceae","Picea","Quercus","Rumex","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Poaceae","Iva.xanthifolia","Fagus","Rosaceae.undiff.","Castanea","Cupressaceae","Asteraceae.subf..Cichorioideae","Salix","Sanguisorba","Apiaceae","Ambrosia","Myrica","Amaranthaceae","Ericaceae","Plantago","Ilex.Nemopanthus","Larix","Fraxinus.nigra","Arceuthobium","Ostrya.Carpinus","Acer.saccharum","Populus","Fraxinus.americana","Ulmus","Impatiens","Onagraceae","Shepherdia.canadensis","Caryophyllaceae","Ranunculus","Acer.negundo"
1,-17,200,22,1,69,3,40,1,5,2,3,1,27,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,95,200,39,0,96,2,29,0,3,0,0,0,18,8,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,221,201,31,1,81,0,57,0,0,1,0,0,12,9,1,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,346,200,64,1,64,0,34,2,0,0,0,1,23,7,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,471,201,27,1,100,4,34,0,0,1,0,1,20,6,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,597,200,40,0,95,0,37,1,0,0,0,0,15,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
60,722,200,35,0,92,2,50,1,0,0,0,0,10,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,847,200,30,1,111,2,32,0,0,0,1,0,13,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80,972,200,34,0,111,0,34,1,0,0,1,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,1098,200,34,0,99,5,42,1,0,0,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100,1223,200,39,0,103,2,33,0,0,0,0,0,12,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1348,200,34,0,117,5,30,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1474,200,21,0,132,2,28,1,0,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
130,1599,200,45,0,120,1,21,1,0,0,0,0,6,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1724,200,36,0,106,5,30,0,0,0,1,0,13,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170,2100,199,26,0,112,2,31,1,0,0,1,1,18,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2225,201,42,0,72,1,34,2,0,0,0,1,37,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2350,199,38,0,105,3,25,2,0,0,0,0,18,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2476,201,31,0,115,1,21,1,0,0,0,0,23,4,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2601,200,53,0,83,3,28,0,0,0,0,1,20,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2726,200,37,0,97,2,29,0,0,0,1,0,21,8,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
230,2852,202,26,0,114,3,26,2,0,1,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
240,2977,200,61,0,68,0,39,0,0,0,1,0,21,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3102,200,21,0,111,3,18,2,0,0,2,0,35,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
260,3227,201,35,0,86,2,26,0,0,0,0,0,37,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
270,3353,200,13,1,126,2,16,1,0,0,1,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,3478,210,36,0,114,1,23,3,0,0,1,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,3603,206,33,0,128,2,17,4,0,0,0,0,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4144,200,36,0,100,0,42,1,0,0,0,0,5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4684,200,29,0,101,1,40,2,0,0,2,1,6,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
320,5225,230,44,0,92,0,38,1,0,1,2,0,4,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
330,5765,200,26,0,84,1,47,5,0,1,7,0,3,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6306,200,23,0,86,0,39,9,0,0,2,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
350,6847,200,37,0,65,0,46,6,0,1,2,0,0,37,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
355,7117,200,22,0,106,0,32,1,0,0,4,0,3,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
370,7928,201,17,0,129,0,33,6,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
380,8468,201,18,1,122,0,26,2,0,1,0,0,11,17,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9009,200,9,0,139,0,29,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400,9549,200,21,0,132,0,28,7,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,10090,200,7,0,145,0,20,3,0,0,0,0,8,12,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
420,10630,200,19,0,115,0,40,4,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,10930,200,5,0,153,0,26,1,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,11296,200,2,0,131,0,53,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
435,11662,200,0,0,153,0,39,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,12029,200,1,0,55,0,126,7,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
445,12395,200,0,0,38,0,124,6,0,0,0,0,1,14,1,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
450,12761,201,0,2,130,5,9,4,0,0,0,1,7,5,4,0,0,0,0,1,0,16,0,0,0,3,0,1,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0
455,NA,200,0,1,128,6,6,4,0,0,0,0,2,9,6,0,0,0,0,3,0,15,0,0,0,5,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
