"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Fraxinus","Herbs.undiff.","Indeterminable","Nuphar","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Trees.undiff.","Typha.Sparganium","Ulmus"
0,-3,1,7,70,4,70,5,0,10,0,0,7,0,0,1,3,0,0,5,46,0,15,0,3,0,0,0,7,1,0,0,2,0,0,0
10,7,0,6,80,3,115,2,1,2,0,0,12,0,0,0,6,0,0,6,74,0,43,0,3,0,0,0,5,2,0,0,0,1,2,0
20,18,0,10,84,5,122,5,0,8,0,1,19,0,0,1,0,0,0,3,55,0,36,1,3,0,1,1,14,0,0,0,1,0,1,0
30,28,0,11,110,2,123,3,2,10,0,0,6,0,0,12,2,0,0,5,52,0,34,0,4,0,2,0,7,2,0,1,0,0,0,0
50,49,0,2,108,3,83,1,0,4,0,1,6,0,0,3,1,0,0,3,32,0,20,1,0,0,2,1,8,0,0,0,0,0,0,0
60,60,0,11,43,2,136,7,0,6,0,0,18,0,0,4,6,0,0,2,42,0,44,0,1,0,2,0,7,2,0,2,0,0,0,0
70,96,1,7,6,8,174,11,0,8,0,0,7,0,0,2,3,0,0,1,48,0,42,0,0,0,1,0,5,2,0,0,0,0,0,0
110,341,1,9,15,2,149,15,0,10,0,0,10,0,0,5,3,0,0,10,62,0,31,0,3,0,0,0,2,2,0,0,0,0,0,0
190,830,0,7,21,13,173,10,2,8,0,0,18,0,0,0,1,0,0,2,37,0,43,0,0,0,0,0,3,0,0,0,1,0,0,0
270,1320,0,13,12,3,126,8,0,10,0,0,7,0,0,3,1,0,0,4,33,0,29,0,0,0,0,0,3,3,0,1,1,0,2,2
350,1810,0,6,15,4,125,5,0,20,1,0,13,1,0,1,0,0,0,6,61,0,77,0,0,0,0,0,7,0,0,0,0,0,0,0
430,2300,0,8,16,9,120,9,0,7,1,0,23,0,0,4,2,0,0,4,34,0,33,2,1,0,0,2,12,2,0,0,0,0,0,0
510,2790,0,7,15,5,167,6,0,8,1,0,28,0,0,2,2,0,0,7,73,0,63,0,0,0,1,0,4,0,0,0,0,0,0,0
590,3279,0,17,19,2,121,7,0,25,0,0,3,0,0,1,0,0,1,2,58,0,51,0,0,0,0,0,7,0,0,0,0,0,1,0
670,3769,0,8,42,3,157,7,0,7,1,0,34,0,0,3,0,0,0,6,35,0,69,0,2,0,1,0,10,0,0,0,0,0,1,1
750,4259,0,14,14,13,129,7,0,10,0,0,35,1,0,3,3,0,0,7,48,0,52,0,0,0,0,0,4,1,0,0,0,0,2,0
790,4504,0,9,19,4,192,7,0,16,0,0,13,0,0,9,2,0,0,4,30,0,22,0,0,0,0,0,4,0,0,1,1,0,0,0
830,4749,1,10,17,4,151,9,1,11,0,0,26,0,0,3,4,0,0,4,64,0,30,0,0,0,0,0,4,3,0,1,1,0,0,0
870,4994,0,9,23,15,123,8,1,11,0,0,21,0,1,2,3,1,0,5,57,0,37,0,0,0,0,0,7,0,0,0,0,0,0,0
910,5239,1,21,42,4,0,3,0,7,0,0,22,0,0,2,5,0,0,7,88,0,63,0,0,0,0,0,4,2,0,0,0,0,1,0
950,5484,0,9,33,28,135,20,0,23,0,0,22,0,0,5,5,0,0,4,42,0,31,0,0,0,2,0,10,3,0,0,1,0,0,0
990,5729,0,12,20,13,113,14,0,12,0,0,20,0,0,2,2,0,0,4,109,0,14,0,0,1,1,0,3,2,0,0,0,0,0,0
1030,5974,0,20,47,6,127,17,0,8,1,0,29,2,0,5,3,0,0,5,53,0,44,2,0,0,0,2,3,1,0,1,0,0,0,0
1070,6218,0,16,39,1,172,5,0,15,0,0,17,0,1,0,0,0,0,9,63,0,24,0,1,0,1,0,3,4,0,0,0,0,1,0
1120,6525,1,12,29,4,160,2,0,4,0,0,25,0,0,1,0,0,0,5,44,1,59,0,0,0,0,0,7,3,0,1,0,0,0,0
1160,6769,0,15,51,14,149,14,0,12,0,0,10,0,0,0,2,0,0,8,32,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0
1200,7014,0,12,40,26,97,10,0,8,0,0,26,0,0,0,1,0,0,5,34,0,38,2,0,1,0,2,0,1,2,0,0,0,2,0
1210,7076,1,12,56,36,99,6,0,13,1,0,37,0,0,1,6,0,0,21,58,0,29,0,0,0,1,0,6,0,0,0,1,0,0,0
1220,7137,0,15,66,67,57,3,0,7,0,0,21,0,0,1,3,0,0,10,53,0,29,2,0,1,0,2,2,1,0,0,0,0,0,0
1230,7198,0,13,53,11,88,6,0,2,0,0,22,0,0,1,2,0,0,8,47,0,42,0,0,0,0,0,1,0,0,0,0,0,1,0
1240,7259,0,11,57,22,121,6,0,2,0,0,38,0,0,1,2,0,0,7,57,0,42,1,0,0,0,1,4,3,1,0,0,0,1,0
1250,7321,1,10,56,56,77,7,2,2,0,0,38,0,0,2,2,0,0,10,46,0,36,0,4,0,0,0,1,4,3,0,1,0,0,0
1258,NA,0,16,88,15,92,4,0,11,0,0,29,0,0,1,1,0,0,22,54,0,48,0,0,0,0,0,2,0,0,0,0,0,0,0
1262,NA,0,11,68,20,89,9,0,5,0,0,29,0,0,0,4,0,0,15,46,0,56,0,2,0,0,0,1,0,1,1,0,0,1,0
