"sample.depths","sample.ages","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Carya","Caryophyllaceae","Cupressaceae","Cyperaceae","Dryopteris.type","Fagus","Fraxinus.nigra","Indeterminable","Larix","Lycopodium.type","Picea","Pinus","Poaceae","Pteridium","Quercus","Salix","Selaginella.rupestris","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown"
3,NA,3,0,3,3,0,1,4,0,0,0,0,0,1,1,0,0,5,1,3,3,46,33,2,2,0,0,0,0,3,0,0,0,0,1
50,NA,5,1,2,1,0,0,2,0,5,0,0,0,1,111,0,0,6,0,5,2,53,23,73,3,0,0,1,0,1,0,7,0,0,0
65,NA,24,0,0,1,1,0,0,0,0,1,0,0,0,330,0,0,9,0,15,1,38,0,206,5,0,3,0,0,2,0,21,2,6,2
69,NA,17,0,0,0,0,0,0,0,1,0,0,0,3,733,1,0,18,0,9,3,38,3,70,6,0,0,3,0,0,0,22,1,6,0
75,NA,0,2,0,1,0,1,0,0,0,0,0,1,64,2,0,0,18,9,1,165,34,11,0,2,0,0,34,0,1,8,0,0,2,0
90,13351,0,1,0,2,3,7,1,2,13,1,1,0,120,19,0,0,5,2,9,74,45,24,0,3,0,0,81,3,5,10,0,0,2,1
99,13961,0,1,1,2,5,2,0,3,0,0,0,0,73,4,0,1,7,6,0,182,19,0,0,1,1,0,2,0,0,0,0,0,1,0
110,NA,0,0,0,1,0,0,0,1,1,1,0,0,15,38,0,0,7,0,10,55,20,4,0,0,0,0,270,2,4,0,0,0,1,3
