"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium.filix.femina","Betula","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cornus.canadensis","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Dryas","Dryopteris.carthusiana","Dryopteris.goldiana","Elaeagnus.commutata","Empetrum","Epilobium","Equisetum","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Humulus.Cannabis.sativa","Huperzia.lucidula","Huperzia.selago","Indeterminable","Isoëtes","Iva.annua","Iva.undiff.","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Lysimachia","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.amphibium","Polypodiaceae","Populus.balsamifera","Potamogetonaceae","Potentilla.type","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rumex","Salix","Sarcobatus.vermiculatus","Saxifraga.oppositifolia.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Thelypteris.palustris","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica.type"
525,5,27,0,0,19,12,3,2,0,4,1,0,84,0,0,1,0,0,0,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,25,2,0,0,0,0,0,2,0,83,101,22,102,0,8,0,2,6,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
970,6569,7,0,0,31,20,1,1,0,13,1,0,51,4,0,0,0,0,0,2,6,12,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,4,0,0,7,12,65,44,178,0,10,0,5,0,0,1,1,4,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0
985,6787,9,0,0,45,17,4,4,0,14,0,0,95,3,1,0,0,0,0,5,20,12,0,0,0,0,0,0,0,2,3,0,0,0,10,0,0,0,0,2,0,0,1,1,0,0,3,3,1,0,0,2,0,0,10,9,36,38,216,0,13,0,14,7,1,0,1,9,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,3,0
1000,7005,3,0,0,39,39,1,1,0,9,1,0,53,6,1,0,0,0,0,4,5,23,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,9,0,0,1,1,0,0,7,0,0,0,0,7,0,0,1,15,165,78,196,0,28,0,35,1,0,0,1,10,0,0,4,0,3,0,0,0,0,0,2,0,0,0,0,2,2,0
1015,7223,5,0,0,58,29,10,8,0,4,1,0,75,7,0,0,0,0,0,2,15,16,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,0,1,3,2,0,0,2,0,0,0,0,5,0,1,3,14,182,114,218,0,12,0,11,10,0,0,1,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0
1030,7441,10,0,1,44,17,8,4,1,15,5,0,66,2,0,0,0,0,0,5,19,10,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,2,6,4,0,0,0,0,0,0,0,8,0,0,5,5,18,191,167,0,14,0,6,14,0,0,6,27,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,10,0
1045,7652,9,0,0,41,21,9,10,0,13,2,0,107,6,0,0,0,0,0,8,14,9,0,0,0,0,0,0,0,1,0,0,2,0,9,2,0,1,0,3,0,2,4,2,0,0,4,0,0,0,0,2,0,0,2,5,56,33,212,0,9,0,6,14,0,0,3,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,14,0
1060,7840,3,0,0,64,36,14,19,0,23,5,0,154,3,0,1,0,0,0,3,29,10,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,0,3,0,11,15,4,1,0,1,0,0,0,0,9,0,0,2,9,51,53,280,0,17,0,10,22,4,1,9,9,0,0,1,0,8,0,0,0,0,1,0,1,0,0,0,0,4,0
1075,7982,6,0,2,55,40,13,18,0,23,2,0,93,0,0,0,0,0,0,2,41,14,0,0,0,0,0,0,0,3,0,0,1,0,8,5,0,0,0,4,0,0,3,3,0,0,1,0,1,0,0,11,0,1,5,7,48,23,293,0,23,1,13,21,5,0,15,10,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,1,0
1090,8071,4,0,0,69,42,12,15,0,24,9,0,109,0,0,1,0,0,0,6,23,7,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,7,0,1,2,1,0,0,3,0,0,0,0,9,0,1,1,11,53,8,280,0,14,0,8,10,2,0,5,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,1,1,0
1105,8126,12,0,0,60,42,11,6,0,15,5,0,135,0,0,0,0,0,0,3,8,10,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,6,0,0,2,36,122,2,221,0,10,0,5,23,1,0,1,4,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0
1125,8186,3,0,0,29,27,4,7,1,7,4,0,222,0,0,0,0,0,0,1,27,7,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,4,0,0,2,29,4,0,305,0,8,0,4,15,0,0,2,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,0
1135,8226,2,0,0,57,120,7,9,0,10,3,0,136,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,29,4,0,329,0,8,0,3,5,2,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0
1145,8282,4,0,0,48,69,4,0,0,11,1,0,68,0,0,1,0,0,0,4,14,7,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,1,1,0,0,0,1,0,0,0,0,14,0,0,3,20,0,0,250,0,10,0,3,4,0,0,4,10,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,5,0
1155,8362,1,0,0,1,4,4,4,0,14,3,0,63,0,0,1,0,0,0,5,13,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,5,0,0,0,0,13,0,0,0,62,0,0,332,0,5,0,7,5,1,0,2,6,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,4,1
1165,8472,1,0,1,5,3,5,2,0,18,10,0,122,0,0,0,0,0,1,5,15,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,9,0,0,1,88,0,0,545,0,18,0,2,8,3,0,5,5,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,6,0
1175,8619,1,0,0,2,1,10,4,0,18,4,0,48,0,0,1,0,0,0,2,9,6,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,1,1,0,0,0,2,0,0,0,0,2,2,1,4,42,0,0,466,0,5,0,2,12,6,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0
1185,8810,0,0,2,4,2,5,1,0,15,12,0,80,0,0,2,0,0,0,3,4,8,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,1,1,0,0,6,0,0,0,0,1,2,3,4,56,0,0,428,0,4,0,7,4,12,0,3,4,2,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,17,1
1195,9053,4,0,0,0,0,2,1,0,9,5,0,44,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,77,0,0,457,0,1,0,2,8,2,0,2,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0
