"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Impatiens","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Polygonum.aviculare.type","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Alnus.viridis","Rosaceae.undiff.","Populus","Poaceae","Acer.saccharum","Cornus.canadensis","Pinus.strobus","Pinus.banksiana.P..resinosa","Lamiaceae.undiff.","Prunus.type","Ranunculus.type.undiff.","Artemisia","Plantago.major","Ilex.Nemopanthus","Larix","Myrica","Carya","Plantago.lanceolata","Amaranthaceae","Brassicaceae","Polygonum.viviparum","Stellaria.type","Mentha.arvensis","Acer.saccharinum.type","Polygonum.amphibium","Apiaceae","Castanea","Juglans.undiff.","Polygonum.undiff.","Polygonum.lapathifolium.type","Ranunculus","Nyssa","Ericaceae","Platanus","Potentilla","Fraxinus.nigra.type","Caltha.type","Acer.pensylvanicum","Juglans.cinerea","Fabaceae.undiff.","Ranunculaceae.undiff.","Sambucus","Cephalanthus","Rubus.cf..R..chamaemorus","Caryophyllaceae.undiff.","Rumex.Oxyria.digyna.undiff.","Dryas","Liliaceae","Pedicularis","Elaeagnus.commutata","Shepherdia.argentea","Stachys.type","Celtis","Cornus.undiff.","Plantago.undiff.","Lobelia.type","Ononis.type","Saxifraga.undiff.","Shepherdia.canadensis","Thalictrum","Rosa","Cornus.sericea.type","Saxifraga.cf..S..punctata","Saxifraga.cf..S..stellaris","Urtica","Melampyrum.type"
740.5,-66,294,6,1,71,4,7,3,5,9,2,6,1,19,1,11,9,4,2,30,4,3,12,6,1,1,2,38,3,1,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748.5,-54,303,5,0,87,5,8,4,9,8,1,0,3,13,1,8,4,3,0,22,3,6,20,7,0,0,1,49,5,0,28,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756.5,-40,306,4,0,80,4,12,0,12,9,0,1,2,12,0,11,8,5,0,21,4,5,20,14,1,1,0,50,1,0,24,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764.5,-23,295,2,1,88,3,17,3,11,6,0,2,3,17,0,7,2,3,0,19,2,1,20,11,2,0,0,43,1,0,25,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768.5,-13,300,5,1,87,5,10,3,15,6,0,3,2,14,0,6,1,3,0,11,1,7,29,7,10,1,3,34,1,0,25,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,-9,282,3,1,88,1,3,2,20,7,0,4,2,7,0,10,6,1,0,20,3,2,24,10,0,0,6,27,1,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772.5,-1,304,8,0,99,9,22,4,6,5,0,4,1,3,0,8,7,5,0,9,0,6,25,13,1,0,3,34,2,1,23,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,24,303,3,0,130,3,13,1,5,3,0,0,1,7,0,14,7,5,0,16,3,8,20,7,0,0,3,17,4,0,28,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,126,313,3,1,102,4,6,7,17,10,0,0,1,17,0,9,8,3,1,20,2,2,29,4,1,0,1,23,1,0,30,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,296,322,3,1,114,2,2,0,37,5,0,0,1,17,0,13,7,0,0,70,0,1,3,3,0,0,1,3,4,0,28,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,549,297,2,1,72,2,11,0,40,7,0,0,0,7,0,10,0,0,1,116,0,3,3,0,0,0,0,1,3,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,821,318,3,0,85,1,5,0,36,6,0,0,2,4,0,11,0,0,2,117,0,0,4,0,0,0,1,2,5,0,25,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,1189,317,0,1,97,0,3,1,31,5,0,0,0,3,0,7,0,0,1,133,0,0,2,0,0,0,0,0,8,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,1594,320,0,1,132,0,3,2,33,9,0,0,3,1,0,7,0,0,1,86,1,4,7,0,0,0,0,1,7,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,2022,344,4,0,147,2,6,0,45,8,0,0,5,1,0,9,0,0,1,77,0,1,5,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,2459,242,1,1,94,1,0,0,23,12,0,0,3,0,0,10,0,1,2,43,0,4,7,0,1,0,0,0,10,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,2998,306,1,1,123,2,3,3,38,6,0,0,3,2,0,8,0,0,0,52,0,10,5,0,0,0,1,0,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,3308,302,1,0,130,1,2,0,39,9,0,0,6,5,0,9,0,0,0,55,1,1,4,0,0,0,0,0,9,0,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,3698,316,1,1,119,1,1,2,33,9,0,0,1,4,0,14,0,0,0,62,0,4,2,0,0,0,1,1,5,0,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,3883,399,5,2,181,0,0,1,38,0,0,0,7,0,0,41,0,0,0,40,1,6,4,0,0,0,11,1,0,0,29,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,4061,306,0,0,114,2,1,0,35,6,0,0,3,1,0,18,0,1,1,30,2,6,5,0,0,0,0,0,10,0,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,4165,337,1,5,161,2,0,1,25,0,0,0,4,0,0,42,0,0,3,20,1,4,7,1,0,0,0,1,0,0,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,4251,337,0,7,167,1,0,0,32,0,0,0,3,1,0,29,0,2,2,26,0,3,4,1,0,0,0,0,0,0,36,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
