"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Aralia.hispida","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Cerealia","cf..Callitriche","Cornus.alternifolia","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nuphar","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Rubiaceae","Rumex.type","Salix","Saxifragaceae","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.lentago"
15,523,25,0,1,0,8,3,4,3,1,1,0,3,2,1,0,154,0,0,1,0,0,0,0,0,117,0,0,0,1,35,1,0,0,0,6,1,0,0,0,0,0,0,0,1,0,31,10,3,7,4,0,52,0,0,1,0,0,1,5,0,1,4,1,0,0,2,0,0,0,1,7,4,0,9,1,0,0
20,697,9,0,0,0,6,2,6,15,0,2,0,2,2,0,0,101,0,0,0,0,0,0,0,0,144,0,0,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,22,4,2,3,2,0,133,0,0,0,5,0,0,1,0,3,6,0,0,0,2,0,0,0,0,8,3,0,3,0,0,0
40,1394,40,0,0,0,7,5,6,7,0,1,0,0,0,0,0,221,0,0,0,0,0,0,0,0,110,0,0,1,1,8,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,47,15,6,12,7,0,37,0,0,0,0,2,0,0,0,6,1,1,0,0,1,0,0,1,8,4,3,0,4,0,0,0
60,2090,43,0,0,0,15,2,6,4,0,0,0,1,0,0,0,322,0,0,0,0,0,0,0,0,126,0,1,0,2,19,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,29,8,4,24,4,0,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,7,0,6,0,2,0,0,0
80,2787,55,0,0,1,14,1,9,4,0,0,0,0,0,0,0,312,0,1,0,0,0,0,0,0,91,0,0,0,0,28,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,36,12,10,44,10,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,16,0,3,0,0,1
100,3431,45,2,0,0,26,3,14,2,0,0,0,0,1,0,0,406,0,0,0,0,0,0,0,0,54,0,0,0,1,37,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,42,11,8,30,12,0,12,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,9,7,15,0,2,0,0,0
120,3915,48,3,0,0,26,1,16,1,1,1,0,2,0,0,0,481,0,0,0,0,0,0,0,0,5,0,0,0,2,22,1,5,0,0,0,0,0,1,0,1,1,0,0,0,0,49,10,6,75,13,0,20,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,3,5,1,16,0,10,2,0,0
140,4398,62,2,0,1,18,0,3,0,0,0,0,2,0,0,0,304,0,0,0,0,0,0,0,0,4,0,0,2,2,19,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,39,14,10,59,15,0,3,0,0,0,1,7,0,2,0,0,1,0,0,0,2,0,0,1,5,0,8,0,2,0,1,0
160,4882,41,1,2,0,12,0,4,1,0,0,0,1,0,0,0,423,0,0,0,0,0,0,0,0,14,0,0,0,0,37,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,35,7,10,39,8,0,38,0,0,0,0,4,0,1,0,0,12,0,0,0,0,0,0,3,2,18,15,0,5,0,0,0
180,5366,84,0,2,0,5,3,5,1,0,0,0,1,1,0,0,306,0,0,0,0,0,0,0,0,17,0,0,0,2,40,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,45,10,7,34,10,0,22,0,0,0,0,2,0,1,0,0,80,0,0,0,0,0,0,4,2,12,4,0,3,0,0,0
