"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Herbs.undiff.","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Sagittaria","Salix","Sphagnum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete."
0.5,NA,9,0,26,19,0,8,0,2,0,205,0,2,2,12,3,0,0,48,2,5,0,10,2,0,5,4,1,0,0,12,0,10,22,14,36,134,2,1,0,0,1,27,0,0,2,1,46,0,12,0,0
4.5,NA,10,0,27,20,0,5,0,1,4,282,0,1,0,0,3,0,0,55,0,4,0,25,1,0,3,4,0,0,1,13,0,8,16,5,48,165,2,4,2,0,0,39,0,0,1,0,36,2,15,7,1
9.5,885,7,0,10,2,2,5,0,4,1,206,0,1,1,12,3,0,0,53,1,7,0,9,1,0,7,3,0,0,1,8,0,5,19,4,33,101,1,0,0,0,0,42,0,0,2,0,45,0,7,0,1
14.5,1097,2,0,17,19,1,6,0,1,1,223,0,3,1,5,2,0,0,42,1,0,0,6,0,0,4,1,0,0,1,12,0,5,9,9,28,117,0,2,0,1,1,23,0,1,1,0,44,0,3,0,2
19.5,1310,6,1,14,9,1,6,0,4,0,231,0,1,1,11,1,0,0,15,0,5,1,8,0,1,5,1,0,0,0,3,0,10,11,5,36,123,0,1,0,2,1,30,0,1,1,0,30,1,16,0,1
24.5,1523,5,1,13,8,1,2,1,4,0,220,0,2,1,3,3,0,0,19,1,2,0,12,0,0,4,2,0,0,1,1,0,8,8,9,47,123,1,1,0,1,1,36,0,0,1,1,52,2,5,0,0
27.5,1651,6,0,24,10,0,6,0,5,1,228,0,1,1,4,6,0,0,23,0,4,0,11,1,0,6,1,0,0,0,1,0,15,13,4,35,121,0,2,0,3,1,24,0,0,1,1,51,1,11,0,1
34.5,1948,3,0,13,10,0,7,0,5,2,288,0,0,2,4,0,0,0,18,0,1,1,12,0,0,0,1,0,0,0,0,0,7,8,9,31,136,1,1,0,5,1,24,0,0,2,0,45,0,7,0,2
39.5,2161,4,0,12,14,0,2,0,3,0,230,0,4,1,2,3,0,0,18,0,0,0,7,1,1,2,3,0,0,0,3,0,5,17,5,29,124,1,1,0,0,0,34,0,0,2,1,51,1,6,0,0
44.5,2374,6,0,17,19,0,11,0,2,1,249,0,0,2,0,1,0,0,31,0,0,0,13,0,0,2,3,0,0,0,3,0,8,15,7,33,128,2,0,0,0,0,26,0,0,3,2,39,0,8,0,0
49.5,2587,6,0,17,12,0,4,0,0,0,266,0,3,2,5,1,0,0,14,4,2,0,8,0,0,3,2,0,0,0,2,0,15,14,6,33,141,1,2,0,0,0,25,0,0,0,0,45,0,9,0,0
55.5,2855,2,0,8,4,1,8,0,1,1,330,0,0,0,8,1,0,0,8,0,2,1,7,0,0,0,2,0,1,0,2,0,2,11,5,25,138,1,0,0,2,0,30,1,1,0,0,19,0,9,0,1
59.5,3130,6,0,7,16,2,4,0,2,0,358,0,0,2,0,1,0,0,5,0,1,0,11,0,0,2,1,0,0,0,0,0,13,10,6,30,109,0,1,0,1,1,29,0,2,0,1,18,0,13,0,0
65.5,3543,8,0,10,10,1,5,0,4,0,319,0,0,4,10,2,0,0,18,1,3,0,9,0,0,2,1,0,0,0,4,0,9,12,6,26,170,0,1,0,0,0,36,0,0,0,2,38,1,7,0,0
