"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fraxinus.pennsylvanica.type","Picea.mariana.type","Pinus.undiff.","Quercus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Rhamnus.alnifolia.R..frangula","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Fagus","Salix","Poaceae","Fraxinus.nigra.type","Cornus","Juglans.cinerea","Ostrya.Carpinus","Rosaceae","Myrica.gale","Viburnum.edule","Castanea.dentata","Ulmus","Ranunculaceae.undiff.","Amaranthaceae","Acer.rubrum","Caryophyllaceae","Acer.pensylvanicum","Acer.spicatum","Taxus","Thalictrum","Carya.ovata","Picea.glauca.type","Corylus.cornuta","Populus.tremuloides.type","Populus.balsamifera.type","Ericaceae","Fabaceae","Aralia.hispida","Plantago","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis","Saxifragaceae","Onagraceae","cf..Oxyria.digyna"
20,665,591,8,17,393,2,1,41,3,1,1,1,3,67,1,4,5,1,7,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1331,449,11,18,300,1,0,22,7,1,0,1,1,50,0,0,7,0,0,0,23,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1996,423,9,13,296,3,0,22,2,1,0,0,8,37,2,0,3,0,1,1,22,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2662,514,4,7,339,0,1,42,7,0,0,0,3,45,1,0,5,0,0,4,40,0,2,4,0,1,0,0,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3327,475,13,9,356,2,0,26,6,3,0,0,0,26,0,0,6,0,0,1,19,0,0,2,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3992,383,2,8,272,3,0,25,4,0,0,0,0,33,0,2,1,0,0,0,21,1,2,4,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4658,543,4,6,422,1,0,13,11,0,0,0,0,42,0,1,9,0,0,3,25,0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5323,481,2,7,347,0,0,23,11,0,1,0,0,40,0,1,16,0,0,3,24,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5862,421,1,3,270,0,0,50,8,3,0,0,0,30,1,2,13,0,0,1,23,0,0,1,0,1,0,0,0,0,1,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6368,603,2,8,456,10,1,28,18,2,0,1,0,18,1,2,19,0,1,0,20,0,0,1,0,3,2,0,0,0,2,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
