"sample.depths","sample.ages","Picea","Abies","Larix","Cupressaceae","Pinus","Betula","Populus","Fraxinus.nigra","Fraxinus.pennsylvanica","Quercus","Ulmus","Ostrya.Carpinus","Salix","Acer.saccharum","Acer.rubrum","Tilia","Juglans.cinerea","Juglans.nigra","Carya","Tsuga","Fagus","Morus","Castanea","Alnus","Corylus","Myrica","Ericaceae","Thalictrum","Cornus","Poaceae","Artemisia","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Plantago","Rosaceae","Brassicaceae","Apiaceae","Cyperaceae","Osmunda","Pteridium","Dryopteris.type","Sphagnum","Adiantum","Equisetum","Selaginella","Typha.latifolia","Indeterminable","unknown","pre.Quaternary","Pediastrum","Charcoal"
220,8199,1,1,0,2,92,8,0,1,0,127,4,12,0,5,0,0,0,0,0,47,10,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,9,3,0,0,0,0,0,6,2,0,0,66
240,8950,0,0,0,0,95,6,3,6,0,148,3,20,1,2,0,0,1,0,0,50,12,0,0,2,1,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,11,1,0,0,27
260,9700,2,1,0,1,165,12,0,1,0,70,8,21,1,0,0,0,0,0,1,54,8,1,0,2,1,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,6,2,0,0,0,0,1,4,6,0,0,3
280,10450,2,0,0,1,170,13,1,1,0,72,3,21,1,3,0,1,0,0,1,29,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,1,0,0,18
300,10671,1,0,0,0,244,16,0,1,0,56,6,12,0,2,0,0,1,0,1,33,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,8,6,0,0,0,0,0,4,3,0,0,44
320,10832,3,3,0,1,245,7,0,4,0,49,2,16,0,0,1,0,0,0,0,24,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,9,1,0,2,103
340,10994,1,1,0,0,242,22,0,5,1,64,12,52,1,5,1,0,0,0,0,11,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,10,3,0,0,34
360,11156,0,1,0,0,231,10,0,1,0,48,6,12,0,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,5,1,0,1,7
370,11237,2,3,0,1,223,24,0,5,0,34,5,9,0,3,2,1,0,0,0,4,1,0,1,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,8,1,0,0,22
375,11277,2,3,0,1,320,14,1,6,0,33,13,7,0,8,5,0,0,0,1,7,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,4,2,0,0,0,0,0,9,0,0,10,47
380,11318,3,9,0,1,267,19,0,3,0,16,8,4,0,3,3,0,0,0,0,10,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,7,1,0,7,20
385,11359,9,14,2,2,183,35,0,5,0,13,2,1,1,3,6,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,12,4,0,0,0,0,0,15,0,0,6,440
390,11421,34,17,0,0,154,39,1,2,0,9,3,5,0,0,0,0,0,0,0,18,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,12,1,0,20,188
395,11495,39,28,0,2,161,43,0,5,0,2,0,9,1,0,1,0,0,0,1,7,0,0,0,18,0,0,0,1,0,0,1,0,3,0,0,0,0,0,3,0,2,1,0,0,0,0,0,11,0,0,16,203
400,11571,43,8,1,1,123,97,0,0,0,3,0,5,5,0,0,0,0,0,0,4,0,0,0,60,1,1,0,4,0,1,1,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,8,3,0,21,46
405,11647,51,16,1,0,181,11,0,1,0,3,0,7,0,1,0,0,0,0,0,7,0,0,0,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,5,1,0,24,348
410,11723,41,25,0,0,149,31,1,0,0,15,1,5,0,0,0,0,1,1,0,7,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,12,192
420,11875,11,2,0,1,246,42,0,8,0,68,9,22,0,4,3,0,0,0,0,5,3,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,7,0,0,1,15
425,11951,43,22,1,2,194,24,2,0,0,9,0,4,1,1,1,0,0,0,0,7,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,10,144
430,12027,42,17,1,1,182,25,2,0,0,6,0,7,3,0,0,0,0,0,0,1,0,0,0,49,0,0,0,1,0,0,2,2,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,6,1,0,34,116
435,12103,47,14,1,0,177,15,2,3,0,12,0,10,1,2,0,0,0,0,1,0,0,0,0,48,0,0,0,2,0,0,0,5,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,13,0,0,48,112
440,12179,46,11,0,1,171,26,2,0,0,7,0,10,1,1,0,0,1,0,0,1,0,0,0,66,7,0,0,0,0,3,2,5,0,1,0,0,0,0,7,0,3,0,0,1,0,0,0,7,5,0,20,42
445,12255,38,24,2,1,174,14,0,0,0,7,0,17,2,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,15,0,0,27,111
450,12331,56,35,0,1,123,19,3,9,0,14,0,31,0,0,0,0,0,0,0,1,1,0,0,18,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,19,2,0,0,0,0,0,20,2,0,22,190
455,12407,71,16,0,1,149,8,0,4,0,15,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,10,31
460,12483,49,7,0,3,220,15,2,3,0,22,0,15,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,11,1,0,12,57
465,12566,59,23,0,2,182,9,0,3,0,14,0,21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,5,1,0,0,0,0,0,8,0,0,21,394
470,12702,39,19,0,2,264,17,1,1,0,16,0,13,0,0,0,0,0,0,3,0,2,0,1,12,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,10,0,0,15,101
475,12838,34,10,0,1,184,15,2,6,0,45,0,32,1,0,2,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,4,1,0,0,0,0,0,30,0,0,19,129
480,12974,53,29,0,1,215,27,0,8,0,26,0,34,0,0,0,0,0,0,0,1,0,0,0,3,5,3,0,0,0,0,2,1,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,9,2,0,11,12
485,13111,42,34,1,1,154,10,1,0,0,15,0,14,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,4,2,0,1,0,0,0,14,0,0,8,76
490,13247,39,27,0,4,170,13,1,4,0,14,2,19,2,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,24,51
495,13383,34,18,0,3,181,5,0,4,0,19,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,3,0,1,0,0,0,9,0,0,14,47
500,13519,61,30,0,4,188,35,3,6,0,31,0,24,7,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,6,1,3,0,0,0,0,0,0,7,0,1,2,0,0,0,0,1,8,2,0,2,26
505,13601,35,26,0,3,98,12,2,43,0,33,0,32,0,0,2,0,0,0,1,0,1,0,0,3,0,0,0,1,0,1,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,17,0,0,11,66
510,13682,85,41,1,1,115,16,2,9,0,12,1,13,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,0,0,2,217
515,13763,57,28,0,2,112,14,2,5,0,30,1,35,2,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,11,0,0,5,415
520,13844,49,16,0,5,168,27,7,2,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,1,1,1,0,0,0,0,6,0,0,2,0,0,1,0,1,10,3,1,6,129
525,13926,38,26,1,2,101,25,3,11,0,12,0,38,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,11,0,6,6,1,0,0,0,0,19,1,0,10,300
530,14007,92,13,0,7,49,28,0,4,0,24,0,17,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,4,3,0,0,0,0,0,14,0,20,8,0,0,0,1,0,15,0,0,50,374
535,14088,82,8,0,19,59,13,17,8,0,22,0,32,6,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,7,0,2,2,1,0,0,0,0,5,0,9,5,2,0,0,0,0,13,1,0,9,564
540,14170,188,3,0,1,61,4,2,1,0,7,0,4,5,0,0,0,1,0,2,0,0,0,0,8,0,0,0,1,0,2,2,2,0,0,0,0,0,0,10,0,1,1,0,0,0,0,1,29,1,0,16,75
545,14251,123,2,0,4,36,3,2,3,0,8,1,6,4,0,0,0,0,1,2,0,1,0,0,4,0,0,0,2,0,0,3,4,2,0,0,0,0,1,14,0,1,7,0,0,0,0,0,13,1,0,155,379
550,NA,192,3,0,3,45,12,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,4,2,2,0,0,0,0,0,16,0,2,3,0,0,0,0,0,8,1,0,23,100
