"sample.depths","sample.ages","Abies","Cyperaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Tsuga","Alnus","Fraxinus","Myrica","Pinus","Poaceae","Betula.less.than.20microm","Corylus.type","Betula.greater.than.20microm","Betula.20.25microm","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Populus","Juniperus","Ostrya","Salix","Ulmus","Cornus","Juglans","Apiaceae","Acer","Castanea","Thalictrum","Amaranthaceae","Fagus","Rubiaceae","Epilobium","Rosaceae"
0,-37,0.022151899,0.069620253,0.025316456,0.003164557,0.142405063,0.003164557,0.003164557,0.433544304,0.003164557,0.079113924,0.012658228,0.003164557,0.003164557,0.009493671,0.003164557,0.183544304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,46,0.009615385,0.03525641,0.028846154,0,0.092948718,0,0,0.41025641,0,0.060897436,0.028846154,0.003205128,0.006410256,0.03525641,0,0.269230769,0.003205128,0.009615385,0.003205128,0.003205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,129,0.021875,0.040625,0.00625,0,0.159375,0,0,0.39375,0.003125,0.078125,0.025,0.009375,0.00625,0.0125,0.003125,0.225,0,0.00625,0.003125,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0
15,212,0.024475524,0.041958042,0.034965035,0,0.132867133,0,0,0.36013986,0,0.048951049,0.038461538,0,0.003496503,0.059440559,0,0.234265734,0,0.006993007,0,0,0.003496503,0.003496503,0.003496503,0.003496503,0,0,0,0,0,0,0,0,0,0
20,295,0.047318612,0.05362776,0.018927445,0,0.113564669,0.003154574,0,0.365930599,0.003154574,0.072555205,0.015772871,0,0.009463722,0.018927445,0.022082019,0.242902208,0.003154574,0.003154574,0,0.003154574,0,0,0,0,0.003154574,0,0,0,0,0,0,0,0,0
25,378,0.012345679,0.030864198,0.024691358,0,0.185185185,0,0,0.37037037,0,0.074074074,0.027777778,0,0,0.052469136,0,0.216049383,0,0,0,0,0,0.00308642,0.00308642,0,0,0,0,0,0,0,0,0,0,0
30,461,0.064606742,0.042134831,0.019662921,0,0.143258427,0,0,0.393258427,0.002808989,0.04494382,0.033707865,0,0.002808989,0.002808989,0.016853933,0.210674157,0.005617978,0.002808989,0,0,0,0.005617978,0,0,0.002808989,0.002808989,0.002808989,0,0,0,0,0,0,0
35,544,0.026666667,0.023333333,0.053333333,0,0.186666667,0,0,0.353333333,0.006666667,0.043333333,0.023333333,0,0,0.036666667,0,0.226666667,0,0.01,0.003333333,0,0,0,0,0,0,0,0,0.003333333,0.003333333,0,0,0,0,0
40,627,0.054878049,0.06402439,0.018292683,0.00304878,0.192073171,0.006097561,0,0.31402439,0.00304878,0.082317073,0.036585366,0,0.009146341,0.018292683,0,0.192073171,0,0,0,0.00304878,0,0.00304878,0,0,0,0,0,0,0,0,0,0,0,0
45,772,0.036065574,0.052459016,0.029508197,0.003278689,0.150819672,0,0,0.357377049,0,0.026229508,0.029508197,0.003278689,0,0.032786885,0,0.268852459,0,0,0.003278689,0,0.003278689,0,0,0,0,0,0,0,0,0.003278689,0,0,0,0
50,944,0.057142857,0.022857143,0,0,0.217142857,0,0.002857143,0.32,0.002857143,0.04,0.011428571,0.005714286,0.002857143,0.014285714,0.014285714,0.268571429,0,0.005714286,0,0,0,0.002857143,0,0,0,0.005714286,0,0.005714286,0,0,0,0,0,0
60,1287,0.058282209,0.021472393,0.012269939,0,0.233128834,0,0,0.282208589,0.003067485,0.082822086,0.018404908,0,0.012269939,0.006134969,0.009202454,0.248466258,0,0.006134969,0,0,0,0.003067485,0,0,0,0,0.003067485,0,0,0,0,0,0,0
70,1630,0.048979592,0.008163265,0.012244898,0,0.191836735,0,0,0.293877551,0.004081633,0.048979592,0.028571429,0,0.048979592,0.012244898,0,0.273469388,0.004081633,0.012244898,0.004081633,0,0,0,0,0,0.004081633,0,0,0.004081633,0,0,0,0,0,0
80,1973,0.048701299,0.019480519,0.025974026,0,0.204545455,0,0,0.282467532,0,0.107142857,0.022727273,0,0.035714286,0.032467532,0,0.214285714,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2316,0.054380665,0.036253776,0.01510574,0,0.16918429,0.003021148,0,0.341389728,0.003021148,0.075528701,0.012084592,0.003021148,0.012084592,0.009063444,0.009063444,0.247734139,0,0,0.003021148,0,0,0,0,0.003021148,0,0,0,0,0,0,0.003021148,0,0,0
