"sample.depths","sample.ages","upland.sum","Acer.negundo","Alnus.incana.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Euphorbia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Lycopus.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Ostrya.type","Poaceae","Humulus","Cyperaceae.undiff.","Iva.xanthifolia","Rosaceae","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Dalea.purpurea","Alnus.viridis.type","Acer.rubrum","Cupressaceae","Sarcobatus.vermiculatus","Tilia","Ephedra","Amorpha","Tsuga","Apiaceae","Acer.saccharum","Thalictrum","Polygonum.arenastrum.type","Juglans.nigra","Vitis","Xanthium","Rumex","Fagus","Carya","Acer.pensylvanicum","Populus.balsamifera.type","Galium","Abies","Brassicaceae","Portulaca","Cornus","Rhus","Polygonum.viviparum.type","Shepherdia.argentea","Shepherdia.canadensis","Polygonum.amphibium","Polygonum.lapathifolium.type","Ranunculaceae.undiff."
383.5,-31,273.5,6,8,11,18,15,3,22,3,1,1,4,2,2,29,1,19.5,1,7,3,4,3,2,2,52,3,27,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2,308.5,6,7,13,22,4,5,0,0,0,0,5,0,0,11,1,28.5,0,2,49,4,0,8,10,90,1,25,0,8,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,67,312.5,1,15,14,25,13,7,1,5,0,0,1,1,5,18,2,22.5,0,1,48,4,0,0,5,73,6,33,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,214,353,1,22,18,37,4,13,0,4,0,1,13,2,8,34,6,26,1,11,56,4,0,0,10,20,12,17,0,17,6,1,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,445,293,1,24,11,34,0,13,0,0,3,0,1,1,3.5,5,3,31.5,0,6,58,5,0,1,7,12,20,30,0,13,0,0,3,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,675,300.5,0,12,6,50,2,8,0,7,2,0,3,0,4,8,5,25.5,0,0,77,3,0,0,10,24,8,25,0,9,2,0,0,0,0,4,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,905,307.5,2,10,11,41,3,3,2,0,0,0,4,1,4,29,3,14.5,0,3,89,4,0,1,7,11,3,35,0,22,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,1136,291.5,2,4,12,16,2,2,1,0,2,0,0,0,4,4,0,27.5,0,4,68,1,0,3,3,13,3,94,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,1366,314.5,0,6,13,25,9,7,3,3,0,1,1,0,0,8,0,11.5,0,2,91,3,0,0,3,10,6,102,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,1597,401.5,0,5,19,19,2,5,4,2,1,0,1,0,1,16,2,7.5,0,1,59,3,0,0,2,7,4,206,0,22,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,1853,435,1,7,19,16,1,6,0,0,7,0,0,0,0.5,6,1,26.5,0,0,51,4,0,3,3,15,2,241,0,18,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714.5,2065,531.5,0,12,34,24,2,15,5,2,4,0,0,2,4,24,4,22.5,0,5,104,1,0,0,5,26,10,161,0,46,10,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,2365,508,2,5,39,25,6,4,4,5,0,0,0,0,3,15,1,21,0,2,54,2,0,0,6,28,2,231,0,42,0,1,0,0,0,3,0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,2622,261.5,1,9,19,22,0,1,0,0,2,0,0,0,1.5,3,0,18,1,2,42,3,0,6,7,16,2,92,0,11,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,2878,309,0,1,17,16,3,4,0,1,0,0,0,0,0,1,6,7,0,0,40,3,0,0,3,12,8,158,0,21,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,3134,429.5,1,9,16,9,2,4,0,3,1,0,0,1,0,9,0,6.5,0,3,35,2,0,0,2,14,1,284,0,13,3,0,0,0,1,2,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,3374,385,4,15,27,25,3,7,0,0,2,0,0,1,3.5,6,1,25.5,0,6,59,6,0,14,4,27,3,133,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,3671,356.5,12,0,25,26,6,1,0,0,5,0,0,0,1.5,2,4,32,0,2,85,2,0,13,5,30,3,69,0,17,0,0,0,0,0,1,0,0,1,6,1,0,0,0,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,4013,397.5,1,2,32,27,9,3,9,1,5,0,0,0,2,23,0,12.5,0,1,65,2,0,0,8,26,5,107,0,29,15,0,0,0,1,2,0,1,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
975,4304,284,1,7,56,8,2,1,0,0,5,0,0,0,0,3,0,19,0,0,25,2,0,4,5,24,1,88,0,21,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1008,4636,348,1,3,86,7,14,2,0,2,0,0,0,0,0,0,5,19,0,10,25,0,0,8,1,10,3,116,0,23,0,0,0,0,1,7,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,4958,325.5,1,3,57,11,9,2,4,6,0,0,0,2,0,18,3,9,0,0,33,1,0,0,8,26,2,100,0,20,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0
1072,5280,314.5,0,3,66,2,0,0,0,0,6,0,0,0,0,1,0,7.5,0,0,23,1,0,5,4,50,0,130,0,10,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,5601,357.5,1,1,69,2,15,1,0,0,4,0,0,1,1,2,1,17.5,0,6,51,8,0,10,4,44,3,84,0,28,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,5923,324.5,0,3,44,8,13,2,5,0,3,0,0,2,0,4,1,16.5,0,1,42,1,0,0,5,30,0,107,0,25,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1168,6243,298.5,1,4,73,3,1,3,4,0,2,1,0,0,2.5,1,0,20,0,4,18,0,0,6,8,13,3,87,0,22,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,6547,264,3,2,56,2,7,2,0,0,6,0,0,1,1,9,2,14,0,5,33,4,0,6,10,23,5,60,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1232,6852,305.5,1,1,33,10,10,0,5,3,0,0,0,0,0,9,2,17.5,0,0,48,1,0,1,6,20,0,97,0,30,6,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1264,7156,517.5,3,5,154,8,1,0,0,0,9,0,2,0,2,9,0,30.5,0,0,49,5,0,11,14,37,5,131,0,23,0,0,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,7422,318,0,3,102,4,9,1,0,0,4,0,0,0,1.5,2,2,13.5,0,6,29,1,0,6,8,41,1,64,0,13,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1328,7764,336.5,0,1,113,3,15,0,1,0,3,0,0,0,2,3,0,12.5,0,2,37,0,0,0,9,52,0,49,0,24,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1360,8068,334,2,2,85,2,0,4,0,0,5,0,0,0,2,7,0,25,0,5,21,7,0,6,9,44,2,57,0,25,0,0,18,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1388.5,8339,362.5,1,0,48,6,24,4,0,2,2,0,0,0,2,33,1,22.5,0,2,20,0,0,1,10,37,0,82,0,55,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1424,8676,331.5,1,3,50,11,17,4,0,0,0,0,0,0,3,20,0,24.5,0,1,30,3,0,1,16,27,0,76,0,30,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1456,8981,305,1,3,59,4,1,7,0,0,9,0,0,0,3,8,0,29,0,2,31,6,0,2,14,43,1,50,0,10,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,9285,300,0,4,41,22,5,6,0,0,1,0,0,0,0.5,41,2,52.5,0,9,15,5,0,4,11,14,6,40,0,17,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,9990,322.5,1,2,4,20,3,8,0,3,1,2,0,0,2,148,0,17.5,0,5,20,1,0,0,42,9,0,12,1,15,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,10789,353.5,3,6,6,40,1,1,0,0,9,2,1,0,9,59,2,140.5,0,3,21,0,0,1,32,2,5,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,11675,327.5,2,6,19,39,2,8,0,22,0,0,7,1,87.5,13,1,7,0,16,13,2,0,0,18,2,0,14,0,31,3,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0
1616,11970,368.5,6,2,21,57,5,4,2,25,1,0,14,2,109.5,14,0,0,0,8,15,4,0,0,19,10,2,21,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0
1648,12189,292,1,9,9,33,0,0,0,0,6,0,7,0,142,3,0,2,0,0,16,5,0,5,14,2,7,14,0,12,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,12390,422,3,6,14,28,0,2,0,0,9,0,1,0,282,2,2,9,0,7,8,4,0,3,4,5,7,9,0,10,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728,12523,323,0,2,18,15,1,0,1,4,1,0,2,3,174,0,0,3,0,11,4,2,0,1,7,1,0,26,0,35,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0
1760,12657,295.5,2,6,21,14,0,3,0,0,5,0,8,0,175.5,1,0,2,0,1,3,8,0,5,2,3,4,17,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1792,12791,291.5,0,1,31,18,2,3,0,1,0,0,1,0,180,0,0,6.5,0,0,1,2,0,2,0,6,3,20,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1824,12924,347,0,8,8,19,3,2,0,4,1,0,7,4,239,1,0,0,0,0,5,1,0,0,3,3,2,8,0,19,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0
1856,13058,335,1,1,24,14,0,0,0,0,5,0,4,0,229,1,2,1,0,3,3,8,0,2,0,5,1,9,0,13,0,2,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,13192,293.5,2,2,18,5,0,3,0,0,8,0,2,0,206,1,2,4.5,0,0,5,1,0,1,2,9,7,5,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,13325,289.5,0,0,13,3,1,1,2,5,2,0,4,1,183.5,0,0,4,0,1,2,2,0,0,0,8,0,22,0,21,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
