"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Juglans","Larix","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polygonaceae","Populus","Potamogetonaceae","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Sagittaria","Salix","Sparganium.type","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Ulmus","Unknown..monolete."
10,51,0,1,0,24,151,0,1,12,0,5,0,0,0,226,0,2,2,0,4,2,0,0,0,0,0,14,0,1,0,2,11,2,7,0,9,1,3,2,1,3,0,0,28,1,0,2,6
20,292,0,4,0,29,65,1,4,115,1,7,0,0,0,30,0,2,5,0,6,0,0,0,0,0,0,74,2,0,0,4,6,0,2,1,51,0,2,1,18,2,0,0,126,0,0,4,21
30,595,1,6,0,27,72,0,3,4,0,15,0,0,0,31,0,5,0,0,0,0,0,0,0,0,0,51,0,0,0,3,7,0,0,2,48,0,3,0,18,6,1,1,121,1,9,3,15
135,6044,0,10,0,10,24,0,1,17,0,11,0,0,0,21,5,17,5,0,13,4,1,1,0,0,1,331,1,0,0,4,6,2,4,0,85,0,3,4,11,8,0,0,80,0,6,4,19
145,6403,0,3,1,22,11,0,4,17,0,28,0,0,1,65,0,6,2,2,4,5,0,0,0,0,0,173,1,0,0,16,11,0,3,1,53,0,7,0,2,10,2,2,96,0,34,0,71
155,6700,0,28,0,12,20,0,3,20,0,27,0,0,0,14,6,27,19,0,1,7,0,0,0,0,0,527,2,0,1,24,2,0,0,0,121,0,4,1,3,8,0,0,59,0,4,28,46
165,6948,0,2,0,12,10,0,3,23,0,26,0,0,0,21,1,14,8,2,4,19,0,0,0,0,0,122,0,0,0,19,2,1,1,0,52,0,3,0,2,9,0,3,40,0,25,16,74
175,7157,0,33,0,12,7,0,4,16,0,18,0,0,0,22,4,29,5,0,4,19,0,0,0,0,0,425,0,0,0,11,5,0,1,0,97,0,1,0,3,6,0,2,53,0,22,6,50
185,7341,0,31,0,7,4,0,2,16,0,14,0,0,1,13,8,39,7,1,11,11,0,0,0,1,0,231,0,0,0,13,4,0,0,0,145,0,6,0,0,5,0,3,50,0,20,9,42
195,7512,0,19,0,6,2,0,2,23,0,23,0,0,0,8,7,35,3,0,8,9,0,0,0,0,0,332,1,0,1,10,4,0,0,0,111,0,2,1,1,7,0,3,54,0,32,13,74
215,7859,0,8,0,4,17,0,1,22,0,11,0,0,0,23,1,47,12,0,2,2,0,0,0,0,0,250,1,0,0,2,0,0,3,0,209,0,5,0,2,2,1,0,4,0,9,16,24
235,8242,0,0,0,2,1,0,0,3,0,5,0,0,0,15,0,4,1,0,0,3,0,0,0,0,0,62,0,1,0,1,0,0,0,0,40,0,1,0,0,0,0,1,1,0,0,3,6
240,8342,0,2,0,0,7,0,3,4,0,5,0,0,0,72,1,2,1,0,0,2,0,0,0,1,0,125,0,1,0,4,0,0,1,0,55,0,6,0,1,0,0,1,1,0,0,6,14
250,8544,4,0,0,5,2,0,2,6,0,0,0,0,1,24,0,10,0,0,0,0,81,0,0,0,0,85,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
260,8749,0,5,1,7,6,0,0,3,0,4,0,0,0,9,0,3,4,0,0,0,0,0,0,0,0,103,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,9
315,9809,0,7,0,1,2,0,1,11,0,40,0,0,0,27,4,2,2,1,9,1,1,0,0,0,0,1,13,0,0,0,0,0,1,0,187,0,6,0,2,1,0,4,0,0,21,53,4
325,9976,1,14,0,2,10,0,4,5,2,80,0,3,0,23,6,0,15,0,3,1,0,0,0,0,0,3,14,2,1,5,0,0,1,3,199,0,9,0,0,6,0,0,1,0,12,85,43
335,10134,0,10,0,0,8,0,0,19,2,49,0,1,0,22,8,0,14,1,1,2,2,0,0,0,0,1,16,1,0,1,1,0,3,0,192,0,11,0,0,3,1,1,2,0,14,55,58
345,10284,0,3,0,0,5,0,0,13,2,78,0,1,0,17,2,0,6,3,2,6,0,0,0,0,0,0,17,0,1,5,0,0,0,0,172,0,11,0,0,4,0,3,2,0,2,55,52
390,10842,0,12,0,1,5,0,5,15,1,71,1,2,0,15,4,2,7,0,7,1,0,4,0,0,0,1,11,1,0,1,1,0,3,0,222,0,5,0,1,3,0,1,1,0,10,74,93
400,10941,0,34,0,4,10,0,0,1,1,36,1,0,0,14,3,1,5,2,4,6,0,0,0,0,0,1,34,0,0,3,1,0,0,0,139,0,5,0,2,0,0,1,1,0,22,62,43
410,11031,0,10,0,0,4,0,0,6,4,44,4,0,0,26,5,1,7,4,9,5,3,1,0,1,0,0,37,0,1,5,4,1,2,0,225,1,6,0,0,1,0,2,0,0,5,67,7
420,11111,0,11,1,1,7,0,0,0,1,37,3,2,0,21,1,0,8,3,6,4,0,0,0,0,7,0,38,0,1,4,2,0,3,0,254,0,11,0,0,4,0,1,0,1,10,86,15
430,11182,0,12,0,1,2,0,1,4,1,46,4,3,0,29,2,0,4,6,5,4,0,0,1,2,0,0,34,0,4,9,0,0,0,0,177,0,14,0,0,5,0,3,1,0,7,69,7
440,11245,0,7,0,0,2,0,1,2,0,44,1,0,0,49,4,0,7,1,5,6,1,0,0,3,0,0,11,0,3,0,12,0,0,0,269,2,8,1,0,2,0,3,2,0,16,30,9
450,11301,0,8,1,1,1,0,1,9,0,51,0,0,0,49,2,0,6,3,5,2,1,0,1,3,0,0,7,1,1,8,7,0,0,0,200,0,7,2,2,2,0,4,0,0,13,38,17
460,11350,0,0,0,1,1,0,0,0,0,9,2,1,0,12,0,0,2,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,32,0,2,1,0,0,0,2,1,0,2,8,1
470,11393,1,19,0,2,5,0,0,3,0,45,1,0,1,19,2,0,7,3,8,10,1,0,0,7,3,0,17,3,3,2,4,0,1,0,174,0,11,0,0,1,1,2,0,1,7,54,10
480,11431,2,7,1,4,4,0,0,4,0,30,3,1,1,16,2,2,13,7,3,5,1,0,0,3,0,0,14,1,0,6,7,0,1,0,215,0,3,0,0,0,1,2,0,0,8,42,10
490,11464,0,9,0,4,0,0,2,0,1,36,2,1,0,42,0,3,5,0,8,2,1,0,1,6,0,0,12,0,0,0,10,1,0,0,171,0,20,2,0,1,0,10,1,0,3,19,2
500,11493,0,8,0,1,3,0,0,2,4,27,2,3,1,15,0,0,13,3,6,5,0,0,0,5,0,1,60,2,2,3,27,0,1,0,206,0,8,3,0,2,0,0,2,0,4,35,6
510,11519,0,3,0,3,0,0,1,0,0,14,0,1,0,12,1,0,0,0,1,0,0,0,2,0,0,0,8,0,0,1,7,0,0,0,107,0,17,0,0,0,0,0,1,0,2,19,1
520,11548,0,2,0,1,0,0,0,1,0,2,0,0,0,21,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,11,0,0,0,35,0,2,1,0,0,0,0,0,0,1,9,0
530,11586,0,1,0,1,1,0,1,0,0,19,0,2,1,64,1,1,1,0,0,0,2,0,2,8,0,0,7,13,5,11,20,0,0,3,65,0,0,0,0,0,0,0,2,2,4,9,14
550,11689,3,4,0,2,0,0,0,3,0,8,0,0,0,38,1,5,1,0,1,0,3,0,0,4,0,1,0,30,18,42,1,0,0,1,27,0,0,0,0,1,1,2,0,0,6,1,46
565,11788,5,2,1,4,0,0,1,0,0,1,0,0,0,35,0,1,1,0,1,0,0,0,0,1,0,1,0,81,45,74,0,0,1,0,22,0,0,0,0,0,0,0,0,23,0,1,10
570,11824,0,4,0,2,2,0,0,2,0,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,21,0,0,0,0,0,0,4,0,0,2,2,13
590,11987,27,4,2,1,1,0,1,0,1,3,0,0,0,20,0,2,3,2,7,1,13,0,0,3,0,0,2,88,104,94,1,0,1,0,26,0,0,0,1,3,1,0,1,15,2,10,12
600,12076,10,0,0,0,0,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,4,0,0,0,0,3,0,18,20,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
610,12171,2,0,0,0,0,0,0,0,0,1,0,0,0,38,0,1,0,0,1,0,1,0,0,0,0,0,0,16,0,7,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,19
630,12376,23,0,1,0,1,0,0,0,1,0,0,0,0,81,0,2,0,0,1,0,25,0,0,2,0,0,0,113,15,90,0,0,4,0,2,0,0,0,0,0,0,1,0,28,0,5,20
