"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Lamiaceae","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris","Equisetum","Huperzia.lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Pteridium","Woodsia","Sphagnum","Brasenia.schreberi","Drosera","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Typha","Typha.Sparganium.undiff.","Utricularia","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
0,-50,0,2,3,0,7,0,0,49,0,6,10,0,3,0,0,2,2,6,10,3,0,2,3,0,0,0,2,0,16,1,3,0,11,11,48,3,0,316,0,1,0,0,0,3,3,0,90,0,1,15,0,1,0,21,0,0,0,0,0,26,124,0,0,0,9,18,2,0,0,0,1,0,0,0,0,1,0,0,1,2,5,0,1,1,0,0,64,1,0,0,0,0,0,8,0,9,6,20,16,51,8
4,-34,0,1,0,2,4,0,0,54,0,6,4,0,3,0,2,1,2,6,13,6,2,6,2,0,0,1,0,0,37,1,6,2,33,3,58,0,0,242,0,3,0,0,0,8,11,0,95,1,1,19,1,0,1,27,0,0,0,0,0,26,149,1,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,3,4,6,0,3,8,0,0,32,0,7,3,1,0,0,4,0,10,3,27,25,65,17
8,-3,1,4,3,1,12,0,0,51,0,3,5,0,4,0,0,1,2,6,7,11,0,5,1,2,0,0,1,0,33,3,2,0,30,7,50,6,0,264,0,0,0,0,0,15,5,0,118,1,4,27,0,0,2,49,0,0,0,0,0,29,173,0,0,0,2,67,0,0,1,0,2,0,0,0,0,2,0,0,3,1,7,0,6,17,0,0,32,1,4,0,0,0,0,2,5,4,0,17,16,37,20
12,50,0,0,2,1,6,0,0,67,0,6,10,0,1,0,1,0,3,7,16,8,2,5,0,0,0,0,1,0,22,2,3,2,38,9,61,3,0,234,0,0,0,0,0,5,3,0,163,0,0,19,0,0,2,68,0,0,0,0,0,16,323,0,0,0,1,182,0,0,1,0,2,0,0,0,0,0,0,0,0,5,18,0,17,48,0,0,32,0,16,3,0,0,0,5,0,20,6,38,0,64,67
16,92,0,3,8,0,17,0,0,82,0,3,9,0,1,0,0,0,0,18,6,11,1,5,12,2,0,0,0,0,15,0,5,0,21,18,52,4,2,201,0,1,0,0,0,8,3,0,104,0,0,21,0,0,1,58,0,0,0,0,0,32,235,0,0,0,4,144,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,0,17,46,1,0,20,3,5,0,1,0,0,2,0,5,2,17,3,27,12
20,115,0,1,5,1,6,0,0,53,0,10,13,0,0,0,0,0,5,14,16,0,0,9,5,0,0,0,0,0,25,3,0,2,57,12,73,0,2,186,0,0,0,0,0,20,6,0,139,1,0,19,0,0,0,43,0,0,0,0,0,15,158,0,0,0,0,189,1,0,0,0,1,0,0,0,1,5,0,0,0,2,17,1,7,46,0,0,11,0,12,1,1,0,0,3,0,13,0,23,16,52,43
24,137,0,0,7,0,5,0,1,29,0,6,12,0,2,0,0,0,5,3,10,6,5,3,10,1,0,1,0,0,28,2,2,3,23,21,68,3,0,232,0,0,0,0,0,15,0,0,98,0,0,7,0,0,1,34,0,0,0,0,0,11,152,1,0,0,5,159,0,0,2,0,0,0,0,0,1,2,0,0,0,9,16,0,2,18,0,2,21,0,3,0,0,0,0,2,0,5,2,19,9,35,14
28,161,0,4,3,2,10,0,0,43,0,13,8,0,0,0,1,0,2,2,26,8,6,6,2,0,0,0,0,0,13,0,0,3,46,3,85,3,0,190,0,0,0,0,0,25,6,0,148,2,1,20,0,0,0,43,0,0,0,0,0,16,233,0,0,0,0,230,0,0,10,0,0,0,0,0,0,7,0,0,0,6,20,1,7,14,0,0,23,0,20,5,1,0,0,10,1,13,7,31,8,59,38
32,184,0,0,6,0,0,0,1,43,0,5,0,0,0,0,2,0,3,7,10,4,0,5,3,2,0,0,0,0,19,0,3,3,59,10,129,0,0,174,0,0,0,0,0,12,5,0,102,0,1,22,0,0,0,44,0,0,0,0,0,6,214,0,0,0,2,160,1,0,2,0,0,0,0,0,0,1,0,0,0,5,54,0,6,16,0,0,0,0,3,0,2,0,0,7,0,6,6,15,7,34,21
36,207,0,2,1,0,13,0,0,32,0,9,3,0,0,0,0,0,4,3,19,0,0,0,3,0,0,0,0,0,44,0,5,3,57,3,81,0,0,208,0,0,0,0,0,16,6,0,101,0,0,13,2,0,0,43,0,0,0,0,0,6,158,0,0,0,3,275,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,17,0,0,3,0,35,6,1,0,0,12,0,6,3,21,13,43,37
