"sample.depths","sample.ages","upland.sum","Abies","Alnus.undiff.","Artemisia","Cyperaceae","Ericaceae","Fraxinus.undiff.","Larix","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Betulaceae.undiff.","Myrica","Pinus.strobus","Betula","Betula.undiff.","Coniferophyta.undiff.","Picea.mariana","Alnus.viridis.subsp..crispa","Cupressaceae","Pinus.banksiana.P..resinosa","Picea.glauca","Populus","Picea.undiff.","Fraxinus.nigra","Platanus","Salix","Ambrosia","Symphoricarpos.albus","Ostrya.Carpinus","Thalictrum","Acer.saccharum","Corylus","Tsuga","Amaranthaceae","Poaceae","Fraxinus.pennsylvanica","Acer.rubrum","Acer.saccharinum","Rubus.chamaemorus","Epilobium","Fabaceae","Caryophyllaceae","Shepherdia.canadensis"
868,4418,826,36,2,2,4,2,2,4,28,4,2,2,4,22,2,18,22,126,26,502,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,5130,792,32,2,0,0,0,0,4,24,4,0,0,4,26,0,16,42,136,20,442,10,2,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,5627,670,28,0,2,2,0,0,4,8,2,0,2,4,34,0,6,50,142,16,0,4,2,4,0,2,354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,5734,642,20,4,2,4,0,0,0,10,0,0,2,0,48,2,4,46,206,8,234,28,0,2,12,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,5805,670,24,2,0,2,0,0,2,20,0,0,4,2,28,2,12,38,202,14,0,40,0,8,0,2,262,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
910,5933,852,50,6,2,2,0,0,0,18,0,2,0,6,40,0,14,38,172,20,0,20,2,6,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,6065,662,30,2,0,4,0,0,0,8,0,2,0,8,64,4,26,26,110,10,0,20,0,2,0,8,326,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0
918,6285,1036,76,4,2,4,0,4,0,10,0,0,0,4,46,0,30,44,164,16,538,12,0,4,60,2,0,0,0,0,6,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0
924,6550,886,28,8,0,6,0,0,0,6,0,0,4,2,68,2,4,98,308,10,270,36,6,2,14,4,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,6726,940,56,6,2,8,0,0,0,8,2,0,4,0,78,2,12,82,252,18,0,32,6,6,0,2,358,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
933,6946,724,60,6,2,2,0,4,0,22,0,0,4,2,32,0,22,74,236,18,172,18,0,2,32,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,2,4,2,0,0,0,0
934,6990,626,40,4,4,6,0,0,0,16,2,0,0,0,34,2,10,58,232,18,0,36,10,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
938,7166,958,110,10,0,2,0,0,0,18,2,2,0,4,76,2,22,130,368,14,90,40,0,4,44,6,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0
940,7254,828,58,26,4,2,0,0,0,22,4,0,4,2,60,0,18,120,298,26,0,64,2,0,0,6,106,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
943,7386,822,64,18,4,10,0,0,0,16,2,0,0,0,52,0,18,118,256,26,46,114,14,10,36,6,0,0,0,6,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
945,7474,788,58,42,4,4,0,0,0,22,4,0,0,2,102,2,28,52,172,24,0,172,2,6,0,2,76,0,0,2,2,4,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0
948,7607,584,28,58,0,0,2,0,0,26,0,6,0,4,38,0,12,24,84,24,46,160,0,8,36,4,0,0,0,4,0,2,8,0,0,0,0,2,8,0,0,0,0,0,0,0,0
953,NA,550,14,84,0,26,4,0,0,34,0,2,0,0,32,0,14,6,22,12,0,168,10,12,0,14,68,2,0,12,0,2,8,0,0,0,0,2,0,0,0,0,0,2,0,0,0
958,NA,626,20,34,6,18,0,2,0,80,0,0,2,2,36,0,18,22,78,26,30,102,8,6,94,2,0,2,0,2,0,12,8,0,0,4,2,2,0,0,0,0,0,0,0,0,8
963,NA,598,12,20,10,18,0,0,2,44,6,8,2,4,60,0,6,22,144,16,0,124,6,2,0,2,44,0,0,16,4,8,12,0,0,0,2,0,0,0,0,0,0,0,0,0,4
