"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Plantago","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Alnus.viridis.type","Ostrya.Carpinus","Asteraceae.subf..Asteroideae.undiff.","Taxus","Tilia","Fraxinus.americana.type","Juniperus.communis.Thuja.occidentalis.type","Juglans.cinerea","Polygonaceae","Potentilla.palustris.type","Viburnum.nudum","Nemopanthus.mucronatus","Caryophyllaceae","Caprifoliaceae.undiff.","Thalictrum","Populus.balsamifera.type","Acer.saccharinum","Rhamnus.alnifolia.R..frangula","Viburnum.edule","Acer.negundo","Prunus.virginiana","Viburnum.alnifolium","Ranunculaceae.undiff.","Shepherdia.canadensis","Sambucus","Fabaceae","Apiaceae","Urtica.type","Prunus.pensylvanica","Onagraceae.undiff.","Cornus","Elaeagnus.commutata","Plantaginaceae.undiff.","Saxifraga.stellaris.type","Asteraceae.subf..Cichorioideae"
5,136,768,2,1,3,27,14,1,333,15,3,13,4,2,3,2,48,47,5,14,4,1,2,15,1,18,1,12,12,1,1,3,7,12,1,96,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,682,518,1,1,0,14,2,1,195,13,0,19,3,1,1,1,28,22,3,10,1,1,0,1,0,6,0,16,7,1,1,2,3,3,2,102,38,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1363,642,1,3,3,9,3,1,252,7,0,23,3,2,3,1,37,27,5,19,2,7,2,2,0,5,0,15,7,4,0,0,4,8,2,103,55,16,6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2045,705,0,0,2,8,0,1,308,4,0,31,2,1,2,1,13,68,0,25,0,7,1,7,0,6,0,7,15,0,0,0,2,36,3,80,53,7,2,0,0,0,2,1,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2649,636,4,2,0,16,0,0,318,5,0,29,2,2,3,0,14,43,0,18,0,4,0,4,0,4,0,6,8,0,1,0,3,5,0,98,40,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2941,713,1,4,0,10,1,1,293,11,0,45,6,1,1,4,12,73,2,13,0,5,1,6,0,3,0,15,14,4,1,1,2,11,2,87,65,10,4,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3234,569,1,3,1,3,0,3,250,3,1,31,5,1,0,0,11,43,1,9,0,4,0,0,1,3,0,9,16,0,0,1,2,1,3,106,44,3,6,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3526,706,1,2,0,11,3,1,293,8,0,38,7,1,0,0,1,82,1,16,0,8,0,0,1,0,0,5,13,2,1,1,0,1,4,139,41,5,8,4,0,2,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3819,643,4,5,0,5,1,3,223,6,0,21,1,5,0,0,6,166,1,20,0,15,0,1,1,1,0,2,6,0,1,1,2,3,0,109,14,5,1,0,1,5,3,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,4112,655,4,2,0,8,2,2,307,5,0,28,8,4,1,0,3,54,1,28,1,6,0,0,0,2,0,5,9,0,0,1,4,4,0,144,11,1,3,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4404,921,2,6,1,25,0,0,418,2,0,27,5,1,0,2,11,60,6,38,0,6,0,0,0,2,0,11,16,0,0,1,3,0,3,228,21,5,15,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4697,621,1,3,0,17,0,0,274,2,0,22,7,4,1,0,3,32,1,23,0,7,1,0,0,1,0,3,4,0,0,0,2,6,1,170,15,1,3,1,0,9,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4975,426,2,0,0,11,0,0,162,0,0,14,3,3,0,0,6,27,1,11,1,5,0,0,0,2,0,7,4,0,0,2,4,24,0,100,24,1,6,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5194,639,0,5,2,18,0,0,199,3,0,15,3,1,3,0,10,38,2,15,0,6,0,0,0,2,0,2,8,0,0,0,2,15,2,158,113,1,1,0,0,7,1,1,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5414,486,2,1,0,4,1,3,165,4,0,9,3,2,0,0,3,27,0,12,0,8,3,0,1,3,0,2,1,0,0,1,1,0,0,132,92,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,5634,649,0,0,2,13,1,2,220,0,0,11,5,1,3,0,7,52,0,17,1,6,0,0,0,1,0,1,5,0,0,1,1,15,5,166,100,1,2,1,0,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,5845,578,0,2,1,8,0,1,162,2,1,7,2,3,2,0,6,56,0,15,0,2,0,0,0,1,0,2,7,0,0,0,2,12,0,163,107,1,7,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,6073,443,0,1,0,13,0,0,99,1,1,5,7,1,0,0,4,28,1,13,0,2,0,0,0,0,0,3,3,1,0,0,1,9,3,186,55,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
450,6293,530,0,0,0,8,1,0,130,1,0,10,8,1,0,0,1,35,2,19,0,6,0,0,0,2,0,1,6,1,1,0,3,5,4,190,81,1,2,0,0,4,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,6512,554,0,0,0,10,0,0,108,1,0,3,2,0,1,0,11,31,0,13,0,1,0,0,1,2,0,4,4,1,0,0,2,16,1,246,79,1,4,1,2,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,6711,593,1,0,0,6,0,0,136,1,0,1,3,1,0,0,11,38,1,12,0,3,0,0,0,0,0,4,6,0,0,0,1,9,0,295,53,1,3,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,6926,689,1,1,0,8,1,1,149,1,0,9,3,2,2,2,11,37,4,28,0,10,0,0,0,0,0,5,8,0,0,4,4,16,10,319,34,3,3,2,1,6,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,7133,718,1,0,0,4,3,1,119,4,0,3,8,2,1,0,14,27,0,33,0,9,2,0,0,1,0,4,7,0,0,2,3,23,0,410,23,3,2,2,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,7340,826,0,0,1,10,0,2,85,2,0,1,8,3,2,0,19,42,6,32,0,8,0,3,2,2,0,12,9,1,0,1,1,23,10,503,13,1,4,3,0,14,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,7546,581,0,2,0,4,2,0,64,2,0,1,6,1,3,0,13,43,3,17,0,6,0,1,0,1,0,6,3,1,0,2,5,8,2,364,7,1,2,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,7753,580,0,0,0,2,0,0,82,2,1,1,5,1,3,1,15,30,3,24,0,8,0,0,0,0,0,7,1,1,0,3,0,13,5,354,7,1,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,7960,578,1,0,0,10,1,1,88,3,0,5,1,0,1,0,23,41,2,19,2,5,0,1,0,0,0,6,3,0,0,2,6,25,0,307,5,2,9,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,8167,475,0,0,2,3,0,1,107,2,0,0,0,2,2,0,12,40,0,13,1,2,0,0,1,2,0,10,1,0,0,0,5,23,2,209,3,3,21,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,8373,458,0,0,3,2,1,1,98,0,0,2,2,1,0,0,13,24,5,12,0,2,0,2,1,0,0,9,1,0,0,4,1,21,0,226,1,2,19,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,8580,1018,0,0,2,2,2,1,241,4,0,0,9,2,4,1,38,56,7,21,0,4,0,1,1,0,0,51,3,1,0,0,14,134,4,368,2,2,26,2,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
740,8704,595,0,0,0,2,0,1,129,0,0,1,5,0,4,0,20,33,2,21,1,4,0,2,1,0,0,23,3,0,0,0,7,216,1,94,0,4,11,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,8913,573,1,0,0,8,2,1,135,2,1,0,6,3,4,0,15,35,6,25,1,9,0,6,0,1,0,18,1,1,0,0,7,163,0,88,1,1,17,6,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
760,9247,531,0,0,1,3,3,0,119,3,0,0,6,1,0,2,12,45,4,19,2,5,0,0,1,0,0,11,1,0,0,1,14,149,8,68,0,1,47,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
775,9749,741,0,0,2,2,2,1,223,1,0,0,8,0,4,0,28,37,6,20,4,5,1,7,0,4,0,17,1,1,0,3,9,196,3,71,0,6,69,1,3,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,9917,681,1,0,0,2,3,2,199,3,0,3,7,0,5,3,54,7,54,29,7,4,1,62,0,5,0,5,2,0,0,3,85,29,1,19,1,16,53,2,4,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
785,10084,863,1,0,2,0,0,9,185,9,1,1,6,2,1,1,131,12,56,50,6,12,3,84,1,9,0,3,3,0,0,4,148,26,0,40,4,14,17,0,8,1,0,0,4,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
790,10251,909,0,1,0,0,2,8,158,0,0,0,10,4,0,1,48,8,201,40,22,12,0,168,1,7,0,3,3,3,0,3,111,37,0,17,1,4,10,7,9,1,0,1,2,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
795,10418,780,0,0,1,1,2,10,139,18,1,0,4,2,1,0,20,7,181,33,12,10,2,110,0,4,0,2,5,0,0,3,114,28,1,28,1,4,9,1,12,0,0,0,1,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
800,10579,753,0,0,0,7,0,10,151,3,0,0,8,1,0,0,5,5,173,42,7,7,0,156,0,2,0,1,2,0,0,2,100,29,0,15,1,1,5,8,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
805,10739,816,0,0,0,2,1,6,133,11,1,1,7,0,0,0,8,5,215,38,9,13,0,140,0,8,0,4,2,1,1,0,99,27,0,40,6,1,14,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0
810,10900,535,0,0,0,0,4,5,93,8,0,0,3,2,1,0,43,6,71,44,6,9,0,53,0,8,0,2,1,4,0,1,94,19,0,25,3,8,7,0,6,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
815,NA,584,0,0,0,2,1,5,167,1,0,0,5,2,4,2,18,21,21,23,1,4,1,5,1,2,0,12,3,0,0,1,28,107,0,64,1,6,68,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,NA,997,0,1,0,12,2,27,303,83,8,3,9,6,1,4,23,21,68,70,33,12,1,9,3,16,0,3,13,1,1,2,1,120,3,53,8,5,37,0,5,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,1,0,0,0
830,NA,879,0,0,0,14,6,36,130,71,2,1,6,1,0,1,27,36,28,54,40,20,1,4,1,5,0,2,0,0,0,1,2,91,2,201,11,6,46,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,20,0,0,0,0,0,0,0,0,1,0,0
840,NA,591,0,0,2,3,3,15,115,54,0,0,3,1,1,0,48,32,6,41,48,12,0,4,3,9,0,2,1,1,1,0,0,65,0,52,3,14,22,0,5,1,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,2,0,0,0,1,0
850,NA,623,0,0,1,8,4,11,159,55,3,2,5,4,1,0,8,15,42,49,30,8,0,16,2,11,0,1,0,1,0,1,2,77,0,27,1,1,59,1,4,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,1
855,NA,679,0,0,0,15,0,13,169,30,0,0,4,8,0,1,19,13,56,65,21,16,0,16,2,15,0,0,0,1,0,1,0,122,0,31,3,1,34,2,0,2,1,0,3,0,0,1,0,0,6,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
859,NA,52,0,0,0,0,0,1,17,5,0,0,0,0,0,0,9,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
