"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Lamiaceae","Malvaceae","Onagraceae","Plantago","Poaceae","Polygonum"
229,939,348,0,0,0,1,21,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,3,221,0,86,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
239,1172,341,0,0,1,2,29,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,1,3,171,0,123,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
249,1406,320,0,1,0,3,23,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,2,134,0,138,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,0,2,0
259,1639,316,0,0,0,2,19,0,0,0,0,0,5,0,0,0,0,3,9,0,0,0,0,0,1,135,0,132,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
269,1873,333,0,1,1,2,20,0,0,0,0,2,5,0,0,0,0,1,3,0,0,0,1,0,1,117,0,169,0,0,0,1,0,1,0,0,1,0,1,4,0,0,0,0,2,0
279,2107,315,0,0,0,4,27,0,0,0,0,4,10,0,0,0,0,1,5,0,0,0,0,0,1,120,0,135,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,1,0,0
299,2574,346,0,2,2,3,28,0,0,0,0,0,7,0,0,0,0,1,6,1,0,0,2,0,3,122,0,158,0,1,0,1,0,4,0,0,1,0,2,0,0,0,0,0,2,0
309,2807,312,0,0,0,7,22,1,0,0,0,1,1,0,0,1,0,0,8,0,0,0,1,3,0,121,0,134,0,0,3,0,0,3,0,0,1,0,4,0,0,0,0,0,1,0
319,3041,341,0,0,0,4,23,0,0,0,0,6,3,0,1,1,0,0,3,0,0,0,3,0,0,117,0,167,0,0,2,0,0,1,0,0,2,0,2,4,0,0,0,0,2,0
329,3275,335,0,0,0,5,27,0,0,0,0,3,4,0,0,1,0,1,7,0,0,0,2,1,2,133,0,141,0,0,1,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0
339,3508,319,0,1,1,2,27,1,0,0,0,2,2,0,0,0,0,1,4,0,0,0,2,1,1,112,0,144,0,0,3,1,0,2,0,0,0,0,3,2,0,0,0,0,7,0
