"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Picea","Quercus","Salix","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Myrica","Pinus","Populus","Poaceae","Fraxinus.nigra","Corylus","Larix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ericaceae","Tilia","Iva.xanthifolia","Ostrya.Carpinus","Rumex","Sarcobatus.vermiculatus","Carya","Acer.saccharum","Juglans.nigra","Thalictrum","Juglans.cinerea","Humulus","Iva.annua","Xanthium","Shepherdia.canadensis","Ephedra.nevadensis.type"
1,-23,302,5,1,3,90,5,1,1,2,26,6,1,1,24,14,1,1,113,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,301,3,0,5,87,2,4,1,1,31,6,1,2,29,13,0,1,98,0,10,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,319,303,5,0,6,90,0,3,3,2,29,6,2,2,27,4,0,0,108,0,4,2,1,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,838,305,2,0,4,117,0,6,0,1,21,9,1,5,20,6,1,0,98,2,5,0,0,1,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
40,1356,300,6,0,7,115,1,0,1,0,36,8,0,0,35,4,0,3,78,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50,1875,300,3,0,2,114,0,3,0,0,32,2,0,2,20,2,0,1,108,1,2,0,1,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
60,2393,302,5,0,4,129,1,3,1,2,19,4,1,1,22,2,0,1,98,0,1,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2912,302,6,0,2,101,0,1,1,1,22,4,2,0,18,2,0,0,132,0,1,1,0,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
80,3430,302,6,0,3,110,0,1,0,2,18,7,1,2,27,1,0,0,112,0,0,2,1,3,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0
90,3949,299,3,0,5,108,0,0,1,0,17,4,0,0,26,4,0,0,124,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0
100,4467,300,4,0,3,114,1,0,1,0,16,4,1,2,23,4,0,0,123,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4960,300,6,0,3,93,1,1,0,0,7,2,0,4,11,4,0,0,163,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,5428,300,2,0,5,75,2,0,1,0,6,6,0,3,12,7,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,5895,303,2,0,3,85,1,1,0,1,5,7,1,3,18,2,0,1,170,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6830,301,0,0,0,95,0,0,1,1,4,3,0,4,5,3,0,1,181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
155,7064,300,1,0,2,96,2,0,0,0,5,7,1,0,28,3,0,1,151,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
160,7297,299,3,0,2,89,2,0,2,3,6,7,0,0,25,7,1,2,141,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
165,7531,302,3,0,7,82,4,0,0,2,10,9,1,2,39,8,0,2,125,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
170,7765,301,4,0,6,93,5,0,1,1,14,6,1,1,46,12,0,1,99,1,1,1,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0
175,7998,303,3,0,2,106,0,0,2,3,25,4,2,1,62,9,0,0,76,0,1,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
180,8232,300,4,0,4,93,5,1,0,0,28,6,2,4,39,5,0,0,103,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
185,8466,302,2,0,4,124,0,0,0,2,35,4,1,0,49,5,0,3,66,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,8699,300,3,0,4,74,6,1,4,0,47,5,0,4,53,6,0,2,83,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
195,8933,301,0,0,5,39,3,4,2,1,43,2,1,1,41,9,0,2,135,2,5,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
200,9167,301,0,0,1,37,1,3,1,1,62,6,1,3,9,4,0,2,163,0,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,9205,300,0,0,8,40,4,0,3,0,76,14,2,3,6,12,0,2,120,0,1,0,0,3,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
210,9244,302,1,0,13,32,3,0,3,2,84,9,2,6,1,7,0,0,117,3,3,2,0,4,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
215,9283,301,1,0,16,27,11,2,11,1,51,16,0,8,1,7,0,0,129,1,1,1,0,3,0,3,0,1,0,7,0,0,1,1,0,0,1,0,0,0,0,0
220,9321,300,2,0,8,18,5,1,10,0,69,18,3,12,4,12,0,0,127,0,4,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
225,9360,305,0,0,15,20,2,1,20,5,42,20,3,22,6,6,1,0,106,1,9,4,0,2,0,3,0,0,0,9,0,1,4,1,0,0,1,0,0,0,0,1
230,9399,303,0,0,25,20,3,0,4,3,90,22,1,11,0,6,0,0,99,1,5,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0
235,9437,303,1,0,23,6,5,0,14,3,86,17,1,5,0,15,1,0,106,2,0,2,0,1,0,0,0,1,0,10,0,0,3,1,0,0,0,0,0,0,0,0
240,9476,300,0,0,23,12,7,0,14,0,62,47,2,9,1,8,0,0,95,3,1,0,0,1,0,3,0,0,0,7,0,1,2,1,0,0,1,0,0,0,0,0
245,NA,300,0,0,14,4,9,7,46,0,45,16,5,27,1,5,0,0,89,19,2,0,0,0,0,0,0,0,0,7,0,0,2,1,0,0,1,0,0,0,0,0
250,NA,305,0,0,22,12,4,1,34,5,14,22,6,23,1,11,0,0,101,28,3,5,0,0,0,2,0,0,0,6,0,1,0,0,0,0,3,0,0,0,1,0
