"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.acetosa.type","Tsuga.canadensis","Picea.undiff.","Acer.spicatum","Fraxinus.pennsylvanica.type","Carya.ovata","Saxifraga.oppositifolia.type","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Taxus","Corylus.cornuta","Salix","Ilex.Nemopanthus","Rumex.type.undiff.","Acer.pensylvanicum","Juglans.cinerea","Amaranthaceae","Brassicaceae","Caryophyllaceae","Potentilla.palustris.type","Morus.rubra.type","Thalictrum","Liliaceae","Tilia","Viburnum.nudum","Prunus.undiff.","Viburnum.lentago","Galium","Populus.balsamifera.type","Fabaceae","Rhamnus.cathartica","Viburnum.alnifolium","Saxifragaceae.undiff.","Shepherdia.canadensis","Lonicera.involucrata","Plantaginaceae.undiff.","Prunus.virginiana","Platanus.occidentalis","Viburnum.edule"
50,881,577,1,3,3,3,199,4,3,21,5,9,3,2,67,46,2,12,1,2,1,1,1,15,3,1,2,7,1,126,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1321,611,3,15,0,1,205,6,3,21,1,7,0,4,95,23,0,15,1,6,0,0,0,13,4,0,1,6,0,132,0,30,11,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1761,649,0,13,3,0,261,10,2,9,7,11,2,0,57,21,1,6,0,4,0,1,0,28,8,0,0,3,0,174,0,18,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2201,354,1,7,1,0,114,10,1,17,2,4,2,1,24,21,0,12,0,2,0,0,0,7,6,0,0,2,0,104,0,10,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2642,498,3,9,0,2,220,11,2,21,9,4,2,1,25,19,1,11,0,0,0,1,0,9,3,0,0,6,3,121,0,8,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3082,819,1,13,2,0,305,43,8,34,6,1,0,0,24,73,0,13,0,10,0,1,1,9,5,0,0,5,0,225,0,26,6,0,0,1,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3258,517,2,5,1,0,197,11,2,26,7,3,5,0,26,22,0,16,0,4,0,0,0,4,10,0,1,0,0,154,0,12,2,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3522,451,0,9,0,2,169,7,3,17,3,2,2,3,18,18,0,5,0,2,0,0,2,11,4,1,0,0,3,146,0,13,3,1,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3962,450,0,4,0,1,140,7,0,7,1,0,1,0,6,11,0,7,0,2,0,1,0,3,2,0,0,9,2,234,0,5,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4403,567,4,12,1,0,212,0,0,23,4,2,3,0,7,12,0,14,0,4,0,1,0,6,9,1,0,4,2,225,0,11,2,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
