"sample.depths","sample.ages","Abies","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Indeterminable","Iva.annua","Juglans.cinerea.type","Juglans.nigra.type","Larix","Liquidambar","Lycopodiaceae","Morus","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Other.herbs","Other.trees.and.shrubs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..Paleozoic.","Unknown..trilete.","Urtica"
28,NA,0,0,9,3,0,6,1,3,0,5,1,1,5,15,0,0,37,3,0,21,0,4,0,2,24,0,7,0,1,1,0,1,0,16,0,0,0,4,28,2,1,0,1,0,7,5,3,7,2,1,0,146,0,0,1,1,1,0,27,0,0,0,0,1,29,10,0,0,1
37,11311,0,1,6,0,0,3,0,1,0,0,7,0,0,7,0,0,0,1,0,14,0,1,0,1,29,0,8,0,4,0,0,0,0,0,0,0,1,0,93,0,0,1,2,6,23,0,2,1,2,4,0,148,0,0,0,0,1,0,8,0,2,0,0,0,49,0,0,0,1
47,11397,2,1,2,0,0,10,0,1,1,0,5,0,0,4,0,1,0,2,0,2,0,1,0,0,15,1,3,0,6,0,1,0,0,0,0,0,0,0,22,0,0,7,43,170,205,0,5,3,1,3,1,39,0,0,0,0,1,0,2,0,0,2,0,1,37,2,0,0,0
62,11572,4,0,1,0,0,15,0,1,0,0,4,0,0,4,0,0,0,1,0,13,0,1,1,0,27,0,0,0,1,0,11,0,0,0,0,0,0,1,11,0,0,14,44,71,151,0,5,22,1,1,0,45,0,1,0,0,3,0,17,0,1,1,0,2,8,0,0,0,0
70,11688,6,0,2,1,0,2,1,0,2,2,5,0,12,4,0,0,0,2,0,25,2,0,0,2,16,0,1,0,0,0,7,0,0,0,0,4,5,1,8,1,0,43,22,21,114,2,9,1,0,0,0,28,0,1,0,0,6,0,2,0,0,5,3,0,20,0,0,0,0
78,11820,8,0,4,0,0,6,1,2,1,0,11,1,15,2,0,1,0,4,0,14,0,0,0,1,15,0,2,0,2,0,7,0,0,0,0,2,9,0,15,0,0,58,31,9,86,1,1,0,4,3,0,37,1,0,2,0,4,0,9,0,0,3,0,0,13,2,0,1,0
82,11892,9,0,1,0,0,5,0,4,2,2,4,0,8,2,0,0,0,4,0,9,0,0,0,0,11,0,1,0,1,0,11,0,0,0,0,1,16,0,10,2,0,81,21,9,82,0,8,1,1,2,0,25,0,0,0,0,2,0,4,0,0,2,1,0,16,0,0,0,0
86,11968,10,0,0,0,1,3,0,2,2,2,5,0,8,4,0,0,0,3,0,16,0,0,0,0,10,0,0,0,2,0,8,0,0,0,0,0,15,0,13,0,1,89,33,7,66,0,5,0,0,0,1,30,0,0,0,0,1,0,3,0,1,2,0,0,17,0,0,0,0
90,12048,6,0,1,0,0,4,0,1,2,1,7,0,5,4,0,0,0,5,0,7,0,0,0,0,18,1,4,0,0,0,6,0,0,0,0,2,13,0,11,0,0,67,26,11,66,1,12,0,8,1,0,35,0,0,1,0,3,0,10,0,0,5,1,0,19,0,0,0,0
94,12132,10,0,0,0,0,6,0,5,9,5,9,0,1,5,0,0,0,7,0,26,0,0,1,2,16,1,4,0,2,0,12,0,0,0,0,1,19,0,24,1,0,132,17,1,48,0,10,0,3,3,1,58,0,0,0,0,5,0,8,2,1,1,0,2,13,2,0,0,0
