"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Larix","Lycopodium.annotinum","Myrica","Picea","Pinus","Poaceae","Populus","Pteridium.type","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Selaginella","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown"
1,46,0,68,0,2,0,1,0,92,0,1,34,0,0,3,0,0,2,10,0,0,0,3,0,127,3,0,0,0,0,0,0,0,0,14,0,0,0,0
10,226,0,73,0,2,1,1,0,69,0,0,54,1,0,2,0,0,1,3,0,0,2,3,0,113,5,3,0,0,1,0,0,0,0,26,0,0,0,0
20,426,0,61,0,2,0,2,1,82,0,0,42,0,0,7,0,0,1,4,0,0,1,4,0,116,9,8,0,0,0,0,0,0,0,21,0,0,0,0
30,626,0,82,0,0,0,0,0,70,0,0,31,1,0,3,0,0,0,4,0,0,1,7,0,131,13,6,0,0,1,0,2,0,0,11,0,0,0,0
40,827,0,60,0,1,0,1,1,69,0,0,23,0,0,3,0,0,0,9,0,0,7,3,0,158,6,2,0,0,0,0,2,0,0,3,0,0,0,0
50,1027,0,56,0,1,0,1,0,99,0,0,31,0,0,2,0,0,0,9,0,0,0,1,0,114,3,6,0,1,0,0,0,0,0,6,0,0,0,0
60,1227,0,58,0,0,0,0,1,89,0,0,22,1,0,6,0,0,1,0,0,0,2,7,0,150,3,5,0,0,0,0,2,0,0,9,0,0,0,0
70,1427,0,63,0,0,0,0,0,65,0,1,36,0,0,2,0,0,0,0,0,0,4,6,0,137,7,1,0,0,1,0,0,0,0,5,0,0,0,0
80,1627,0,54,0,0,0,1,1,56,0,0,16,0,0,2,0,0,0,0,0,0,3,3,0,165,3,6,0,0,0,0,0,0,0,6,0,0,0,1
90,1828,1,45,0,1,0,2,0,61,0,0,22,0,0,3,0,0,1,0,0,0,1,4,0,164,5,2,0,0,0,0,0,0,0,6,0,0,0,2
100,2028,0,46,0,0,0,1,0,64,0,0,17,0,0,3,0,0,2,1,0,0,1,5,0,157,3,3,0,0,0,0,0,0,0,1,0,1,0,0
110,2258,0,60,0,0,0,0,0,52,0,0,12,0,0,0,1,0,2,0,0,0,2,4,0,171,5,2,0,0,0,0,0,0,0,3,0,0,0,0
120,2577,0,99,0,0,0,1,0,82,0,0,10,0,0,8,1,0,0,0,0,0,1,1,0,134,3,3,0,0,1,0,1,0,0,0,0,0,0,0
130,2895,1,77,0,0,0,1,0,53,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,160,0,2,0,0,0,0,0,0,0,0,0,0,0,0
140,3214,0,82,1,0,0,0,0,74,0,0,8,0,1,3,0,1,0,0,0,0,1,3,0,163,2,2,0,0,0,0,0,0,0,1,1,0,0,0
150,3533,0,93,0,0,0,1,0,72,0,0,2,0,0,0,0,0,2,0,0,0,1,2,0,155,1,2,0,0,0,0,0,0,0,1,0,0,0,0
160,3852,1,114,1,0,0,2,0,40,0,0,7,2,0,3,0,0,2,0,0,0,1,1,0,166,0,7,0,0,0,0,0,0,0,1,0,0,0,0
170,4171,0,98,0,0,0,0,0,45,0,0,1,0,0,0,0,0,2,0,0,1,4,3,0,153,5,0,0,0,0,0,1,0,0,1,0,0,0,0
180,4489,1,127,0,0,0,0,0,52,0,0,2,0,1,0,0,0,2,0,0,0,3,4,0,153,4,2,0,0,0,0,0,0,0,1,0,0,0,0
190,4808,1,137,0,0,0,2,0,113,0,0,2,6,0,2,0,0,6,0,0,0,2,8,0,95,4,3,0,0,0,0,0,0,0,0,0,0,0,0
200,5127,0,165,0,0,0,0,1,101,0,0,0,3,0,3,0,0,1,0,0,0,9,6,0,43,7,9,0,0,1,0,0,0,0,1,0,0,0,0
210,5434,0,134,0,0,0,4,0,130,0,0,4,2,0,2,0,0,4,0,0,0,0,5,0,30,1,0,0,0,0,0,1,0,0,1,0,0,0,0
220,5707,0,186,0,0,0,0,0,113,0,0,3,1,0,5,0,0,1,0,0,0,0,8,0,19,2,0,0,0,0,0,0,0,0,1,0,0,0,0
230,5980,0,232,0,0,0,1,0,39,0,0,3,1,1,1,0,0,2,0,0,0,1,12,0,14,3,3,0,0,0,0,1,0,0,0,0,0,0,1
240,6252,1,238,0,0,0,0,0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0
250,6525,0,195,0,0,0,0,0,97,0,1,7,0,0,0,0,0,1,0,0,0,0,8,0,7,5,0,0,0,1,0,2,0,0,0,0,0,0,1
260,6798,1,94,0,0,0,1,0,91,0,1,56,0,0,3,0,6,2,0,0,0,0,11,0,10,13,24,1,0,1,0,14,0,0,1,0,0,0,0
265,NA,0,47,2,2,0,2,0,54,1,2,27,0,0,4,0,0,3,0,0,0,0,0,0,12,28,73,2,0,1,0,15,0,2,5,0,0,0,1
270,NA,0,22,0,0,0,3,3,30,0,0,31,12,0,12,0,0,13,0,0,0,0,60,0,9,9,206,1,0,0,1,4,0,0,32,0,0,0,4
275,NA,0,11,0,5,0,4,3,25,0,0,30,42,0,17,0,0,8,0,1,1,0,62,1,27,39,167,1,0,0,0,2,0,0,19,0,0,0,5
280,NA,0,59,1,4,0,9,4,63,0,0,25,41,0,8,0,0,14,0,0,0,0,108,0,37,43,41,0,0,2,0,3,1,0,11,0,0,1,4
290,NA,0,47,1,1,0,8,2,81,0,0,21,15,0,8,0,1,11,0,0,0,1,39,1,47,73,21,0,1,2,0,6,0,0,11,0,0,0,2
