"sample.depths","sample.ages","Abies","Betula","Carya","Fagus","Ostrya.Carpinus","Picea","Quercus","Tilia","Tsuga","Ulmus","Alnus","Pinus","Poaceae","Acer.saccharum","Cyperaceae","Larix","Salix","Iva.annua","Fraxinus.nigra","Artemisia","Ambrosia","Fraxinus.americana.type","Amaranthaceae","Cupressaceae","Juglans.cinerea","Fraxinus.undiff.","Juglans.nigra","Corylus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ericaceae","Shepherdia.canadensis","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Populus"
1,564,0.00497512437810945,0.0646766169154229,0.0099502487562189,0.0348258706467662,0.0248756218905473,0.0248756218905473,0.0845771144278607,0.00497512437810945,0.0696517412935323,0.0348258706467662,0.0099502487562189,0.577114427860697,0.0099502487562189,0.0447761194029851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1037,0,0.035,0.005,0.02,0.015,0.01,0.055,0.005,0.14,0.035,0.005,0.615,0.015,0.02,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1534,0.005,0.055,0.01,0.01,0.01,0.025,0.055,0,0.115,0.055,0.01,0.5,0.035,0.025,0.025,0.005,0,0,0,0.005,0.045,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2031,0.0050251256281407,0.050251256281407,0.0050251256281407,0.0150753768844221,0.0301507537688442,0.0050251256281407,0.0603015075376884,0.0100502512562814,0.105527638190955,0.0301507537688442,0,0.557788944723618,0.0150753768844221,0.0351758793969849,0.0301507537688442,0.0050251256281407,0.0050251256281407,0,0,0.0050251256281407,0.0050251256281407,0.0100502512562814,0.0050251256281407,0.0050251256281407,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0
80,2527,0.00492610837438424,0.0394088669950739,0.00492610837438424,0.00492610837438424,0.00985221674876847,0.00492610837438424,0.0197044334975369,0.00492610837438424,0.147783251231527,0.0246305418719212,0.00985221674876847,0.596059113300493,0.00985221674876847,0.0197044334975369,0.0295566502463054,0,0,0,0,0,0.0246305418719212,0.00492610837438424,0.00985221674876847,0.00492610837438424,0.00492610837438424,0.0197044334975369,0,0,0,0,0,0,0,0,0,0
100,3022,0.0050251256281407,0.050251256281407,0.0100502512562814,0.0050251256281407,0.0150753768844221,0.0201005025125628,0.0653266331658292,0.0050251256281407,0.201005025125628,0.0050251256281407,0.0150753768844221,0.537688442211055,0.0050251256281407,0.0100502512562814,0.0201005025125628,0,0.0050251256281407,0,0,0,0.0100502512562814,0.0100502512562814,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0
120,3515,0.005,0.045,0,0.02,0.03,0.005,0.065,0.015,0.065,0.085,0.01,0.595,0,0.04,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4008,0,0.045,0.005,0.04,0.02,0.005,0.075,0.005,0.025,0.05,0.01,0.66,0,0.055,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
160,4498,0,0.045,0.01,0.03,0.025,0.005,0.11,0.01,0.035,0.06,0.005,0.605,0,0.035,0.005,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0
180,4987,0,0.055,0.005,0.04,0.06,0.015,0.14,0.02,0.08,0.075,0.025,0.385,0.005,0.075,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5473,0,0.025,0,0.05,0.04,0.005,0.03,0.01,0.31,0.075,0.01,0.38,0,0.04,0.005,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5956,0,0.01,0,0.01,0.06,0.005,0.15,0.035,0.1,0.06,0.015,0.475,0,0.065,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,6434,0,0.015,0.005,0.03,0.02,0,0.085,0,0.045,0.035,0.005,0.73,0.005,0.02,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6908,0,0.01,0,0.005,0.065,0.005,0.115,0,0.04,0.015,0.005,0.715,0,0.01,0.005,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,7375,0,0.005,0.01,0.03,0.06,0,0.11,0.005,0.045,0.015,0.005,0.665,0,0.04,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,7836,0,0.0149253731343284,0.0099502487562189,0,0.0796019900497512,0.00497512437810945,0.0646766169154229,0,0.0099502487562189,0.00497512437810945,0,0.791044776119403,0,0.0099502487562189,0,0,0,0,0.00497512437810945,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,8288,0.005,0.01,0.005,0,0.04,0,0.08,0,0.005,0.02,0.005,0.8,0,0.01,0,0,0,0,0,0,0.005,0.005,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0
340,8731,0,0.04,0,0,0.03,0.005,0.025,0,0.005,0.025,0,0.84,0,0.01,0,0,0.005,0,0.005,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0
360,9164,0.01,0.005,0,0.005,0.06,0.005,0.045,0.005,0.03,0.025,0,0.79,0,0.015,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,9586,0.01,0.035,0.005,0,0.03,0.005,0.045,0,0.03,0.01,0,0.8,0,0.015,0,0,0,0,0,0.005,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,9996,0.00490196078431373,0.0294117647058824,0.00490196078431373,0,0.0294117647058824,0.0147058823529412,0.0686274509803922,0.00490196078431373,0.0196078431372549,0,0,0.764705882352941,0,0.0196078431372549,0.00490196078431373,0,0,0,0,0,0,0.00490196078431373,0.00490196078431373,0,0,0.0196078431372549,0,0,0,0.00490196078431373,0,0,0,0,0,0
420,10389,0.01,0.055,0,0,0.01,0.02,0.045,0,0.01,0.025,0,0.8,0.005,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
430,NA,0.00518134715025907,0.00518134715025907,0.00518134715025907,0,0,0.0414507772020725,0,0,0.0207253886010363,0.0259067357512953,0.0103626943005181,0.854922279792746,0,0,0.00518134715025907,0,0,0,0,0.0103626943005181,0.00518134715025907,0,0,0,0,0,0,0,0,0,0.00518134715025907,0.00518134715025907,0,0,0,0
440,NA,0,0.0149812734082397,0.00374531835205993,0,0,0.0749063670411985,0.0262172284644195,0.00374531835205993,0.0112359550561798,0.0112359550561798,0.00374531835205993,0.576779026217228,0.00374531835205993,0,0,0,0,0,0,0.00374531835205993,0,0,0.00374531835205993,0,0,0,0,0,0,0.00374531835205993,0.250936329588015,0.00374531835205993,0.00374531835205993,0,0,0
450,NA,0.0045662100456621,0.0045662100456621,0.0045662100456621,0,0.0045662100456621,0.10958904109589,0,0,0.0091324200913242,0.0273972602739726,0,0.730593607305936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045662100456621,0.095890410958904,0.0045662100456621,0,0,0,0
460,NA,0,0.00746268656716418,0,0,0,0.0503731343283582,0.0205223880597015,0.00186567164179104,0.00186567164179104,0.00559701492537313,0,0.255597014925373,0.00186567164179104,0,0.00559701492537313,0,0,0,0,0.00186567164179104,0.00186567164179104,0,0.00186567164179104,0,0,0,0,0,0,0.00373134328358209,0.638059701492537,0,0.00186567164179104,0,0,0
470,NA,0,0.0246305418719212,0,0,0,0.38423645320197,0.00985221674876847,0,0.00492610837438424,0.00492610837438424,0,0.497536945812808,0,0.00492610837438424,0.0197044334975369,0,0,0,0,0,0,0.00492610837438424,0.00985221674876847,0,0,0.00492610837438424,0,0,0,0.00492610837438424,0.00492610837438424,0,0,0.00492610837438424,0.00492610837438424,0.00985221674876847
480,NA,0.0102564102564103,0.0205128205128205,0,0.0102564102564103,0.0102564102564103,0.241025641025641,0.0615384615384615,0,0.0205128205128205,0.0205128205128205,0.00512820512820513,0.533333333333333,0.00512820512820513,0.00512820512820513,0.0307692307692308,0,0,0,0,0,0,0.00512820512820513,0,0.00512820512820513,0,0.00512820512820513,0,0,0,0,0.0102564102564103,0,0,0,0,0
