"sample.depths","sample.ages","Abies","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Betula.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Corylus.cornuta","Cupressaceae.cf..Thuja.occidentalis","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Myrica.gale","Osmunda.regalis.type","Picea","Picea.mariana.type","Pinus","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Quercus","Rosaceae","Rumex.type","Salix","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown..monolete.","Unknown..trilete."
0,0,4,41,2,2,0,0,6,4,0,2,2,2,1,2,182,0,0,0,0,0,0,0,2,2,1,0,1,0,1,5,0,0,4,0,0,0,2,29,7,4,44,3,8,0,0,0,2,0,4,3,0,0,0,1,0,0,1,5,1
20,642,3,46,0,1,0,3,10,0,0,0,0,1,0,0,196,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,3,0,1,0,0,3,72,3,7,42,0,2,0,0,0,8,0,0,0,1,0,0,2,0,0,0,1,0
40,1284,8,51,3,1,3,0,4,4,0,1,0,2,0,0,354,0,0,0,0,0,0,0,0,5,1,3,0,0,3,2,0,1,0,0,0,0,12,82,9,20,77,0,4,0,0,0,8,0,2,0,0,0,0,1,0,0,2,2,0
60,1926,1,32,0,2,0,0,6,3,1,1,0,1,0,0,237,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,52,4,0,95,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,1,3,0
80,2568,12,47,0,0,4,0,1,6,0,0,0,2,0,8,252,0,0,0,0,0,0,0,0,4,0,3,1,0,2,2,3,1,0,1,0,0,6,48,10,6,77,0,0,0,0,1,3,0,0,0,1,2,0,2,0,0,1,3,2
100,3210,1,39,0,4,0,1,7,4,0,0,0,2,0,0,438,0,1,0,0,0,0,1,0,11,0,4,3,0,0,0,0,0,3,1,0,1,4,53,1,4,90,0,0,0,0,0,10,0,0,0,0,0,0,6,1,0,1,4,0
120,3852,2,46,0,0,4,0,2,6,0,1,0,1,0,5,278,0,0,0,0,0,0,0,0,9,3,1,0,0,0,6,0,0,2,2,0,0,1,23,2,11,58,4,0,0,0,2,2,0,0,0,0,1,0,5,0,0,2,1,1
140,4494,2,33,2,1,0,2,8,6,0,1,0,0,1,0,374,1,0,0,0,0,0,0,0,8,0,5,2,0,0,0,0,1,0,2,0,0,2,67,2,7,98,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,3,0
160,5136,3,29,1,2,2,1,0,6,1,0,0,1,0,4,274,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,2,0,1,0,0,1,51,1,11,64,1,0,0,1,0,5,0,0,0,0,0,0,3,0,0,0,3,1
180,5778,2,28,6,0,3,0,5,4,0,0,0,0,0,0,313,0,0,0,0,0,0,1,0,11,0,3,1,0,0,0,0,2,0,0,0,0,2,48,3,10,89,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,1
