"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Castanea","Juglans","Larix","Picea","Pinus","Populus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Saxifragaceae","Nymphaeaceae"
10,1010,36,0,0,0,0,0,0,0,18,0,0,3,6,0,72,0,15,0,0,3,0,1
25,2556,36,0,0,0,0,0,0,0,6,0,0,0,0,0,60,0,7,0,0,4,0,0
35,3586,14,0,0,0,0,0,0,0,38,0,0,4,0,0,15,0,6,0,0,4,0,0
45,4617,24,0,0,0,0,0,0,0,81,0,0,0,24,0,6,0,9,0,0,9,0,2
55,5648,7,0,2,5,0,0,1,0,109,0,0,3,15,0,3,0,3,0,0,0,0,0
65,6679,16,0,4,0,0,0,0,1,80,0,0,2,18,0,0,0,4,0,0,0,0,1
75,7709,28,0,0,4,0,0,0,2,48,0,0,8,28,0,0,0,7,0,0,0,1,0
85,8740,31,0,2,1,0,5,0,0,29,0,1,6,39,0,1,0,1,0,0,0,1,0
95,9771,44,0,1,0,2,0,0,0,26,1,0,0,22,0,0,1,0,1,0,11,0,0
105,10801,29,0,3,3,3,0,0,8,117,0,0,0,14,1,0,0,0,0,0,3,0,0
115,12080,20,1,0,0,0,0,0,15,54,0,0,0,20,0,0,0,1,0,2,1,0,0
125,13359,0,0,0,0,0,0,0,107,13,0,0,0,0,0,0,0,0,0,7,1,0,0
135,14638,13,0,0,0,0,0,0,65,14,17,0,0,1,0,0,0,1,0,31,0,0,1
145,15916,0,0,0,0,0,0,0,42,8,42,0,0,0,0,0,0,4,0,25,0,0,0
155,17195,5,0,0,0,0,0,0,102,16,25,0,0,0,0,0,0,6,0,35,1,0,0
165,18474,3,0,0,0,0,0,0,105,7,14,1,0,0,0,1,0,13,0,54,3,0,0
175,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2
